weighting,denominator,quantile,quantile_label,max_similarity
structure_weighted,4983,0.0,P00,0.09090909361839294
structure_weighted,4983,0.01,P01,0.1666666716337204
structure_weighted,4983,0.05,P05,0.18390804529190063
structure_weighted,4983,0.1,P10,0.19354838132858276
structure_weighted,4983,0.25,P25,0.21111111342906952
structure_weighted,4983,0.5,P50,0.23728813230991364
structure_weighted,4983,0.75,P75,0.2769230902194977
structure_weighted,4983,0.9,P90,0.3333333432674408
structure_weighted,4983,0.95,P95,0.3996825456619251
structure_weighted,4983,0.99,P99,0.5517241358757019
structure_weighted,4983,1.0,P100,1.0
sample_weighted,5000,0.0,P00,0.09090909361839294
sample_weighted,5000,0.01,P01,0.1666666716337204
sample_weighted,5000,0.05,P05,0.18389631658792496
sample_weighted,5000,0.1,P10,0.19354838132858276
sample_weighted,5000,0.25,P25,0.21111111342906952
sample_weighted,5000,0.5,P50,0.23728813230991364
sample_weighted,5000,0.75,P75,0.2777777910232544
sample_weighted,5000,0.9,P90,0.3333333432674408
sample_weighted,5000,0.95,P95,0.4000000059604645
sample_weighted,5000,0.99,P99,0.5555555820465088
sample_weighted,5000,1.0,P100,1.0
