property,linear_confound_r2_oof_train,nonlinear_confound_r2_oof_train,linear_confound_r2_heldout,nonlinear_confound_r2_heldout,delta_confound_r2_nonlinear_minus_linear,linear_residual_probe_r2_heldout,nonlinear_residual_probe_r2_heldout,delta_residual_probe_r2_nonlinear_minus_linear,linear_shortlist_at_r2_threshold,nonlinear_shortlist_at_r2_threshold,shortlist_threshold
FractionCSP3,0.3094687274444824,0.3738215917657027,0.3086335780837109,0.3739669457850425,0.0653333677013315,0.8317241091203238,0.7606373524529785,-0.0710867566673453,True,True,0.7
AromaticRingCount,0.545465428561017,0.579379767700137,0.5435768620033024,0.5784341597705727,0.0348572977672703,0.7580428748117297,0.6870814416464189,-0.0709614331653107,True,False,0.7
HBA,0.4092218217693283,0.4449116161906937,0.4118806833623879,0.4463663666378666,0.0344856832754787,0.6889255414066979,0.661685743606194,-0.0272397978005038,False,False,0.7
RingCount,0.7487985980718712,0.7932331447887586,0.7490136617566472,0.7933449635605122,0.044331301803865,0.7948589482241712,0.6578659334696684,-0.1369930147545028,True,False,0.7
BertzCT,0.8551028620506261,0.8655005375300795,0.8540279077863611,0.8646924363368476,0.0106645285504864,0.709758322974257,0.6478424338151485,-0.0619158891591085,True,False,0.7
cLogP,0.3618304211143195,0.4100266188597422,0.3621749941600152,0.4097265895241309,0.0475515953641156,0.6837039432367342,0.6414175493270214,-0.0422863939097127,False,False,0.7
TPSA,0.3793479025115527,0.431439838822436,0.3822546078660841,0.4323746484770835,0.0501200406109993,0.686092358270453,0.6412116902254457,-0.0448806680450073,False,False,0.7
HeavyAtomCount,0.970534534527262,0.9753230687635908,0.9704927732728896,0.974936686889466,0.0044439136165763,0.6571370366942324,0.5626486495253326,-0.0944883871688998,False,False,0.7
MolWt,0.9046860215289724,0.9096657369981632,0.9036599708694578,0.908711182346768,0.0050512114773102,0.5929416364146877,0.5566479957889614,-0.0362936406257262,False,False,0.7
ExactMolWt,0.9060096000601112,0.9110037960953395,0.9050000427103032,0.9101068173050187,0.0051067745947155,0.5907189771741532,0.5547578885682031,-0.0359610886059501,False,False,0.7
HBD,0.0598480984410402,0.0833547026772539,0.0587963530428629,0.0813604686883423,0.0225641156454794,0.4579971345792667,0.4392112677730345,-0.0187858668062321,False,False,0.7
NumRotatableBonds,0.4107796891508058,0.5031221592263808,0.4088895503000301,0.5033958310281664,0.0945062807281362,0.4779867234895837,0.3874638840338555,-0.0905228394557281,False,False,0.7
QED,0.1478927394265624,0.3801219267571613,0.1469550448639276,0.3798476584317187,0.2328926135677911,0.3898184513739059,0.2072055262285382,-0.1826129251453676,False,False,0.7
NumBridgeheadAtoms,0.0360770391085177,0.1605069847173758,0.0328419034305088,0.1488774071565693,0.1160355037260605,0.1184623992504673,0.0862319657404572,-0.03223043351001,False,False,0.7
NumSpiroAtoms,0.017753556159925,0.0307692552920721,0.0178683552415922,0.032851622336557,0.0149832670949647,0.0747965982167018,0.0623147818170533,-0.0124818163996485,False,False,0.7
