residualization_kind,probe_kind,property,test_r2_residual_from_confounds
linear,linear,MolWt,-0.00013739477303187364
linear,linear,ExactMolWt,-0.00013888147228868775
linear,linear,HeavyAtomCount,-9.701325100075486e-05
linear,linear,cLogP,-2.1903721406202337e-05
linear,linear,TPSA,3.464082447446337e-05
linear,linear,HBD,-9.368932540665398e-05
linear,linear,HBA,2.212253100297712e-05
linear,linear,NumRotatableBonds,-4.691203067519467e-05
linear,linear,RingCount,5.5512319268036237e-05
linear,linear,AromaticRingCount,-4.0179690732111695e-05
linear,linear,FractionCSP3,5.72411959234298e-05
linear,linear,NumSpiroAtoms,-0.0002698783729171428
linear,linear,NumBridgeheadAtoms,0.00010533836865722623
linear,linear,BertzCT,-3.8415866982832725e-05
linear,linear,QED,-0.00011285593047438702
linear,nonlinear,MolWt,0.05463879715965303
linear,nonlinear,ExactMolWt,0.05443871409275425
linear,nonlinear,HeavyAtomCount,0.16875727183432987
linear,nonlinear,cLogP,0.07004982781936409
linear,nonlinear,TPSA,0.07397698119619112
linear,nonlinear,HBD,0.020627577035315037
linear,nonlinear,HBA,0.05377003151249116
linear,nonlinear,NumRotatableBonds,0.1550875805875146
linear,nonlinear,RingCount,0.1769120006597541
linear,nonlinear,AromaticRingCount,0.07217638337762655
linear,nonlinear,FractionCSP3,0.08732469144490973
linear,nonlinear,NumSpiroAtoms,0.01247851368971109
linear,nonlinear,NumBridgeheadAtoms,0.10746039396838247
linear,nonlinear,BertzCT,0.06945984850173925
linear,nonlinear,QED,0.2650983818221332
nonlinear,linear,MolWt,0.0006220939984383778
nonlinear,linear,ExactMolWt,0.0005724997010881916
nonlinear,linear,HeavyAtomCount,0.003485503362417486
nonlinear,linear,cLogP,0.00019846538732259944
nonlinear,linear,TPSA,0.0002303490985701151
nonlinear,linear,HBD,-4.3006468378292695e-05
nonlinear,linear,HBA,8.651294862715986e-05
nonlinear,linear,NumRotatableBonds,6.319182503689014e-05
nonlinear,linear,RingCount,0.0013729697231185112
nonlinear,linear,AromaticRingCount,0.00042714658148090834
nonlinear,linear,FractionCSP3,0.0003509149629963293
nonlinear,linear,NumSpiroAtoms,-0.00027944867101692417
nonlinear,linear,NumBridgeheadAtoms,0.0010052838956786658
nonlinear,linear,BertzCT,5.771355749184526e-05
nonlinear,linear,QED,-1.410796898237976e-05
nonlinear,nonlinear,MolWt,0.0008892142424593574
nonlinear,nonlinear,ExactMolWt,0.0010303776294146028
nonlinear,nonlinear,HeavyAtomCount,0.009067668623654379
nonlinear,nonlinear,cLogP,0.00020095559442323552
nonlinear,nonlinear,TPSA,0.00014923245286813103
nonlinear,nonlinear,HBD,5.925754196156596e-05
nonlinear,nonlinear,HBA,0.00016401872310056742
nonlinear,nonlinear,NumRotatableBonds,8.716257126484273e-05
nonlinear,nonlinear,RingCount,0.001695332539815686
nonlinear,nonlinear,AromaticRingCount,0.0005762531670827631
nonlinear,nonlinear,FractionCSP3,0.0006135309804753408
nonlinear,nonlinear,NumSpiroAtoms,-0.0007099598257942485
nonlinear,nonlinear,NumBridgeheadAtoms,0.00037078313748661884
nonlinear,nonlinear,BertzCT,0.000293367721245108
nonlinear,nonlinear,QED,8.948589881363489e-05
