property,direction_type,direction_target,response,median_spearman_rho,q25_spearman_rho,q75_spearman_rho,median_linear_slope,median_expected_sign_fraction,mean_expected_sign_fraction,overall_validity,seed_count
BertzCT,raw_property,BertzCT,diagnostic_residual,-0.49966427842472794,-0.7478408600513944,-0.234198684891362,-3.336319782164807,0.215,0.2438,1.0,50
BertzCT,raw_property,BertzCT,raw_property,0.9440210970263052,0.915489979778702,0.9624057140769128,11.340548023365773,0.82,0.8146,1.0,50
BertzCT,residual_property,BertzCT_residual,diagnostic_residual,0.7172403145474686,0.5865223800640447,0.8840404085117637,2.8891223920467963,0.64,0.649,1.0,50
BertzCT,residual_property,BertzCT_residual,raw_property,0.689353885520018,0.5526147725246309,0.8316733463312748,1.8848980907955437,0.605,0.6002,1.0,50
BertzCT,selfies_length,selfies_len_tokens,diagnostic_residual,-0.925162070092143,-0.9564297269529545,-0.7191565922428705,-7.327056659392271,0.13,0.15118717221454617,0.9826,50
BertzCT,selfies_length,selfies_len_tokens,raw_property,0.8910804656865371,0.8465882366905741,0.9434528414548295,6.9861746624037,0.77,0.7767967430771041,0.9826,50
FractionCSP3,raw_property,FractionCSP3,diagnostic_residual,0.5684828345670404,0.43986730207693103,0.752862718911138,0.001412706151209568,0.75,0.7394,1.0,50
FractionCSP3,raw_property,FractionCSP3,raw_property,0.9377110944756364,0.892484718310939,0.9522662299058051,0.00399361786817241,0.83,0.7787999999999999,1.0,50
FractionCSP3,residual_property,FractionCSP3_residual,diagnostic_residual,0.8925255024524567,0.8620547101252553,0.9132366145327324,0.0037993961374029367,0.89,0.8772,1.0,50
FractionCSP3,residual_property,FractionCSP3_residual,raw_property,0.9117164150218398,0.8684928333685643,0.9284585285347542,0.0032811983329517945,0.795,0.759,1.0,50
FractionCSP3,selfies_length,selfies_len_tokens,diagnostic_residual,-0.11269540861476776,-0.48015891350321527,0.20381900090347022,-0.00019743906533169217,0.47,0.4646899027020478,0.9826,50
FractionCSP3,selfies_length,selfies_len_tokens,raw_property,-0.5934875145762443,-0.6889551423279496,-0.3002934621876358,-0.0022018804810891605,0.315,0.33930969361043833,0.9826,50
HBA,raw_property,HBA,diagnostic_residual,0.3131073866086107,0.14537326637924794,0.5382317306488763,0.02374204327410995,0.67,0.628265306122449,0.9995999999999999,50
HBA,raw_property,HBA,raw_property,0.9547046848266229,0.932895917562209,0.9648659713469586,0.07855247524752476,0.815,0.8028979591836735,0.9995999999999999,50
HBA,residual_property,HBA_residual,diagnostic_residual,0.8810219323535307,0.6900693413961293,0.9546091429533817,0.034664223106212165,0.79,0.7681999999999999,1.0,50
HBA,residual_property,HBA_residual,raw_property,0.9293357063457413,0.866291715409208,0.9606062340854311,0.03518415841584159,0.71,0.7023999999999999,1.0,50
HBA,selfies_length,selfies_len_tokens,diagnostic_residual,-0.7177747935059493,-0.8838472496176394,-0.45501546163553863,-0.021937903014838167,0.255,0.266377992345954,0.9826,50
HBA,selfies_length,selfies_len_tokens,raw_property,0.9101593345432504,0.8672842796253348,0.9530254583007844,0.04070990099009902,0.78,0.7559412472429667,0.9826,50
HeavyAtomCount,raw_property,HeavyAtomCount,diagnostic_residual,-0.017694002636518588,-0.19694699219621023,0.1265728115313808,-0.06841379651140873,0.5208695652173914,0.5197063717537018,0.9718000000000001,50
HeavyAtomCount,raw_property,HeavyAtomCount,raw_property,0.9733625876820358,0.927247073077683,0.9796651115130552,0.32030099009901,0.8395402298850574,0.8342177266703606,0.9718000000000001,50
HeavyAtomCount,residual_property,HeavyAtomCount_residual,diagnostic_residual,0.7463490328672031,0.6067022804478067,0.8685587809654156,0.04950129733312938,0.67,0.6681999999999999,1.0,50
