target,coefficient_conversion,standardized_coefficient_l2,original_coordinate_coefficient_l2,traversal_direction_l2,maximum_prediction_delta_after_descaling,train_projection_q01,train_projection_median,train_projection_q99,train_projection_q99_minus_q01,maximum_abs_alpha,maximum_abs_alpha_over_q99_q01_span
raw::FractionCSP3,coef_original = coef_standardized / scaler.scale_,0.16117094132564622,1.078347871820325,0.9999999999999999,3.3306690738754696e-16,-0.37951039969617517,-0.042236411154220804,0.4845764218488302,0.8640868215450054,150.0,173.5936670481756
raw::HBA,coef_original = coef_standardized / scaler.scale_,1.4340722299442001,9.468365377102325,1.0000000000000002,3.552713678800501e-15,-0.460837719577211,-0.0701420200674345,0.3407898834999748,0.8016276030771858,150.0,187.1193050541163
raw::TPSA,coef_original = coef_standardized / scaler.scale_,22.849929667612745,164.134962375287,0.9999999999999999,7.460698725481052e-14,-0.39243466167369206,-0.04917198803515277,0.3249886344796689,0.717423296153361,150.0,209.081585173302
raw::cLogP,coef_original = coef_standardized / scaler.scale_,1.1821370338766024,8.556202057530758,1.0000000000000002,2.6645352591003757e-15,-0.4333791393491029,-0.02821066015903062,0.3415503185047779,0.7749294578538808,150.0,193.5660058857689
raw::BertzCT,coef_original = coef_standardized / scaler.scale_,234.6577281483875,1731.4660898918082,0.9999999999999999,7.958078640513122e-13,-0.4395028194091078,-0.08276121166621062,0.30272870827474285,0.7422315276838507,150.0,202.09327467950357
raw::HeavyAtomCount,coef_original = coef_standardized / scaler.scale_,4.892830978365805,37.1534260128332,0.9999999999999999,1.4210854715202004e-14,-0.4489336369191943,-0.08961607951519021,0.2667063135900413,0.7156399505092357,150.0,209.60260797802425
residual::FractionCSP3,coef_original = coef_standardized / scaler.scale_,0.14182676191586727,0.9369163169106965,1.0000000000000002,2.7755575615628914e-16,-0.41697519012372924,-0.07158869397094314,0.4094371549896937,0.8264123451134229,150.0,181.5074531339593
residual::HBA,coef_original = coef_standardized / scaler.scale_,1.1384975299486766,7.706677107847121,1.0000000000000004,2.6645352591003757e-15,-0.3630090720953307,-0.01828003542123311,0.35128303078835815,0.7142921028836888,150.0,209.99812176899445
residual::TPSA,coef_original = coef_standardized / scaler.scale_,19.20138113908845,141.76624819185236,1.0,4.440892098500626e-14,-0.30394547798716953,-0.011023469589042314,0.309792183838174,0.6137376618253435,150.0,244.4040985750794
residual::cLogP,coef_original = coef_standardized / scaler.scale_,0.9646052995194752,6.866642779992127,0.9999999999999999,1.9984014443252818e-15,-0.3493851543692094,0.019114049819178802,0.3748230377388005,0.7242081921080099,150.0,207.1227606020075
residual::BertzCT,coef_original = coef_standardized / scaler.scale_,96.597340820317,745.5463757590134,0.9999999999999999,1.7053025658242404e-13,-0.31534374114052655,0.03686365621074941,0.33953028592197276,0.6548740270624993,150.0,229.05168597514776
residual::HeavyAtomCount,coef_original = coef_standardized / scaler.scale_,1.0264953064370899,8.337993638025042,0.9999999999999997,3.552713678800501e-15,-0.26558097630524397,-0.010240019371197418,0.26818425931515794,0.5337652356204019,150.0,281.02242332371674
confound::selfies_len_tokens,coef_original = coef_standardized / scaler.scale_,9.019958735208238,66.68817164553711,0.9999999999999999,2.4868995751603507e-14,-0.4535761104518376,-0.10273242263960405,0.30338790299870677,0.7569640134505444,150.0,198.16001465676032
confound::branch_token_count,coef_original = coef_standardized / scaler.scale_,2.062273943932387,14.927180108533252,1.0,5.329070518200751e-15,-0.43000833239113734,-0.09351939283124441,0.3453134909547185,0.7753218233458559,150.0,193.46804834240805
confound::ring_token_count,coef_original = coef_standardized / scaler.scale_,1.9727464888485269,12.364823908159092,0.9999999999999999,5.329070518200751e-15,-0.4686497540229399,-0.1509906173485897,0.397109104858371,0.8657588588813109,150.0,173.2584061499784
confound::token_entropy,coef_original = coef_standardized / scaler.scale_,0.17830256184762222,1.1360057718510568,0.9999999999999998,4.440892098500626e-16,-0.6887583308906188,-0.06810465880885312,0.3074078175699635,0.9961661484605823,150.0,150.5772909788205
