property,metric,median_spearman_rho,median_linear_slope,median_expected_sign_fraction,overall_validity
FractionCSP3,raw_direction_on_raw_property,0.9377110944756364,0.00399361786817241,0.83,1.0
FractionCSP3,residual_direction_on_raw_property,0.9117164150218398,0.0032811983329517945,0.795,1.0
FractionCSP3,residual_direction_on_diagnostic_residual,0.8925255024524567,0.0037993961374029367,0.89,1.0
HBA,raw_direction_on_raw_property,0.9547046848266229,0.07855247524752476,0.815,0.9995999999999999
HBA,residual_direction_on_raw_property,0.9293357063457413,0.03518415841584159,0.71,1.0
HBA,residual_direction_on_diagnostic_residual,0.8810219323535307,0.034664223106212165,0.79,1.0
TPSA,raw_direction_on_raw_property,0.9296714038913769,0.791005861386139,0.805,1.0
TPSA,residual_direction_on_raw_property,0.9146432108521789,0.5282537524752475,0.725,1.0
TPSA,residual_direction_on_diagnostic_residual,0.8649696239770475,0.558646355987426,0.75,1.0
cLogP,raw_direction_on_raw_property,0.9347796401640374,0.07537642982178218,0.82,1.0
cLogP,residual_direction_on_raw_property,0.9587325980557686,0.05227572975247523,0.77,1.0
cLogP,residual_direction_on_diagnostic_residual,0.9257822635222144,0.04805282099322581,0.815,1.0
BertzCT,raw_direction_on_raw_property,0.9440210970263052,11.340548023365773,0.82,1.0
BertzCT,residual_direction_on_raw_property,0.689353885520018,1.8848980907955437,0.605,1.0
BertzCT,residual_direction_on_diagnostic_residual,0.7172403145474686,2.8891223920467963,0.64,1.0
HeavyAtomCount,raw_direction_on_raw_property,0.9733625876820358,0.32030099009901,0.8395402298850574,0.9718000000000001
HeavyAtomCount,residual_direction_on_raw_property,0.6606264722931275,0.036344554455445544,0.49,1.0
HeavyAtomCount,residual_direction_on_diagnostic_residual,0.7463490328672031,0.04950129733312938,0.67,1.0
