property,direction_type,direction_target,alpha,response,decode_count,valid_count,validity,median_value,q25_value,q75_value,median_change_from_seed,q25_change_from_seed,q75_change_from_seed,expected_sign_fraction
BertzCT,raw_property,BertzCT,-150.0,raw_property,50,50,1.0,0.0,0.0,0.0,-733.5321357194807,-891.6373629240833,-483.04385934891155,1.0
BertzCT,raw_property,BertzCT,-150.0,diagnostic_residual,50,50,1.0,316.7279427685432,298.5626357891439,465.4012051594019,375.9747387574433,285.93948858263764,441.13083025059234,0.02
BertzCT,raw_property,BertzCT,-146.96969696969697,raw_property,50,50,1.0,0.0,0.0,0.0,-733.5321357194807,-891.6373629240833,-483.04385934891155,1.0
BertzCT,raw_property,BertzCT,-146.96969696969697,diagnostic_residual,50,50,1.0,316.7279427685432,298.5626357891439,465.4012051594019,375.9747387574433,285.93948858263764,441.13083025059234,0.02
BertzCT,raw_property,BertzCT,-143.93939393939394,raw_property,50,50,1.0,0.0,0.0,0.0,-733.5321357194807,-891.6373629240833,-483.04385934891155,1.0
BertzCT,raw_property,BertzCT,-143.93939393939394,diagnostic_residual,50,50,1.0,320.7332192665139,298.5626357891439,465.4012051594019,395.37320515666534,286.9133549310935,441.68280765682084,0.02
BertzCT,raw_property,BertzCT,-140.9090909090909,raw_property,50,50,1.0,0.0,0.0,0.0,-733.5321357194807,-891.6373629240833,-483.04385934891155,1.0
BertzCT,raw_property,BertzCT,-140.9090909090909,diagnostic_residual,50,50,1.0,320.7332192665139,298.5626357891439,465.4012051594019,391.5176606153771,286.9133549310935,441.68280765682084,0.02
BertzCT,raw_property,BertzCT,-137.87878787878788,raw_property,50,50,1.0,0.0,0.0,0.0,-733.5321357194807,-891.6373629240833,-483.04385934891155,1.0
BertzCT,raw_property,BertzCT,-137.87878787878788,diagnostic_residual,50,50,1.0,316.7279427685432,298.5626357891439,465.4012051594019,391.5176606153771,285.93948858263764,441.68280765682084,0.02
BertzCT,raw_property,BertzCT,-134.84848484848484,raw_property,50,50,1.0,0.0,0.0,0.0,-733.5321357194807,-891.6373629240833,-483.04385934891155,1.0
BertzCT,raw_property,BertzCT,-134.84848484848484,diagnostic_residual,50,50,1.0,316.7279427685432,298.5626357891439,465.4012051594019,354.65377816983045,281.7113697259958,441.68280765682084,0.02
BertzCT,raw_property,BertzCT,-131.8181818181818,raw_property,50,50,1.0,0.0,0.0,0.0,-733.5321357194807,-891.6373629240833,-483.04385934891155,1.0
BertzCT,raw_property,BertzCT,-131.8181818181818,diagnostic_residual,50,50,1.0,316.7279427685432,298.5626357891439,465.4012051594019,344.5967991353564,283.76769729813793,441.68280765682084,0.02
BertzCT,raw_property,BertzCT,-128.78787878787878,raw_property,50,50,1.0,0.0,0.0,0.0,-733.5321357194807,-891.6373629240833,-483.04385934891155,1.0
BertzCT,raw_property,BertzCT,-128.78787878787878,diagnostic_residual,50,50,1.0,307.6452892788435,286.32880738497056,465.4012051594019,338.1230784684761,281.7113697259958,432.01533009896406,0.02
BertzCT,raw_property,BertzCT,-125.75757575757576,raw_property,50,50,1.0,0.0,0.0,0.0,-733.5321357194807,-891.6373629240833,-483.04385934891155,1.0
