property,direction_type,seed_count,alpha_count,alpha_min,alpha_max,rows
BertzCT,raw_property,50,100,-150.0,150.0,5000
BertzCT,residual_property,50,100,-150.0,150.0,5000
BertzCT,selfies_length,50,100,-150.0,150.0,5000
FractionCSP3,raw_property,50,100,-150.0,150.0,5000
FractionCSP3,residual_property,50,100,-150.0,150.0,5000
FractionCSP3,selfies_length,50,100,-150.0,150.0,5000
HBA,raw_property,50,100,-150.0,150.0,5000
HBA,residual_property,50,100,-150.0,150.0,5000
HBA,selfies_length,50,100,-150.0,150.0,5000
HeavyAtomCount,raw_property,50,100,-150.0,150.0,5000
HeavyAtomCount,residual_property,50,100,-150.0,150.0,5000
HeavyAtomCount,selfies_length,50,100,-150.0,150.0,5000
TPSA,raw_property,50,100,-150.0,150.0,5000
TPSA,residual_property,50,100,-150.0,150.0,5000
TPSA,selfies_length,50,100,-150.0,150.0,5000
cLogP,raw_property,50,100,-150.0,150.0,5000
cLogP,residual_property,50,100,-150.0,150.0,5000
cLogP,selfies_length,50,100,-150.0,150.0,5000
