fragment,definition
fr_Al_COO,RDKit Chem.Fragments count function
fr_Al_OH,RDKit Chem.Fragments count function
fr_Al_OH_noTert,RDKit Chem.Fragments count function
fr_ArN,RDKit Chem.Fragments count function
fr_Ar_COO,RDKit Chem.Fragments count function
fr_Ar_N,RDKit Chem.Fragments count function
fr_Ar_NH,RDKit Chem.Fragments count function
fr_Ar_OH,RDKit Chem.Fragments count function
fr_COO,RDKit Chem.Fragments count function
fr_COO2,RDKit Chem.Fragments count function
fr_C_O,RDKit Chem.Fragments count function
fr_C_O_noCOO,RDKit Chem.Fragments count function
fr_C_S,RDKit Chem.Fragments count function
fr_HOCCN,RDKit Chem.Fragments count function
fr_Imine,RDKit Chem.Fragments count function
fr_NH0,RDKit Chem.Fragments count function
fr_NH1,RDKit Chem.Fragments count function
fr_NH2,RDKit Chem.Fragments count function
fr_N_O,RDKit Chem.Fragments count function
fr_Ndealkylation1,RDKit Chem.Fragments count function
fr_Ndealkylation2,RDKit Chem.Fragments count function
fr_Nhpyrrole,RDKit Chem.Fragments count function
fr_SH,RDKit Chem.Fragments count function
fr_aldehyde,RDKit Chem.Fragments count function
fr_alkyl_carbamate,RDKit Chem.Fragments count function
fr_alkyl_halide,RDKit Chem.Fragments count function
fr_allylic_oxid,RDKit Chem.Fragments count function
fr_amide,RDKit Chem.Fragments count function
fr_amidine,RDKit Chem.Fragments count function
fr_aniline,RDKit Chem.Fragments count function
fr_aryl_methyl,RDKit Chem.Fragments count function
fr_azide,RDKit Chem.Fragments count function
fr_azo,RDKit Chem.Fragments count function
fr_barbitur,RDKit Chem.Fragments count function
fr_benzene,RDKit Chem.Fragments count function
fr_benzodiazepine,RDKit Chem.Fragments count function
fr_bicyclic,RDKit Chem.Fragments count function
fr_diazo,RDKit Chem.Fragments count function
fr_dihydropyridine,RDKit Chem.Fragments count function
fr_epoxide,RDKit Chem.Fragments count function
fr_ester,RDKit Chem.Fragments count function
fr_ether,RDKit Chem.Fragments count function
fr_furan,RDKit Chem.Fragments count function
fr_guanido,RDKit Chem.Fragments count function
fr_halogen,RDKit Chem.Fragments count function
fr_hdrzine,RDKit Chem.Fragments count function
fr_hdrzone,RDKit Chem.Fragments count function
fr_imidazole,RDKit Chem.Fragments count function
fr_imide,RDKit Chem.Fragments count function
fr_isocyan,RDKit Chem.Fragments count function
fr_isothiocyan,RDKit Chem.Fragments count function
fr_ketone,RDKit Chem.Fragments count function
fr_ketone_Topliss,RDKit Chem.Fragments count function
fr_lactam,RDKit Chem.Fragments count function
fr_lactone,RDKit Chem.Fragments count function
fr_methoxy,RDKit Chem.Fragments count function
fr_morpholine,RDKit Chem.Fragments count function
fr_nitrile,RDKit Chem.Fragments count function
fr_nitro,RDKit Chem.Fragments count function
fr_nitro_arom,RDKit Chem.Fragments count function
fr_nitro_arom_nonortho,RDKit Chem.Fragments count function
fr_nitroso,RDKit Chem.Fragments count function
fr_oxazole,RDKit Chem.Fragments count function
fr_oxime,RDKit Chem.Fragments count function
fr_para_hydroxylation,RDKit Chem.Fragments count function
fr_phenol,RDKit Chem.Fragments count function
fr_phenol_noOrthoHbond,RDKit Chem.Fragments count function
fr_phos_acid,RDKit Chem.Fragments count function
fr_phos_ester,RDKit Chem.Fragments count function
fr_piperdine,RDKit Chem.Fragments count function
fr_piperzine,RDKit Chem.Fragments count function
fr_priamide,RDKit Chem.Fragments count function
fr_prisulfonamd,RDKit Chem.Fragments count function
fr_pyridine,RDKit Chem.Fragments count function
fr_quatN,RDKit Chem.Fragments count function
fr_sulfide,RDKit Chem.Fragments count function
fr_sulfonamd,RDKit Chem.Fragments count function
fr_sulfone,RDKit Chem.Fragments count function
fr_term_acetylene,RDKit Chem.Fragments count function
fr_tetrazole,RDKit Chem.Fragments count function
fr_thiazole,RDKit Chem.Fragments count function
fr_thiocyan,RDKit Chem.Fragments count function
fr_thiophene,RDKit Chem.Fragments count function
fr_unbrch_alkane,RDKit Chem.Fragments count function
fr_urea,RDKit Chem.Fragments count function
