direction_name,direction_kind,focus_property,alpha,sample_count,valid_count,validity,unique_valid_canonical_count,unique_canonical_fraction_among_valid,changed_evaluable_count,exact_changed_from_seed_fraction,seed_similarity_evaluable_count,seed_tanimoto_median,seed_tanimoto_q25,seed_tanimoto_q75,scaffold_evaluable_count,scaffold_retention,training_novelty_070_evaluable_count,training_novelty_at_070,training_neighbor_ge_070_count,nearest_training_similarity_median_among_hits_ge_070,nearest_training_similarity_note
raw::BertzCT,raw_property,BertzCT,-150.0,50,50,1.0,9,0.18,50,1.0,50,0.02817460317460317,0.020208333333333335,0.04317207593386405,0,,50,1.0,0,,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::BertzCT,raw_property,BertzCT,150.0,50,50,1.0,50,1.0,50,1.0,50,0.060378218272955114,0.049176053400083436,0.07101328903654484,48,0.0,50,1.0,0,,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::FractionCSP3,raw_property,FractionCSP3,-150.0,50,50,1.0,50,1.0,50,1.0,50,0.045047329276538206,0.03375547514759093,0.056593406593406594,28,0.0,50,1.0,0,,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::FractionCSP3,raw_property,FractionCSP3,150.0,50,50,1.0,41,0.82,50,1.0,50,0.04411764705882353,0.032390269698572186,0.06160241874527589,15,0.0,50,0.66,17,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::HBA,raw_property,HBA,-150.0,50,50,1.0,16,0.32,50,1.0,50,0.02128623188405797,0.0,0.032692307692307694,10,0.0,50,1.0,0,,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::HBA,raw_property,HBA,150.0,50,50,1.0,49,0.98,50,1.0,50,0.0551302977430067,0.04609090909090909,0.07328177384943615,22,0.0,50,1.0,0,,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::HeavyAtomCount,raw_property,HeavyAtomCount,-150.0,50,41,0.82,4,0.0975609756097561,41,1.0,41,0.0,0.0,0.0,0,,41,1.0,0,,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::HeavyAtomCount,raw_property,HeavyAtomCount,150.0,50,50,1.0,50,1.0,50,1.0,50,0.06513077565709144,0.04984569709754287,0.07559061360393213,44,0.0,50,1.0,0,,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::TPSA,raw_property,TPSA,-150.0,50,50,1.0,44,0.88,50,1.0,50,0.04,0.029521510096575942,0.060379918588873815,17,0.0,50,0.54,23,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::TPSA,raw_property,TPSA,150.0,50,50,1.0,50,1.0,50,1.0,50,0.05555555555555555,0.0375,0.06666666666666667,15,0.0,50,1.0,0,,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::cLogP,raw_property,cLogP,-150.0,50,50,1.0,29,0.58,50,1.0,50,0.023558758314855877,0.01533975659229209,0.05096153846153846,2,0.0,50,1.0,0,,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
raw::cLogP,raw_property,cLogP,150.0,50,50,1.0,48,0.96,50,1.0,50,0.050139664804469276,0.04,0.05985148514851485,20,0.0,50,0.84,8,1.0,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
residual::BertzCT,residual_property,BertzCT,-150.0,50,50,1.0,50,1.0,50,1.0,50,0.06396617566830332,0.04945054945054945,0.08466312056737588,36,0.0,50,1.0,0,,threshold-censored: exact values are present only when nearest-training Tanimoto is at least 0.70
