property,tail,class_label,prior_pool_row,property_value,rank_after_seeded_shuffle,used_for_svm_fit
FractionCSP3,high,1,8,0.75,0,True
FractionCSP3,high,1,389,0.8571428571428571,1,True
FractionCSP3,high,1,265,0.7777777777777778,2,True
FractionCSP3,high,1,24,0.6666666666666666,3,True
FractionCSP3,high,1,142,0.68,4,True
FractionCSP3,high,1,281,0.7,5,True
FractionCSP3,high,1,143,0.6666666666666666,6,True
FractionCSP3,high,1,358,0.8,7,True
FractionCSP3,high,1,223,0.8333333333333334,8,False
FractionCSP3,high,1,61,0.75,9,False
FractionCSP3,high,1,170,0.6666666666666666,10,False
FractionCSP3,high,1,279,0.8181818181818182,11,False
FractionCSP3,low,0,75,0.058823529411764705,0,True
FractionCSP3,low,0,290,0.1111111111111111,1,True
FractionCSP3,low,0,289,0.06666666666666667,2,True
FractionCSP3,low,0,282,0.0,3,True
FractionCSP3,low,0,163,0.08333333333333333,4,True
FractionCSP3,low,0,46,0.1,5,True
FractionCSP3,low,0,382,0.0,6,True
FractionCSP3,low,0,21,0.0,7,True
FractionCSP3,low,0,327,0.0,8,False
FractionCSP3,low,0,104,0.1111111111111111,9,False
FractionCSP3,low,0,323,0.0,10,False
FractionCSP3,low,0,128,0.1111111111111111,11,False
HBA,high,1,31,11.0,0,True
HBA,high,1,243,9.0,1,True
HBA,high,1,275,9.0,2,True
HBA,high,1,356,9.0,3,True
HBA,high,1,383,9.0,4,True
HBA,high,1,2,8.0,5,True
HBA,high,1,129,9.0,6,True
HBA,high,1,17,9.0,7,False
HBA,high,1,304,9.0,8,False
HBA,high,1,10,8.0,9,False
HBA,high,1,29,9.0,10,False
HBA,low,0,282,1.0,0,True
HBA,low,0,358,1.0,1,True
HBA,low,0,283,1.0,2,True
HBA,low,0,220,1.0,3,True
HBA,low,0,269,1.0,4,True
HBA,low,0,147,0.0,5,True
HBA,low,0,397,1.0,6,True
HBA,low,0,327,1.0,7,False
HBA,low,0,180,0.0,8,False
HBA,low,0,84,1.0,9,False
HBA,low,0,21,1.0,10,False
TPSA,high,1,31,145.82999999999998,0,True
TPSA,high,1,383,179.07,1,True
TPSA,high,1,158,149.68,2,True
TPSA,high,1,20,134.81000000000003,3,True
TPSA,high,1,95,136.59,4,True
TPSA,high,1,356,138.41,5,True
TPSA,high,1,82,134.07,6,True
TPSA,high,1,243,151.09000000000003,7,True
TPSA,high,1,118,156.64,8,False
TPSA,high,1,17,140.58,9,False
TPSA,high,1,52,133.57000000000002,10,False
TPSA,high,1,146,155.67999999999998,11,False
TPSA,low,0,42,12.47,0,True
TPSA,low,0,268,17.07,1,True
TPSA,low,0,207,15.6,2,True
TPSA,low,0,397,9.23,3,True
TPSA,low,0,358,17.07,4,True
TPSA,low,0,282,17.07,5,True
TPSA,low,0,327,0.0,6,True
TPSA,low,0,269,9.23,7,True
TPSA,low,0,180,0.0,8,False
TPSA,low,0,21,17.07,9,False
TPSA,low,0,147,0.0,10,False
TPSA,low,0,220,17.07,11,False
cLogP,high,1,338,6.634320000000005,0,True
cLogP,high,1,269,7.637500000000006,1,True
cLogP,high,1,271,6.7994000000000065,2,True
cLogP,high,1,306,6.027700000000005,3,True
cLogP,high,1,100,6.048290000000005,4,True
cLogP,high,1,260,6.322900000000007,5,True
cLogP,high,1,362,6.020200000000005,6,True
cLogP,high,1,105,6.828700000000006,7,True
cLogP,high,1,268,7.321400000000005,8,False
cLogP,high,1,253,6.432200000000004,9,False
cLogP,high,1,67,5.911200000000005,10,False
cLogP,high,1,30,6.913600000000006,11,False
cLogP,low,0,389,-0.47712999999999983,0,True
cLogP,low,0,183,-0.2132999999999996,1,True
cLogP,low,0,323,-0.43929999999999997,2,True
cLogP,low,0,279,-0.5558999999999985,3,True
cLogP,low,0,390,-0.4112,4,True
cLogP,low,0,31,-0.39269999999999583,5,True
cLogP,low,0,287,-0.9608999999999999,6,True
cLogP,low,0,20,-0.5069499999999978,7,True
cLogP,low,0,57,-0.8470999999999993,8,False
cLogP,low,0,21,-0.1849,9,False
cLogP,low,0,116,-0.5914000000000001,10,False
cLogP,low,0,345,-0.18670999999999854,11,False
BertzCT,high,1,271,1049.3175378087608,0,True
BertzCT,high,1,269,1015.0564373533532,1,True
BertzCT,high,1,371,1150.8950941089374,2,True
BertzCT,high,1,356,1202.6086538734853,3,True
BertzCT,high,1,52,1102.9375829164899,4,True
BertzCT,high,1,275,1029.59645914341,5,True
BertzCT,high,1,69,1046.086684139083,6,True
BertzCT,high,1,253,1006.2565456035891,7,True
BertzCT,high,1,383,1165.2431541067422,8,True
BertzCT,high,1,200,1176.262704115396,9,False
BertzCT,high,1,196,1075.5253365065391,10,False
BertzCT,high,1,293,1000.4739501740105,11,False
BertzCT,high,1,362,1169.0044118682872,12,False
BertzCT,low,0,223,82.70165766734145,0,True
BertzCT,low,0,382,96.6059378176129,1,True
BertzCT,low,0,180,21.509775004326936,2,True
BertzCT,low,0,84,23.019550008653873,3,True
BertzCT,low,0,147,7.5097750043269365,4,True
BertzCT,low,0,358,72.10749561002055,5,True
BertzCT,low,0,61,54.43856189774725,6,True
BertzCT,low,0,327,45.548875021634686,7,True
BertzCT,low,0,116,80.03910001730775,8,True
BertzCT,low,0,21,0.0,9,False
BertzCT,low,0,323,7.5097750043269365,10,False
BertzCT,low,0,367,130.97373660251156,11,False
BertzCT,low,0,170,21.219280948873624,12,False
HeavyAtomCount,high,1,196,36.0,0,True
HeavyAtomCount,high,1,146,35.0,1,True
HeavyAtomCount,high,1,158,35.0,2,True
HeavyAtomCount,high,1,52,34.0,3,True
HeavyAtomCount,high,1,129,34.0,4,True
HeavyAtomCount,high,1,166,34.0,5,True
HeavyAtomCount,high,1,81,35.0,6,True
HeavyAtomCount,high,1,356,36.0,7,False
HeavyAtomCount,high,1,310,35.0,8,False
HeavyAtomCount,high,1,227,34.0,9,False
HeavyAtomCount,high,1,36,35.0,10,False
HeavyAtomCount,low,0,170,5.0,0,True
HeavyAtomCount,low,0,147,3.0,1,True
HeavyAtomCount,low,0,84,4.0,2,True
HeavyAtomCount,low,0,358,8.0,3,True
HeavyAtomCount,low,0,382,7.0,4,True
HeavyAtomCount,low,0,323,3.0,5,True
HeavyAtomCount,low,0,180,3.0,6,True
HeavyAtomCount,low,0,327,4.0,7,False
HeavyAtomCount,low,0,21,2.0,8,False
HeavyAtomCount,low,0,223,8.0,9,False
HeavyAtomCount,low,0,116,8.0,10,False
