method,scale,property,alpha,requested_candidates,valid_fraction,unique_canonical_fraction_total,changed_from_seed_fraction_all,median_property,median_property_delta,median_sa_score,median_sa_score_delta,median_np_likeness_score,median_np_likeness_delta,fraction_at_decoder_token_budget,expected_sign_fraction_valid,median_seed_similarity,q25_seed_similarity,q75_seed_similarity,scaffold_retention_fraction
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,-1.0,200,1.0,1.0,0.8,0.3333333333333333,0.0,5.382224935995212,0.0,0.8121194292342597,0.0,0.0,0.45,0.20916666666666664,0.13308823529411762,0.5352941176470588,0.2345679012345679
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,-0.9,200,1.0,1.0,0.78,0.3333333333333333,0.0,5.349635853711336,0.0,0.7868127872643031,0.0,0.0,0.425,0.2133375474083438,0.13384879725085908,0.599898236092266,0.2654320987654321
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,-0.8,200,1.0,1.0,0.745,0.3333333333333333,0.0,5.349181688881803,0.0,0.7989787402245356,0.0,0.0,0.405,0.23754562493834463,0.13730191826522095,1.0,0.2883435582822086
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,-0.7,200,1.0,1.0,0.715,0.3333333333333333,0.0,5.343712924143907,0.0,0.8053188032730965,0.0,0.0,0.4,0.24267425320056896,0.13460573836276082,1.0,0.32098765432098764
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,-0.6,200,1.0,1.0,0.64,0.3333333333333333,0.0,5.365723983205164,0.0,0.7982608109208535,0.0,0.0,0.35,0.33045977011494254,0.1481481481481481,1.0,0.38650306748466257
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,-0.5,200,1.0,1.0,0.595,0.3333333333333333,0.0,5.407948009287868,0.0,0.8025796581376337,0.0,0.0,0.315,0.4040816326530612,0.17542270531400964,1.0,0.43902439024390244
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,-0.3999999999999999,200,1.0,1.0,0.52,0.3489130434782608,0.0,5.377376776762441,0.0,0.7953486757031628,0.0,0.0,0.26,0.6776334776334776,0.18947811447811444,1.0,0.509090909090909
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,-0.2999999999999999,200,1.0,1.0,0.455,0.35,0.0,5.482602616705864,0.0,0.7872175423670356,0.0,0.0,0.225,1.0,0.20131578947368414,1.0,0.5568862275449101
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,-0.1999999999999999,200,1.0,1.0,0.32,0.35,0.0,5.377376776762441,0.0,0.7553118224517753,0.0,0.0,0.17,1.0,0.3545908836166635,1.0,0.6923076923076923
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,-0.0999999999999999,200,1.0,1.0,0.185,0.3582887700534759,0.0,5.366715805420336,0.0,0.748899901768451,0.0,0.0,0.1,1.0,1.0,1.0,0.8197674418604651
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,0.0,200,1.0,1.0,0.0,0.3636363636363636,0.0,5.410964407320817,0.0,0.7557398351622628,0.0,0.0,,1.0,1.0,1.0,1.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,0.1,200,1.0,1.0,0.16,0.3684210526315789,0.0,5.426250840788686,0.0,0.7800025068002723,0.0,0.0,0.085,1.0,1.0,1.0,0.8470588235294118
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,0.2000000000000001,200,1.0,1.0,0.33,0.37797619047619047,0.0,5.502508187362279,0.0,0.7605963199023402,0.0,0.0,0.175,1.0,0.3603700516351119,1.0,0.6946107784431138
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,0.3,200,1.0,1.0,0.475,0.3944444444444445,0.0,5.485045831388215,0.0,0.8039248730275976,0.0,0.0,0.24,1.0,0.23687009706156095,1.0,0.5421686746987951
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,0.4000000000000001,200,1.0,1.0,0.57,0.3956521739130435,0.0,5.465294098268378,0.0,0.7996302466485352,0.0,0.0,0.275,0.5684754521963824,0.16889880952380948,1.0,0.43373493975903615
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,0.5,200,1.0,1.0,0.635,0.3867521367521367,0.0,5.467325557676725,0.0,0.8039248730275976,0.0,0.0,0.31,0.3628472222222222,0.16282314923619265,1.0,0.38181818181818183
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,0.6000000000000001,200,1.0,1.0,0.675,0.38278388278388276,0.0,5.484625365361483,0.0,0.8171937626494203,0.0,0.0,0.325,0.31840120663650073,0.1559198943661972,1.0,0.35802469135802467
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,0.7000000000000002,200,1.0,1.0,0.735,0.3867521367521367,0.0,5.426484232667325,0.0,0.8039248730275976,0.0,0.0,0.365,0.28125,0.14493758668515946,1.0,0.2865853658536585
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,0.8,200,1.0,1.0,0.775,0.3809523809523809,0.0,5.438103618423369,0.0,0.7841691743355008,0.0,0.0,0.39,0.2672108575924469,0.1428571428571428,0.7414148351648351,0.25
