method,scale,property,seed_id,requested_points,valid_points,full_path_valid,property_monotonic_either,property_monotonic_expected,structure_distance_monotonic,raw_path_diverse,canonical_path_diverse,ssr_official_code_compatible,ssr_expected_all_valid,rsr_local_official_code_compatible,rsr_global_official_code_compatible,spearman_alpha_property,slope_property_per_alpha,spearman_alpha_sa_score,slope_sa_score_per_alpha,spearman_alpha_np_likeness,slope_np_likeness_per_alpha,expected_sign_fraction_valid_nonzero,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_seed_similarity,scaffold_evaluable_fraction,scaffold_retention_fraction
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,0,21,21,True,True,True,False,True,True,False,False,True,True,0.9219544457292888,0.06831823638546328,0.9219544457292888,1.0885821113980723,0.9219544457292888,0.7416993370290825,0.85,0.8095238095238095,0.8095238095238095,0.2857142857142857,1.0,0.19047619047619047
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,1,21,21,True,False,False,False,True,True,False,False,False,False,-0.009254613169716043,0.00019585677480414603,0.20756775252077408,0.06256626878567007,-0.8976974774624562,-0.5923814923969233,0.45,0.8095238095238095,0.8095238095238095,0.1428571428571428,1.0,0.19047619047619047
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,2,21,21,True,True,False,True,True,True,True,False,True,True,-0.8581163303210331,-0.1753246753246753,-0.8581163303210331,-1.763737100059566,0.8581163303210331,0.5102195308758598,0.0,0.42857142857142855,0.42857142857142855,1.0,0.5714285714285714,1.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,3,21,21,True,True,True,True,True,True,True,True,True,True,0.6809084840390546,0.036796536796536806,-0.6809084840390546,-0.4122068365377873,-0.6809084840390546,-0.21482349626510078,0.2,0.19047619047619047,0.19047619047619047,1.0,1.0,0.8095238095238095
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,4,21,21,True,False,False,False,True,True,False,False,False,False,0.41525175206771603,0.07513914656771804,0.9194860224356571,0.98834288440432,-0.9194860224356571,-0.3137753167481226,0.35,0.47619047619047616,0.47619047619047616,1.0,1.0,0.5238095238095238
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,5,21,21,True,False,False,False,True,True,False,False,False,False,-0.5591328154617063,-0.06457827886399307,-0.645568806257719,-0.33855222307607763,-0.6550227427510328,-0.197847868109181,0.35,0.8095238095238095,0.8095238095238095,0.1041666666666666,0.0,
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,6,21,21,True,False,False,False,True,True,False,False,False,False,0.7809129001694392,0.08363527229073445,-0.4658162968451288,-0.6198208711263756,-0.4658162968451288,0.015155278748883087,0.45,0.42857142857142855,0.42857142857142855,1.0,1.0,0.5714285714285714
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,7,21,21,True,False,False,False,True,True,False,False,False,False,-0.7073011358169771,-0.08686913500578088,0.2435079245037198,0.4383088577365856,0.1589845126925113,0.14368682613502395,0.15,0.8571428571428571,0.8571428571428571,0.1018518518518518,1.0,0.14285714285714285
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,8,21,21,True,False,False,False,True,True,False,False,False,False,0.49580054640770793,0.03188594014680974,-0.2560728096831019,-0.22983114045170674,0.5339390499775317,0.03442997781465522,0.35,0.7142857142857143,0.7142857142857143,0.1037735849056603,1.0,0.2857142857142857
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,9,21,21,True,True,True,False,True,True,False,False,False,False,,0.0,0.7189696052220029,0.2933785110333785,0.7451139545028029,0.04622869366861703,0.0,0.23809523809523808,0.23809523809523808,1.0,0.8571428571428571,0.8888888888888888
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,10,21,21,True,True,True,False,True,True,False,False,True,True,0.96160039760564,0.10224942521593239,0.6172069967777774,0.37681684835975165,0.8765149691658152,0.45746232287697514,0.65,0.6190476190476191,0.6190476190476191,0.734375,1.0,0.6190476190476191
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,11,21,21,True,True,True,False,True,True,False,False,True,True,0.6083829962530759,0.05383022774327125,0.6893498409829724,0.32820630616387575,0.67662338238021,0.02739838469963094,0.15,0.5714285714285714,0.5714285714285714,0.4651162790697674,1.0,0.42857142857142855
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,12,21,21,True,False,False,False,True,True,False,False,False,False,0.6685013610948268,0.045288721549225766,0.5023649281600178,0.3067658831166646,-0.21360398520189733,-0.04975873465184344,0.4,0.8571428571428571,0.8571428571428571,0.2906976744186046,1.0,0.19047619047619047
