prior_candidate_id,decoded_selfies,decoded_smiles,canonical_smiles,is_rdkit_valid,selected_for_property_oracle
0,[C][C][=Branch1][C][=O][N][Branch1][C][O][C][=C][C][=C][Branch1][O][C][C][=C][Ring1][Branch2][C][C][=C][Ring1][N][Ring1][=Branch1][C][=C][C][Branch1][#Branch2][C][=Branch1][C][=O][C][C][C][S][C@H1][Ring1][=Branch1],CC(=O)N(O1)C=CC=CCC=C1CC=C,C=CCC1=CCC=CC=CN(C(C)=O)O1,True,True
1,[N][#C][C][C][=C][O][C][=Branch1][C][=O][N][C][Branch1][C][Cl][=C][C][=N][C][=C][C][C][=C][Ring1][=Branch1][=N][C][=C][C][=C][Branch1][Ring1][C],N#CCC=COC(=O)NC(Cl)=CC=NC=CCC=CNC=CC=CC,CC=CC=CNC=CCC=CN=CC=C(Cl)NC(=O)OC=CCC#N,True,True
2,[C][C][O][C][=Branch1][C][=O][C][C][O][C][=C][Branch1][#Branch1][C][N][C][C][Cl][C][=C][NH1][C][Ring1][=Branch1][=C][C][Ring1][=C][C][=Branch1][C][=O][O][C][=C][C][C][Branch1][Ring1][N][C][=C][C][Branch1][C][C][=C][Ring1][N],CCOC(=O)CC1OC=C(CNC2CCl)C[NH1]C2=CC1C(=O)OC=CCC(NC)=CC(C)=C,C=C(C)C=C(CC=COC(=O)C1C=C2NCC(=COC1CC(=O)OCC)CNC2CCl)NC,True,True
3,[C][C][O][C][C][Branch1][C][F][C][=C][C][=C][C][=C][Branch1][#Branch1][C][O][C][Ring1][Ring2][=O][C][N][C][C][=C][C][Branch1][C][I][=C][Ring1][Ring1][C][=Branch1][C][=O][N][C],CCOCC(F)C=CC=CC=C(COC=O)CNCC=CC(I)=CC(=O)NC,CCOCC(F)C=CC=CC=C(CNCC=CC(I)=CC(=O)NC)COC=O,True,True
4,[C][O][C][=C][C][Branch2][Ring1][C][N][C][=C][C][=N][C][=C][Branch1][C][F][C][=C][Branch1][C][C][N][=C][Ring1][Branch2][C][=C][N][C][Branch1][S][C][=C][=Branch1][C][=O][Cl][C][=C][Ring1][Branch1][C][C][=C][Ring1][=C][=C][Ring2][Ring1][Ring2][=C],C1OC=CC1(NC=C2C=NC=C(F)C=C(C)N=C)C=CNC(C=C(O)Cl)=C2C,C=NC(C)=CC(F)=CN=CC1=CNC2(C=CNC(C=C(O)Cl)=C1C)C=COC2,True,True
5,[C][C@][Branch1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][Ring1][=Branch1][=C][C][=C][Ring1][#Branch2][C@][Branch1][C][N][C][=C][C][Branch1][N][C][=Branch1][C][=O][C][C],C[C@](C(=O)C)=CC=CC=CC=C[C@](N)C=CCC(=O)CC,CCC(=O)CC=C[C](N)C=CC=CC=CC=C(C)C(C)=O,True,True
6,[C][O][C][C][=Branch1][O][=C][Branch1][C][C][S][C][=C][=Branch1][C][=O][C][=C][Ring1][=Branch2][C][=C][Branch1][C][F][C][=C][Branch1][=N][C][C][=C][C][=Branch1][C][=O][N][Ring1][Branch2][=O][C][=Ring1][=N][C][=C][Ring2][Ring1][Branch1],COCC(=C(C)SC=CO)C=CC=C(F)C1=CCC=CC(=O)N1OC,COCC(C=CC=C(F)C1=CCC=CC(=O)N1OC)=C(C)SC=CO,True,True
7,[C][C@H1][Branch1][C][N][C][O][N][C][=C][C][=C][Branch1][C][I][C][=C][Ring1][Branch2][N][C][=Branch1][C][=O][S][C][=C][Ring1][S][Ring2][Ring1][=Branch1],C1[C@H1](N)C2ON3C=CC=C(I)C=C3NC(=O)SC=C21,N[C@H]1CC2=CSC(=O)NC3=CC(I)=CC=CN3OC21,True,True
8,[O][C][=C][Branch2][Ring1][=C][C][F][C][=Branch1][C][=O][C][=C][Branch2][Ring1][C][O][C][C][Branch1][C][C][=C][Branch1][N][O][C][C][=C][C][=C][Ring1][=Branch1][O][C][Ring1][=C][C][Branch1][C][C][Branch1][C][Cl][C][Ring2][Ring1][Ring1][C][O],O1C=C(CF)C1C(C)(Cl)CCO,CC(Cl)(CCO)C1OC=C1CF,True,True
9,[C][C][C][C][=C][C][Branch1][C][F][=C][#C][C][=C][C][Ring1][=Branch1][Branch1][C][Cl][C][=C][C][=O][C][=C][C][=C][C][=C][C][Branch1][#Branch2][C][Branch1][Ring2][N][Ring1][=Branch1][C][=C][C][=C][Ring1][=C][Branch1][C][O][C][C][Ring1][Ring1],CCCC=CC(F)=C=CC=CC(Cl)C=CC=O,CCCC=CC(F)=C=CC=CC(Cl)C=CC=O,True,True
10,[C][C][=Branch1][C][=O][C][O][C][=Branch1][Branch2][=N][C][O][S][C][C][Ring1][=Branch1][C][C][Branch1][#Branch2][C][=C][C][Branch1][C][Br][=C][C][Branch1][#Branch1][C][=Branch1][C][=O][O][C][=N][Ring1][=N][=C][Ring2][Ring1][Branch1][C][Ring1][N],CC(=O)COC(=NCOSCC)C1C(C=CC(Br)=CCC(=O)OC)=N1,CCSOCN=C(OCC(C)=O)C1N=C1C=CC(Br)=CCC(=O)OC,True,True
11,[C][=C][C][=C][Branch1][#Branch1][N][C][C][O][C][Branch1][C][C][=C][C][=C][Branch2][Ring1][Branch1][O][C][C][=C][C][Branch1][Ring1][C][O][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][Branch1][C][C][=C][Ring2][Ring1][#Branch1],C=CC=C(N1CCOCC)CC=C(OCC=C2C(CO)C=C2C(=O)CC)C1,C=CC=C1CC=C(OCC=C2C(C(=O)CC)=CC2CO)CN1CCOCC,True,True
12,[C][C][S][=Branch1][C][=O][C][C][Branch2][Ring2][C][C][=C][Ring1][=Branch1][C][=N][C][=C][Branch1][#Branch1][S][C][=C][Ring1][N][F][C][N][C][=C][Branch1][C][O][C][C][=O][C][C][Branch1][C][N][=C][Ring1][O],CCS1(=O)CC(C=C1C=NC=C(SC=CF)CNC=C(O)CC=O)O,CC[SH]1(=O)CC(O)C=C1C=NC=C(CNC=C(O)CC=O)SC=CF,True,True
13,[O][=C][C][Branch1][C][C][C@@H1][C][C][Branch1][=C][C][=Branch1][C][=O][C][N][C][Branch1][C][Cl][=C][N][Branch2][Ring1][C][O][C][=C][C][C][Ring1][#Branch1][Branch1][Ring2][C][C][O][=N][C][Ring1][#Branch2][=C][Ring2][Ring1][Ring1][C][=C][Ring1][Branch2],O=CC(C)[C@@H1]CC(C(=O)CNC(Cl)=C1NOC=CCC1(C2CO)NC=C)C=C2,C=CNC12CC=CONC1=C(Cl)NCC(=O)C(C[CH]C(C)C=O)C=CC2CO,True,True
14,[C][N][C][=Branch1][C][=O][C][=C][C][Branch1][P][C][N][Branch2][Ring1][Ring2][C][Branch1][C][C][N][C][=C][C][=N][Ring1][Branch1][N][C][C][=C][C][Ring1][=Branch1][=O][S][C][Ring2][Ring1][Branch1][=O][C][=C][O][C][Ring1][Ring1],C1NC(=O)C=CC(CNC(C)N2C=CC=N2)SC1=O,CC(NCC1C=CC(=O)NCC(=O)S1)n1cccn1,True,True
15,[C][C][Branch2][Ring1][=Branch1][C][O][C][=C][C][Branch1][C][O][C][=N][C][NH1][C][=C][C][=Branch1][C][=O][O][C][Ring1][P][=Branch1][C][=O][N][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch2],CC(COC=CC(O)C=NC[NH1]C=CC(=O)OC)(O)NC=CC(Cl)=C,C=C(Cl)C=CNC(C)(O)COC=CC(O)C=NCNC=CC(=O)OC,True,True
16,[C][#C][N][C][Branch1][C][C][Branch1][C][O][C][C@@H1][Branch1][=C][C][C][=C][C][=C][O][C][Ring1][=Branch1][=O][C][=C][Branch1][C][F][Cl][C][=C][C][=C][Branch1][C][O][C][=C][C][Ring1][#Branch1][=Ring1][S][Ring2][Ring1][Ring1][N],C#CNC(C)(O)C[C@@H1](CC1=CC=COC1=O)CF,C#CNC(C)(O)C[C@H](CF)Cc1cccoc1=O,True,True
17,[C][C][C][=C][Branch2][Ring2][C][=N][C][Branch1][C][N][=C][Branch1][C][Br][N][=C][Ring1][#Branch1][NH1][C][Branch1][C][C][C][N][=C][Branch1][C][N][C][=C][C][=C][C][=C][Ring1][#Branch2][C][=N][Ring1][Branch2][C][Branch1][Ring2][C][=Branch1][C][=O][N],CCC=C(N1C(N)=C(Br)N=C1[NH1]C(C)C2N=C(N)C3=CC=CC=C2C)N3C(C=O)N,CCC=C1N(C(N)C=O)C2=CC=CC=C(C)C(N=C2N)C(C)Nc2nc(Br)c(N)n21,True,True
18,[C][#C][C][C][=C][C][C][Branch1][C][O][C][=Branch1][Branch1][=C][C][C][=C][C][=C][Ring1][=Branch1][C][=Branch2][Ring1][C][=C][Ring1][=N],C#CCC=C1CC(O)C(=C2CC=C)C=C2C=C1,C#CCC=C1C=CC2=CC(=C2CC=C)C(O)C1,True,True
19,[O][=C][Branch1][Ring1][C][Br][C][C][=C][C][Branch2][Ring1][=Branch2][C][Branch1][C][C][Branch1][C][F][C][=C][C][Branch1][#Branch1][C][=C][C][=C][Ring1][Ring1][C][=C][C][Branch1][C][Cl][=N][C@H1][Ring1][P][C],O=C(CBr)CC=CC(C(C)(F)C=CC(C=C1C=C1)C=CCCl)=N[C@H1]C,C[CH]N=C(C=CCC(=O)CBr)C(C)(F)C=CC(C=CCCl)C=C1C=C1,True,True
20,[C][#C][C][=Branch1][C][=O][C][C][N][C][=Branch1][C][=O][C][O][C][=C][N][Ring1][Branch1][C][C][=C][Branch1][C][C][C@@H1][Ring1][=Branch1][C][=Branch1][C][=O][C@][Ring2][Ring1][Branch1][O][C][=Branch1][C][=N][N],C#CC(=O)CCNC(=O)C1OC=CN1CC=C(C)[C@@H1]C(=O)[C@]OC(=N)N,C#CC(=O)CCNC(=O)C1OC=CN1CC=C(C)[CH]C(=O)[C]OC(=N)N,True,True
21,[C][O][Branch1][Ring1][O][C][=C][\O][C][C][C][Branch2][Ring1][=N][C@@][Branch1][=C][C][=C][Branch1][C][F][C][=C][C][Branch1][C][Cl][=C][Ring1][=Branch2][C][=C][Branch1][S][C][=C][C][C][=C][C][Ring2][Ring1][=Branch1][=O][C][=Branch1][C][=O][C][C][Ring1][=Branch2],C=O,C=O,True,True
22,[C][C][=Branch1][C][=O][N][C][C][NH1][C][=N][C][=C][C][C][Ring1][=Branch1][C][N][C][=C][Branch1][C][S][C][=C][N][=C][Ring1][=Branch2][=N][C][=C][C][=Ring1][=Branch1][N][Ring2][Ring1][C][C][=C][Ring1][=Branch2][C][Ring2][Ring1][N],CC(=O)NCC[NH1]C1=NC2=CCC1C3NC=C(S)C=CN=C3NC=CCN2C=CC,CC=CN1CC=CNC2=NC=CC(S)=CNC2C2CC=C1N=C2NCCNC(C)=O,True,True
