prior_pool_row,prior_candidate_id,decoded_selfies,decoded_smiles,canonical_smiles,is_rdkit_valid,selected_for_property_oracle,FractionCSP3,HBA,TPSA,cLogP,BertzCT,HeavyAtomCount,selfies_len_tokens,branch_token_count,ring_token_count,token_entropy
0,0,[C][C][=Branch1][C][=O][N][Branch1][C][O][C][=C][C][=C][Branch1][O][C][C][=C][Ring1][Branch2][C][C][=C][Ring1][N][Ring1][=Branch1][C][=C][C][Branch1][#Branch2][C][=Branch1][C][=O][C][C][C][S][C@H1][Ring1][=Branch1],CC(=O)N(O1)C=CC=CCC=C1CC=C,C=CCC1=CCC=CC=CN(C(C)=O)O1,True,True,0.25,2.0,29.540000000000003,2.700100000000001,312.93001187765793,15.0,43.0,9.0,4.0,2.022667761055207
1,1,[N][#C][C][C][=C][O][C][=Branch1][C][=O][N][C][Branch1][C][Cl][=C][C][=N][C][=C][C][C][=C][Ring1][=Branch1][=N][C][=C][C][=C][Branch1][Ring1][C],N#CCC=COC(=O)NC(Cl)=CC=NC=CCC=CNC=CC=CC,CC=CC=CNC=CCC=CN=CC=C(Cl)NC(=O)OC=CCC#N,True,True,0.16666666666666666,5.0,86.50999999999999,4.387880000000003,592.4397934833856,25.0,33.0,4.0,2.0,1.9502539169826094
2,2,[C][C][O][C][=Branch1][C][=O][C][C][O][C][=C][Branch1][#Branch1][C][N][C][C][Cl][C][=C][NH1][C][Ring1][=Branch1][=C][C][Ring1][=C][C][=Branch1][C][=O][O][C][=C][C][C][Branch1][Ring1][N][C][=C][C][Branch1][C][C][=C][Ring1][N],CCOC(=O)CC1OC=C(CNC2CCl)C[NH1]C2=CC1C(=O)OC=CCC(NC)=CC(C)=C,C=C(C)C=C(CC=COC(=O)C1C=C2NCC(=COC1CC(=O)OCC)CNC2CCl)NC,True,True,0.5,8.0,97.92,2.649000000000001,793.8949464100463,33.0,50.0,7.0,4.0,1.877240519690408
3,3,[C][C][O][C][C][Branch1][C][F][C][=C][C][=C][C][=C][Branch1][#Branch1][C][O][C][Ring1][Ring2][=O][C][N][C][C][=C][C][Branch1][C][I][=C][Ring1][Ring1][C][=Branch1][C][=O][N][C],CCOCC(F)C=CC=CC=C(COC=O)CNCC=CC(I)=CC(=O)NC,CCOCC(F)C=CC=CC=C(CNCC=CC(I)=CC(=O)NC)COC=O,True,True,0.4,5.0,76.66,2.783500000000001,562.8457306866737,28.0,40.0,5.0,4.0,1.9182685036221911
4,4,[C][O][C][=C][C][Branch2][Ring1][C][N][C][=C][C][=N][C][=C][Branch1][C][F][C][=C][Branch1][C][C][N][=C][Ring1][Branch2][C][=C][N][C][Branch1][S][C][=C][=Branch1][C][=O][Cl][C][=C][Ring1][Branch1][C][C][=C][Ring1][=C][=C][Ring2][Ring1][Ring2][=C],C1OC=CC1(NC=C2C=NC=C(F)C=C(C)N=C)C=CNC(C=C(O)Cl)=C2C,C=NC(C)=CC(F)=CN=CC1=CNC2(C=CNC(C=C(O)Cl)=C1C)C=COC2,True,True,0.2,6.0,78.24,4.257800000000003,823.264090969665,28.0,53.0,7.0,7.0,2.0550774978071953
5,5,[C][C@][Branch1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][Ring1][=Branch1][=C][C][=C][Ring1][#Branch2][C@][Branch1][C][N][C][=C][C][Branch1][N][C][=Branch1][C][=O][C][C],C[C@](C(=O)C)=CC=CC=CC=C[C@](N)C=CCC(=O)CC,CCC(=O)CC=C[C](N)C=CC=CC=CC=C(C)C(C)=O,True,True,0.2777777777777778,3.0,60.160000000000004,3.606390000000002,464.2667786696706,21.0,35.0,8.0,2.0,1.858771377725197
6,6,[C][O][C][C][=Branch1][O][=C][Branch1][C][C][S][C][=C][=Branch1][C][=O][C][=C][Ring1][=Branch2][C][=C][Branch1][C][F][C][=C][Branch1][=N][C][C][=C][C][=Branch1][C][=O][N][Ring1][Branch2][=O][C][=Ring1][=N][C][=C][Ring2][Ring1][Branch1],COCC(=C(C)SC=CO)C=CC=C(F)C1=CCC=CC(=O)N1OC,COCC(C=CC=C(F)C1=CCC=CC(=O)N1OC)=C(C)SC=CO,True,True,0.2777777777777778,5.0,59.0,4.312600000000003,614.4237512704517,25.0,48.0,9.0,5.0,2.2047161222188247
7,7,[C][C@H1][Branch1][C][N][C][O][N][C][=C][C][=C][Branch1][C][I][C][=C][Ring1][Branch2][N][C][=Branch1][C][=O][S][C][=C][Ring1][S][Ring2][Ring1][=Branch1],C1[C@H1](N)C2ON3C=CC=C(I)C=C3NC(=O)SC=C21,N[C@H]1CC2=CSC(=O)NC3=CC(I)=CC=CN3OC21,True,True,0.25,5.0,67.59,2.3475,510.1564000692311,19.0,32.0,5.0,4.0,2.2369363656188406
8,8,[O][C][=C][Branch2][Ring1][=C][C][F][C][=Branch1][C][=O][C][=C][Branch2][Ring1][C][O][C][C][Branch1][C][C][=C][Branch1][N][O][C][C][=C][C][=C][Ring1][=Branch1][O][C][Ring1][=C][C][Branch1][C][C][Branch1][C][Cl][C][Ring2][Ring1][Ring1][C][O],O1C=C(CF)C1C(C)(Cl)CCO,CC(Cl)(CCO)C1OC=C1CF,True,True,0.75,2.0,29.46,1.6184999999999998,174.47733175670794,12.0,51.0,8.0,7.0,1.958266239415989
9,9,[C][C][C][C][=C][C][Branch1][C][F][=C][#C][C][=C][C][Ring1][=Branch1][Branch1][C][Cl][C][=C][C][=O][C][=C][C][=C][C][=C][C][Branch1][#Branch2][C][Branch1][Ring2][N][Ring1][=Branch1][C][=C][C][=C][Ring1][=C][Branch1][C][O][C][C][Ring1][Ring1],CCCC=CC(F)=C=CC=CC(Cl)C=CC=O,CCCC=CC(F)=C=CC=CC(Cl)C=CC=O,True,True,0.2857142857142857,1.0,17.07,4.269900000000003,344.2346001038465,17.0,51.0,8.0,6.0,1.883953169830341
10,10,[C][C][=Branch1][C][=O][C][O][C][=Branch1][Branch2][=N][C][O][S][C][C][Ring1][=Branch1][C][C][Branch1][#Branch2][C][=C][C][Branch1][C][Br][=C][C][Branch1][#Branch1][C][=Branch1][C][=O][O][C][=N][Ring1][=N][=C][Ring2][Ring1][Branch1][C][Ring1][N],CC(=O)COC(=NCOSCC)C1C(C=CC(Br)=CCC(=O)OC)=N1,CCSOCN=C(OCC(C)=O)C1N=C1C=CC(Br)=CCC(=O)OC,True,True,0.5,8.0,86.55000000000001,2.854000000000001,562.8457306866737,25.0,48.0,11.0,5.0,2.2058670747682556
11,11,[C][=C][C][=C][Branch1][#Branch1][N][C][C][O][C][Branch1][C][C][=C][C][=C][Branch2][Ring1][Branch1][O][C][C][=C][C][Branch1][Ring1][C][O][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][Branch1][C][C][=C][Ring2][Ring1][#Branch1],C=CC=C(N1CCOCC)CC=C(OCC=C2C(CO)C=C2C(=O)CC)C1,C=CC=C1CC=C(OCC=C2C(C(=O)CC)=CC2CO)CN1CCOCC,True,True,0.5,5.0,59.00000000000001,3.1530000000000014,634.9494616147807,27.0,45.0,10.0,5.0,1.910910150205601
12,12,[C][C][S][=Branch1][C][=O][C][C][Branch2][Ring2][C][C][=C][Ring1][=Branch1][C][=N][C][=C][Branch1][#Branch1][S][C][=C][Ring1][N][F][C][N][C][=C][Branch1][C][O][C][C][=O][C][C][Branch1][C][N][=C][Ring1][O],CCS1(=O)CC(C=C1C=NC=C(SC=CF)CNC=C(O)CC=O)O,CC[SH]1(=O)CC(O)C=C1C=NC=C(CNC=C(O)CC=O)SC=CF,True,True,0.375,7.0,98.99,1.9455000000000005,616.4237512704516,25.0,45.0,7.0,4.0,2.1287387287304527
