method,scale,property,seed_id,confound,spearman_alpha_confound,spearman_abs_alpha_confound,slope_confound_per_alpha,slope_confound_per_abs_alpha
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,0,selfies_len_tokens,0.7050239879106327,-0.23511973372743394,4.363636363636367,-1.5823095823096611
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,0,branch_token_count,0.9219544457292888,0.19070431176393068,1.350649350649351,0.5012285012284922
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,0,ring_token_count,-0.12016032071277435,0.561295145894952,-0.0779220779220778,0.7714987714987662
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,0,token_entropy,0.7050239879106327,-0.23511973372743394,0.03317290234062369,-0.009152768456117281
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,1,selfies_len_tokens,0.08772724869504703,-0.5989284807164443,0.37662337662338125,-1.7960687960688528
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,1,branch_token_count,-0.7968514106698038,-0.03161771425312116,-0.8701298701298693,0.10073710073709277
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,1,ring_token_count,-0.46552304920732795,-0.5204137265860836,-0.5064935064935054,-0.9213759213759283
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,1,token_entropy,-0.9336122590413302,-0.11971709929686558,-0.06363235155385996,-0.035375313707348324
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,2,selfies_len_tokens,0.8487268107391843,0.3017008366486462,2.207792207792216,1.7444717444717033
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,2,branch_token_count,0.6030860285485022,0.2690287684292625,0.5454545454545455,0.5454545454545373
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,2,ring_token_count,0.8716308047219646,0.3098426251013783,0.9610389610389612,0.8452088452088429
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,2,token_entropy,0.6550991551421408,0.5287160430715161,0.038887370705300725,0.06254265771911642
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,3,selfies_len_tokens,-0.6809084840390546,0.5011563802633501,-0.441558441558436,0.6732186732186051
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,3,branch_token_count,-0.6809084840390546,0.5011563802633501,-0.4415584415584417,0.6732186732186632
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,3,ring_token_count,-0.6809084840390546,0.5011563802633501,-0.4415584415584411,0.6732186732186652
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,3,token_entropy,-0.6809084840390546,0.5011563802633501,-0.024329854021305726,0.03709432433454839
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,4,selfies_len_tokens,-0.30895719032666236,-0.4147991837650081,-0.5064935064935009,-1.1277641277641761
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,4,branch_token_count,0.833939173713854,-0.045985439597549145,0.7922077922077931,-0.09090909090909968
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,4,ring_token_count,0.34641016151377546,-0.7171380492789003,0.28571428571428614,-1.218673218673231
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,4,token_entropy,-0.41525175206771603,0.07281063167693295,-0.013001706448815124,0.02868585678060356
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,5,selfies_len_tokens,0.46159309117249775,-0.009240867055787872,0.32467532467532473,-0.06142506142511369
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,5,branch_token_count,0.13394992994420493,-0.26816118317592513,0.06493506493506686,-0.2825552825552924
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,5,ring_token_count,0.2959320151246863,-0.2875083094044027,0.22077922077922119,-0.43488943488943943
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,5,token_entropy,0.08221128784786758,0.48295656039930307,0.0016561610624473858,0.10445057604004601
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,6,selfies_len_tokens,-0.13394992994420493,-0.3217934198111102,-0.06493506493506238,-0.2825552825553551
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,6,branch_token_count,-0.5908391567007971,0.18481734111575743,-0.4155844155844147,0.2997542997542916
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,6,ring_token_count,0.5908391567007971,-0.18481734111575743,0.41558441558441594,-0.2997542997543062
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,6,token_entropy,0.5637295619795012,-0.16907249520826903,0.007015037205461784,0.006381758782962154
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,7,selfies_len_tokens,-0.15295317853266813,0.3944512627629008,0.8311688311688333,2.8501228501227973
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,7,branch_token_count,0.8581163303210331,0.2624579775516101,0.7012987012987015,0.35380835380834746
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,7,ring_token_count,0.49346377121982676,0.13748139204937945,0.6493506493506497,0.39312039312038394
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,7,token_entropy,0.08092016914814582,-0.7961536816516205,-0.008055623101579293,-0.11937237711372026
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,8,selfies_len_tokens,0.8420753583206845,0.3647149450483,2.0259740259740293,1.5626535626535187
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,8,branch_token_count,-0.7385489458759964,0.4805250869009694,-0.5194805194805195,0.7125307125307072
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,8,ring_token_count,-0.19432508268938875,-0.7861633259930022,-0.15584415584415495,-1.233415233415244
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,8,token_entropy,-0.6483545606870028,0.03749399679308715,-0.046562821019411026,0.05657817552136799
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,9,selfies_len_tokens,-0.47193990372426947,-0.2586953794651366,-0.2727272727272707,-0.2727272727273259
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,9,branch_token_count,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,9,ring_token_count,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,9,token_entropy,-0.7451139545028029,-0.5569816796186973,-0.02113839237054532,-0.030917243573370345
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,10,selfies_len_tokens,0.3849084009239672,-0.5023799355597351,0.3896103896103922,-0.8796068796069139
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,10,branch_token_count,0.6809084840390546,0.5412488906844181,0.4415584415584416,0.6732186732186689
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,10,ring_token_count,0.1147177979224373,-0.7977642284978652,0.24675324675324803,-2.253071253071259
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,10,token_entropy,0.08778655315220027,-0.6587034150573454,-0.0006796029732313398,-0.06435632581292876
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,11,selfies_len_tokens,-0.8581163303210331,0.1670187129873882,-0.7012987012987009,0.3538083538083087
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,11,branch_token_count,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,11,ring_token_count,-0.7243121558924397,0.2521804129332397,-0.5974025974025967,0.4963144963144843
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,11,token_entropy,-0.9141839429651113,-0.05697106932609712,-0.03349141274114304,-0.026791397598720297
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,12,selfies_len_tokens,-0.3142985387733344,-0.0037534233610381773,-0.9350649350649362,0.34398034398027943
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,12,branch_token_count,-0.09066954084605028,0.1350565246646106,-0.09090909090909002,0.4299754299754239
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,12,ring_token_count,-0.8643283207832727,0.09669563052742924,-1.7662337662337657,0.7027027027026949
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,12,token_entropy,-0.7909913729112711,0.2178831422399305,-0.08878014337907354,0.08223039999595023
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,13,selfies_len_tokens,-0.8421428296046612,0.30258302594789355,-2.5714285714285654,2.3783783783783154
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,13,branch_token_count,-0.8179919859698438,0.10961941249074031,-0.7272727272727266,0.18673218673217584
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,13,ring_token_count,-0.7715499051897727,-0.07092574113747367,-0.6363636363636352,-0.07125307125307857
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,13,token_entropy,-0.8526785639291413,-0.13764064163003847,-0.010616706476166565,-0.009145735508920082
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,14,selfies_len_tokens,0.6809084840390546,0.5412488906844181,3.974025974025976,6.058968058968032
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,14,branch_token_count,0.6695387880663839,0.5230534443633628,0.6363636363636368,0.9066339066339041
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,14,ring_token_count,,,0.0,0.0
