method,scale,property,confound,seeds,median_spearman_alpha_confound,median_abs_spearman_alpha_confound,median_spearman_abs_alpha_confound,median_abs_spearman_abs_alpha_confound,fraction_positive_spearman,median_slope_confound_per_alpha,median_slope_confound_per_abs_alpha
ChemSpacE released-ZINC protocol,native_l2,BertzCT,branch_token_count,200,0.2638974951553904,0.5090097337879789,0.02468351625784892,0.3222855953161199,0.555,0.09740259740259821,0.0
ChemSpacE released-ZINC protocol,native_l2,BertzCT,ring_token_count,200,0.26623834702676696,0.5090097337879789,-0.008951882754715371,0.34430871917464123,0.53,0.09740259740259789,0.0
ChemSpacE released-ZINC protocol,native_l2,BertzCT,selfies_len_tokens,200,0.45468853484783245,0.5403426169826773,-0.021329758402603545,0.32966080743515686,0.765,0.7662337662337696,-0.20393120393125566
ChemSpacE released-ZINC protocol,native_l2,BertzCT,token_entropy,200,0.02988071523335984,0.5090097337879789,-0.0770932537808943,0.3207032338764353,0.515,0.0025170925812569894,-0.008023365319613621
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,branch_token_count,200,0.13068086390180567,0.5241150773011195,0.13347616267010082,0.36464304282011173,0.475,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,ring_token_count,200,-0.20018544278439163,0.49761398792377065,0.05711503128105685,0.3492320256140201,0.34,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,selfies_len_tokens,200,-0.06215920599072439,0.5707565439130476,0.022000372276440992,0.34003154715198575,0.44,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,token_entropy,200,-0.22155927519380125,0.5910666988426394,-0.028556773897917907,0.36562047058471103,0.385,-0.011730864872464648,0.0
ChemSpacE released-ZINC protocol,native_l2,HBA,branch_token_count,200,0.38502924327052024,0.5781460913680707,0.04230649273440837,0.3374841716590342,0.555,0.1363636363636379,0.0
ChemSpacE released-ZINC protocol,native_l2,HBA,ring_token_count,200,-0.05094878021011477,0.5090097337879789,0.01072840105406507,0.33014765331854623,0.4,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,HBA,selfies_len_tokens,200,0.3692744729379982,0.5163575280341587,0.018481734111575745,0.33656686742842185,0.635,0.35064935064935554,0.0
ChemSpacE released-ZINC protocol,native_l2,HBA,token_entropy,200,0.05439202001085621,0.5497478568545855,-0.019238087600406458,0.35238316757647037,0.505,0.0019202734770937496,-0.004611942276607453
ChemSpacE released-ZINC protocol,native_l2,HeavyAtomCount,branch_token_count,200,0.42905816516051654,0.5838742081211422,0.0147265982401778,0.3217934198111102,0.57,0.22077922077922246,0.0
ChemSpacE released-ZINC protocol,native_l2,HeavyAtomCount,ring_token_count,200,0.27695585470349865,0.5769233246911285,0.049718745148042864,0.35115294811993913,0.52,0.06493506493506535,0.0
ChemSpacE released-ZINC protocol,native_l2,HeavyAtomCount,selfies_len_tokens,200,0.6067798762169179,0.6531316495735977,0.022952042660703935,0.2926678642800268,0.8,1.0844155844155887,-0.028255528255566407
ChemSpacE released-ZINC protocol,native_l2,HeavyAtomCount,token_entropy,200,-0.0063233245110786585,0.5830809753337953,-0.016822597055515583,0.34387102988660323,0.485,-0.0011289295426232223,0.000476602424225455
ChemSpacE released-ZINC protocol,native_l2,TPSA,branch_token_count,200,0.4240728820021082,0.6275209392982951,0.004188646249944875,0.3647149450483,0.565,0.22077922077922152,0.0
ChemSpacE released-ZINC protocol,native_l2,TPSA,ring_token_count,200,0.0018153018515705372,0.5222329678670935,-0.0197742289032641,0.35115294811993913,0.41,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,TPSA,selfies_len_tokens,200,0.43942508530397484,0.5829752480681661,0.038721814981509256,0.3098426251013783,0.645,0.6103896103896154,0.0
ChemSpacE released-ZINC protocol,native_l2,TPSA,token_entropy,200,0.09547620209618937,0.5760809813658958,-0.0437218879626063,0.28559135686842574,0.535,0.001874861650753867,-0.002004227287399725
ChemSpacE released-ZINC protocol,native_l2,cLogP,branch_token_count,200,0.1710111056408246,0.5194474717968627,-0.023641913712491223,0.3560989116165222,0.48,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,cLogP,ring_token_count,200,0.2476832821825301,0.5411431853189934,-0.010020203194050803,0.34471912773477287,0.53,0.07142857142857201,0.0
ChemSpacE released-ZINC protocol,native_l2,cLogP,selfies_len_tokens,200,0.2665151668691644,0.5179252159405614,-0.01846697760537689,0.33235301575617926,0.64,0.3896103896103922,0.0
ChemSpacE released-ZINC protocol,native_l2,cLogP,token_entropy,200,-0.13966080945795156,0.5612275254847457,-0.009046126196571618,0.31558512142399037,0.44,-0.005298274849002762,0.0
