method,scale,property,requested_candidates,valid_count,valid_fraction,raw_unique_count,raw_unique_fraction_total,canonical_unique_count,canonical_unique_fraction_total,training_novel_fraction_total,training_novel_fraction_valid,full_path_valid_fraction,ssr_official_code_compatible,ssr_expected_all_valid,rsr_local_official_code_compatible,rsr_global_official_code_compatible,median_per_seed_spearman,median_per_seed_slope,fraction_seeds_positive_slope,median_expected_sign_fraction,changed_from_seed_fraction_all,median_seed_similarity,scaffold_evaluable_fraction,fraction_at_decoder_token_budget,median_sa_score,median_np_likeness_score,median_per_seed_spearman_sa_score,median_per_seed_spearman_np_likeness
MolecuLA continuous OLS,native_l2,FractionCSP3,1050,1050,1.0,927,0.8828571428571429,927,0.8828571428571429,0.8828571428571429,0.8828571428571429,1.0,0.0,0.0,0.04,0.06,0.9375830865193071,0.003902932139675612,1.0,0.9,0.861904761904762,0.08040845648604264,0.8171428571428572,0.09523809523809523,4.7960238890013684,0.6327032040343591,-0.28033499877960416,-0.016932390804891756
MolecuLA continuous OLS,train_std_unit,FractionCSP3,1050,1050,1.0,57,0.054285714285714284,57,0.054285714285714284,0.22,0.22,1.0,0.06,0.06,0.06,0.08,0.8174238913695991,0.0,0.08,0.0,0.04857142857142857,1.0,1.0,0.0,2.4512319297902634,-0.8399808981387062,-0.0986781019211243,-0.12072495303320785
MolecuLA continuous OLS,native_l2,HBA,1050,1050,1.0,794,0.7561904761904762,786,0.7485714285714286,0.8723809523809524,0.8723809523809524,1.0,0.0,0.0,0.04,0.0,0.9548003033902334,0.07965367965367966,1.0,0.85,0.8580952380952381,0.0836513994910941,0.7114285714285714,0.16666666666666666,4.275637019013134,0.20461178596180904,0.5886387213721549,-0.4488939351993346
MolecuLA continuous OLS,train_std_unit,HBA,1050,1050,1.0,59,0.05619047619047619,59,0.05619047619047619,0.22285714285714286,0.22285714285714286,1.0,0.1,0.08,0.1,0.1,0.19803222946341958,0.0,0.06,0.0,0.040952380952380955,1.0,1.0,0.0,2.4512319297902634,-0.8733035676160001,-0.06891224127121959,-0.4381867142092178
MolecuLA continuous OLS,native_l2,TPSA,1050,1050,1.0,857,0.8161904761904762,851,0.8104761904761905,0.8419047619047619,0.8419047619047619,1.0,0.0,0.0,0.0,0.0,0.9355755287273433,0.7568359307359307,1.0,0.85,0.839047619047619,0.0895522388059701,0.7085714285714285,0.10952380952380952,4.0700678667433845,0.29758342348383837,0.5615405721009992,-0.4672416706815967
MolecuLA continuous OLS,train_std_unit,TPSA,1050,1050,1.0,57,0.054285714285714284,57,0.054285714285714284,0.2257142857142857,0.2257142857142857,1.0,0.08,0.06,0.08,0.1,0.8003866715851198,0.0,0.06,0.0,0.04,1.0,1.0,0.0,2.4512319297902634,-0.8733035676160001,-0.7833494518006403,-0.7833494518006403
MolecuLA continuous OLS,native_l2,cLogP,1050,1050,1.0,836,0.7961904761904762,832,0.7923809523809524,0.88,0.88,1.0,0.0,0.0,0.38,0.12,0.9351543845824835,0.08463276623376594,1.0,0.875,0.8495238095238096,0.0920296430732002,0.6695238095238095,0.1457142857142857,4.114691158552571,0.43869906989925,0.5156098556557015,0.4340034825416175
MolecuLA continuous OLS,train_std_unit,cLogP,1050,1050,1.0,59,0.05619047619047619,59,0.05619047619047619,0.22380952380952382,0.22380952380952382,1.0,0.04,0.04,0.04,0.04,0.6083829962530759,0.0,0.08,0.0,0.04857142857142857,1.0,1.0,0.0,2.4512319297902634,-0.8733035676160001,0.3692744729379982,0.3692744729379982
MolecuLA continuous OLS,native_l2,BertzCT,1050,1050,1.0,739,0.7038095238095238,729,0.6942857142857143,0.9028571428571428,0.9028571428571428,1.0,0.0,0.0,0.08,0.02,0.9494751924649562,10.760859541722995,1.0,0.9,0.8952380952380953,0.081967213114754,0.6285714285714286,0.22380952380952382,3.7502255765384986,0.34785200865137755,0.810451015883857,0.25069032291935756
MolecuLA continuous OLS,train_std_unit,BertzCT,1050,1050,1.0,79,0.07523809523809524,79,0.07523809523809524,0.24285714285714285,0.24285714285714285,1.0,0.22,0.22,0.22,0.24,0.3795182352787424,0.0,0.28,0.0,0.07714285714285714,1.0,1.0,0.0,2.4601800072255564,-0.8066582286614122,0.3692744729379982,0.3692744729379982
MolecuLA continuous OLS,native_l2,HeavyAtomCount,1050,1018,0.9695238095238096,695,0.6619047619047619,689,0.6561904761904762,0.8695238095238095,0.8968565815324165,0.82,0.02,0.02,0.1,0.02,0.9676437564635011,0.3096969696969697,1.0,0.8911764705882352,0.8638095238095238,0.0857142857142857,0.6453831041257367,0.22095238095238096,4.824436059999182,0.4008919583186398,0.37398069214702045,0.4032070231404683
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,1050,1050,1.0,77,0.07333333333333333,77,0.07333333333333333,0.24761904761904763,0.24761904761904763,1.0,0.24,0.24,0.26,0.26,0.5090097337879789,0.0,0.3,0.0,0.0761904761904762,1.0,1.0,0.0,2.4601800072255564,-0.8399808981387062,0.3692744729379982,0.3692744729379982
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,1050,1050,1.0,306,0.2914285714285714,306,0.2914285714285714,0.9628571428571429,0.9628571428571429,1.0,0.02,0.02,0.9,0.9,0.9186028181974921,0.004750229568411387,1.0,1.0,0.9542857142857143,0.02210012210012205,0.10095238095238095,0.8742857142857143,4.718797012828133,0.015864731175254543,-0.8146194471252192,-0.3861324275060951
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,1050,1050,1.0,311,0.29619047619047617,311,0.29619047619047617,0.9628571428571429,0.9628571428571429,1.0,0.0,0.0,0.64,0.64,0.9300198971520371,0.0047241008854309345,1.0,1.0,0.9542857142857143,0.02515822784810125,0.1580952380952381,0.7961904761904762,4.718797012828133,0.07275510653960066,-0.7876302812752622,-0.5912432993635728
