method,scale,property,seed_id,objective,seed_similarity_cutoff,candidate_budget,eligible_valid_changed_candidates,success,best_objective_improvement,selected_alpha,selected_seed_similarity,selected_sa_score_delta
MolecuLA continuous OLS,native_l2,FractionCSP3,0,maximize,0.0,21,18,True,1.0,105.0,0.0317460317460317,1.975828982925272
MolecuLA continuous OLS,native_l2,FractionCSP3,0,maximize,0.2,21,1,True,0.0476190476190476,-30.0,0.3235294117647059,1.2345253953491309
MolecuLA continuous OLS,native_l2,FractionCSP3,0,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,0,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,0,minimize,0.0,21,18,False,-0.0,-135.0,0.050632911392405,5.61005942980256
MolecuLA continuous OLS,native_l2,FractionCSP3,0,minimize,0.2,21,1,False,-0.0476190476190476,-30.0,0.3235294117647059,1.2345253953491309
MolecuLA continuous OLS,native_l2,FractionCSP3,0,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,0,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,1,maximize,0.0,21,18,True,0.8333333333333334,90.0,0.0416666666666666,2.790770131213277
MolecuLA continuous OLS,native_l2,FractionCSP3,1,maximize,0.2,21,1,False,-0.0128205128205127,-30.0,0.2419354838709677,1.405846670500834
MolecuLA continuous OLS,native_l2,FractionCSP3,1,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,1,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,1,minimize,0.0,21,18,True,0.1666666666666666,-150.0,0.0,4.134812501957288
MolecuLA continuous OLS,native_l2,FractionCSP3,1,minimize,0.2,21,1,True,0.0128205128205127,-30.0,0.2419354838709677,1.405846670500834
MolecuLA continuous OLS,native_l2,FractionCSP3,1,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,1,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,2,maximize,0.0,21,18,True,0.7142857142857143,60.0,0.054054054054054,0.7454907670837754
MolecuLA continuous OLS,native_l2,FractionCSP3,2,maximize,0.2,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,2,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,2,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,2,minimize,0.0,21,18,True,0.2857142857142857,-150.0,0.0526315789473684,4.183335249758378
MolecuLA continuous OLS,native_l2,FractionCSP3,2,minimize,0.2,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,2,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,2,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,3,maximize,0.0,21,18,True,0.4117647058823529,45.0,0.1111111111111111,0.7378022879902693
MolecuLA continuous OLS,native_l2,FractionCSP3,3,maximize,0.2,21,2,True,0.0588235294117647,30.0,0.2948717948717949,1.3356055978044958
MolecuLA continuous OLS,native_l2,FractionCSP3,3,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,3,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,3,minimize,0.0,21,18,True,0.5882352941176471,-135.0,0.0581395348837209,1.8410766908182232
MolecuLA continuous OLS,native_l2,FractionCSP3,3,minimize,0.2,21,2,True,0.3660130718954248,-30.0,0.2409638554216867,0.9583193645935086
MolecuLA continuous OLS,native_l2,FractionCSP3,3,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,3,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,4,maximize,0.0,21,18,True,0.6470588235294118,60.0,0.1428571428571428,2.157430369206617
MolecuLA continuous OLS,native_l2,FractionCSP3,4,maximize,0.2,21,1,False,-0.1424148606811145,-30.0,0.2285714285714285,0.9276012355622872
MolecuLA continuous OLS,native_l2,FractionCSP3,4,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,4,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,4,minimize,0.0,21,18,True,0.3529411764705882,-150.0,0.0185185185185185,3.051489315556178
MolecuLA continuous OLS,native_l2,FractionCSP3,4,minimize,0.2,21,1,True,0.1424148606811145,-30.0,0.2285714285714285,0.9276012355622872
MolecuLA continuous OLS,native_l2,FractionCSP3,4,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,4,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,5,maximize,0.0,21,19,True,0.5934065934065935,105.0,0.1025641025641025,1.8405711608835895
MolecuLA continuous OLS,native_l2,FractionCSP3,5,maximize,0.2,21,2,True,0.0281385281385282,15.0,0.5647058823529412,-0.0257744292421069
MolecuLA continuous OLS,native_l2,FractionCSP3,5,maximize,0.4,21,1,True,0.0281385281385282,15.0,0.5647058823529412,-0.0257744292421069
MolecuLA continuous OLS,native_l2,FractionCSP3,5,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,5,minimize,0.0,21,19,True,0.3809523809523809,-150.0,0.0425531914893617,2.7307430406825697
MolecuLA continuous OLS,native_l2,FractionCSP3,5,minimize,0.2,21,2,True,0.1309523809523808,-30.0,0.3431372549019608,2.1602165068056456
MolecuLA continuous OLS,native_l2,FractionCSP3,5,minimize,0.4,21,1,False,-0.0281385281385282,15.0,0.5647058823529412,-0.0257744292421069
MolecuLA continuous OLS,native_l2,FractionCSP3,5,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,6,maximize,0.0,21,20,True,0.6,60.0,0.1166666666666666,-0.1056810505733762
MolecuLA continuous OLS,native_l2,FractionCSP3,6,maximize,0.2,21,3,True,0.0999999999999999,15.0,0.308411214953271,0.0467904898018627
MolecuLA continuous OLS,native_l2,FractionCSP3,6,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,6,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,6,minimize,0.0,21,20,True,0.4,-150.0,0.0427350427350427,2.6290624175502275
MolecuLA continuous OLS,native_l2,FractionCSP3,6,minimize,0.2,21,3,True,0.019047619047619,-15.0,0.3823529411764705,-0.4403267823009278
MolecuLA continuous OLS,native_l2,FractionCSP3,6,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,6,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,7,maximize,0.0,21,18,True,0.8571428571428572,90.0,0.0263157894736842,0.682757715924784
MolecuLA continuous OLS,native_l2,FractionCSP3,7,maximize,0.2,21,1,True,0.0571428571428572,-30.0,0.3863636363636363,0.4146097230791206
MolecuLA continuous OLS,native_l2,FractionCSP3,7,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,7,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,7,minimize,0.0,21,18,True,0.1428571428571428,-150.0,0.0892857142857142,3.4327836948501584
MolecuLA continuous OLS,native_l2,FractionCSP3,7,minimize,0.2,21,1,False,-0.0571428571428572,-30.0,0.3863636363636363,0.4146097230791206
MolecuLA continuous OLS,native_l2,FractionCSP3,7,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,7,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,8,maximize,0.0,21,18,True,0.3333333333333333,105.0,0.136986301369863,1.457443544635452
MolecuLA continuous OLS,native_l2,FractionCSP3,8,maximize,0.2,21,2,True,0.0151515151515151,30.0,0.25,1.95342388299136
MolecuLA continuous OLS,native_l2,FractionCSP3,8,maximize,0.4,21,1,False,-0.0952380952380952,-30.0,0.4838709677419355,0.9439266939672049
MolecuLA continuous OLS,native_l2,FractionCSP3,8,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,8,minimize,0.0,21,18,True,0.5797101449275361,-105.0,0.0777777777777777,2.3355767793736586
MolecuLA continuous OLS,native_l2,FractionCSP3,8,minimize,0.2,21,2,True,0.0952380952380952,-30.0,0.4838709677419355,0.9439266939672049
MolecuLA continuous OLS,native_l2,FractionCSP3,8,minimize,0.4,21,1,True,0.0952380952380952,-30.0,0.4838709677419355,0.9439266939672049
MolecuLA continuous OLS,native_l2,FractionCSP3,8,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,9,maximize,0.0,21,17,True,0.4285714285714286,135.0,0.125,2.5703120180073267
MolecuLA continuous OLS,native_l2,FractionCSP3,9,maximize,0.2,21,1,False,-0.0714285714285714,30.0,0.4761904761904761,0.3030628739156746
MolecuLA continuous OLS,native_l2,FractionCSP3,9,maximize,0.4,21,1,False,-0.0714285714285714,30.0,0.4761904761904761,0.3030628739156746
MolecuLA continuous OLS,native_l2,FractionCSP3,9,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,9,minimize,0.0,21,17,True,0.5714285714285714,-150.0,0.0847457627118644,3.62249748930029
MolecuLA continuous OLS,native_l2,FractionCSP3,9,minimize,0.2,21,1,True,0.0714285714285714,30.0,0.4761904761904761,0.3030628739156746
MolecuLA continuous OLS,native_l2,FractionCSP3,9,minimize,0.4,21,1,True,0.0714285714285714,30.0,0.4761904761904761,0.3030628739156746
MolecuLA continuous OLS,native_l2,FractionCSP3,9,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,10,maximize,0.0,21,18,True,0.7142857142857143,150.0,0.0405405405405405,3.315785633202478
MolecuLA continuous OLS,native_l2,FractionCSP3,10,maximize,0.2,21,1,True,0.0779220779220779,30.0,0.3647058823529411,1.337889692025815
MolecuLA continuous OLS,native_l2,FractionCSP3,10,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,10,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,10,minimize,0.0,21,18,True,0.2857142857142857,-150.0,0.0277777777777777,3.1682388693428685
MolecuLA continuous OLS,native_l2,FractionCSP3,10,minimize,0.2,21,1,False,-0.0779220779220779,30.0,0.3647058823529411,1.337889692025815
MolecuLA continuous OLS,native_l2,FractionCSP3,10,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,10,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,11,maximize,0.0,21,18,True,0.5454545454545455,75.0,0.0694444444444444,1.423277407865965
MolecuLA continuous OLS,native_l2,FractionCSP3,11,maximize,0.2,21,2,True,0.1818181818181818,30.0,0.2678571428571428,0.8962305434468316
MolecuLA continuous OLS,native_l2,FractionCSP3,11,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,11,maximize,0.6,21,0,False,,,,
