method,scale,property,objective,seed_similarity_cutoff,seeds,successful_seeds,success_fraction,median_best_improvement,median_selected_similarity,median_selected_alpha,median_selected_sa_score_delta,median_eligible_candidates
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,maximize,0.0,50,50,1.0,10732.896119335037,0.0,45.0,4.991147731660275,20.0
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,maximize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,minimize,0.0,50,49,0.98,717.2035721465948,0.02740240240240235,-90.0,-0.18040842287499625,20.0
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,minimize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,minimize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,minimize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,maximize,0.0,50,50,1.0,0.7142857142857143,0.0363636363636363,30.0,2.150752483079758,20.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,maximize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,minimize,0.0,50,47,0.94,0.2857142857142857,0.014835164835164751,-150.0,5.675154464438009,20.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,minimize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,minimize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,minimize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,maximize,0.0,50,50,1.0,150.0,0.030536130536130503,45.0,5.960707770229518,20.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,maximize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,minimize,0.0,50,50,1.0,4.0,0.0325224748810153,-150.0,2.2675650830378693,20.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,minimize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,minimize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,minimize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,maximize,0.0,50,50,1.0,130.0,0.0425724637681159,45.0,5.558742559113295,11.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,maximize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,minimize,0.0,50,43,0.86,18.5,0.0,-15.0,4.547475131045157,11.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,minimize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,minimize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,minimize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,TPSA,maximize,0.0,50,50,1.0,1733.5099999999977,0.02862400327131465,60.0,5.879922752029426,20.0
ChemSpacE adapted extreme-SVM,native_l2,TPSA,maximize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,TPSA,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,TPSA,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,TPSA,minimize,0.0,50,50,1.0,57.785000000000004,0.0325224748810153,-150.0,2.2675650830378693,20.0
ChemSpacE adapted extreme-SVM,native_l2,TPSA,minimize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,TPSA,minimize,0.4,50,0,0.0,,,,,0.0
