scale,property,seed_id,alpha,is_rdkit_valid_ols,changed_from_seed_ols,property_delta_ols,expected_signed_improvement_ols,seed_similarity_tanimoto_ols,scaffold_evaluable_ols,scaffold_retained_ols,sa_score_delta_ols,np_likeness_delta_ols,selfies_len_tokens_ols,is_rdkit_valid_chemspace,changed_from_seed_chemspace,property_delta_chemspace,expected_signed_improvement_chemspace,seed_similarity_tanimoto_chemspace,scaffold_evaluable_chemspace,scaffold_retained_chemspace,sa_score_delta_chemspace,np_likeness_delta_chemspace,selfies_len_tokens_chemspace,alpha_sign,absolute_latent_displacement,improvement_difference_chemspace_minus_ols,sa_delta_difference_chemspace_minus_ols,similarity_difference_chemspace_minus_ols
native_l2,FractionCSP3,0,-150.0,True,True,0.0555555555555555,-0.0555555555555555,0.0476190476190476,True,False,4.313917673304119,2.1828771127672666,154.0,True,True,0.0,-0.0,0.0333333333333333,False,,6.440817460360655,1.832664573646864,154.0,negative,150.0,0.0555555555555555,2.1268997870565363,-0.014285714285714304
native_l2,FractionCSP3,0,-135.0,True,True,0.0,-0.0,0.050632911392405,True,False,5.61005942980256,2.2486980410994137,60.0,True,True,0.0,-0.0,0.0111111111111111,False,,6.962263658989787,1.8783032960578896,154.0,negative,135.0,0.0,1.352204229187227,-0.0395218002812939
native_l2,FractionCSP3,0,-120.0,True,True,0.0,-0.0,0.0465116279069767,True,False,5.344467320177373,2.2035711107114904,56.0,True,True,0.0,-0.0,0.0117647058823529,False,,6.937228559432498,1.8897472060991816,154.0,negative,120.0,0.0,1.5927612392551245,-0.0347469220246238
native_l2,FractionCSP3,0,-105.0,True,True,0.1052631578947368,-0.1052631578947368,0.0444444444444444,True,False,4.83652011015599,2.9296060312084484,49.0,True,True,0.0,-0.0,0.0133333333333333,False,,6.500727389067071,1.9317688112952207,154.0,negative,105.0,0.1052631578947368,1.6642072789110811,-0.031111111111111096
native_l2,FractionCSP3,0,-90.0,True,True,0.125,-0.125,0.0581395348837209,True,False,4.009753410373589,2.3956817620450823,50.0,True,True,0.0,-0.0,0.0,False,,6.218682807775638,1.951167799135909,154.0,negative,90.0,0.125,2.2089293974020485,-0.0581395348837209
native_l2,FractionCSP3,0,-75.0,True,True,0.0952380952380952,-0.0952380952380952,0.0631578947368421,True,False,3.221920992497127,2.980704797575722,46.0,True,True,0.0,-0.0,0.0,False,,6.0443883875306765,1.942425453552409,154.0,negative,75.0,0.0952380952380952,2.8224673950335495,-0.0631578947368421
native_l2,FractionCSP3,0,-60.0,True,True,0.05,-0.05,0.1294117647058823,True,False,3.560699885146585,2.5433666639456547,48.0,True,True,0.0,-0.0,0.0166666666666666,False,,6.164370602905184,1.960949040308432,154.0,negative,60.0,0.05,2.6036707177585994,-0.1127450980392157
native_l2,FractionCSP3,0,-45.0,True,True,0.1052631578947368,-0.1052631578947368,0.1123595505617977,True,False,3.320843136158885,3.110636974267644,44.0,True,True,0.0,-0.0,0.0166666666666666,False,,6.164370602905184,1.960949040308432,154.0,negative,45.0,0.1052631578947368,2.8435274667462993,-0.09569288389513109
native_l2,FractionCSP3,0,-30.0,True,True,0.0476190476190476,-0.0476190476190476,0.3235294117647059,True,False,1.2345253953491309,0.7087042783000401,43.0,True,True,0.0,-0.0,0.0135135135135135,False,,6.508312075062012,1.9772825581846136,154.0,negative,30.0,0.0476190476190476,5.273786679712881,-0.3100158982511924
native_l2,FractionCSP3,0,-15.0,True,False,0.0,-0.0,1.0,True,True,0.0,0.0,43.0,True,True,0.0714285714285714,-0.0714285714285714,0.0566037735849056,True,False,4.034686183453391,2.374695211582305,58.0,negative,15.0,-0.0714285714285714,4.034686183453391,-0.9433962264150944
native_l2,FractionCSP3,0,0.0,True,False,0.0,0.0,1.0,True,True,0.0,0.0,43.0,True,False,0.0,0.0,1.0,True,True,0.0,0.0,43.0,zero,0.0,0.0,0.0,0.0
native_l2,FractionCSP3,0,15.0,True,False,0.0,0.0,1.0,True,True,0.0,0.0,43.0,True,True,0.9090909090909092,0.9090909090909092,0.037037037037037,True,False,2.10767240929657,2.163203049430892,30.0,positive,15.0,0.9090909090909092,2.10767240929657,-0.962962962962963
native_l2,FractionCSP3,0,30.0,True,True,0.3,0.3,0.1518987341772152,True,False,2.6369367857057195,2.1332280715794485,42.0,True,True,1.0,1.0,0.0,False,,2.76598660028755,1.8855350781880629,154.0,positive,30.0,0.7,0.12904981458183062,-0.1518987341772152
native_l2,FractionCSP3,0,45.0,True,True,0.5909090909090909,0.5909090909090909,0.0869565217391304,True,False,3.3986020555086247,2.2258438831840826,43.0,True,True,1.0,1.0,0.0,False,,2.76598660028755,1.8855350781880629,154.0,positive,45.0,0.40909090909090906,-0.6326154552210745,-0.0869565217391304
native_l2,FractionCSP3,0,60.0,True,True,0.65,0.65,0.0804597701149425,True,False,4.308244191620099,2.5832157891788543,42.0,True,True,1.0,1.0,0.0,False,,2.76598660028755,1.8855350781880629,154.0,positive,60.0,0.35,-1.5422575913325485,-0.0804597701149425
