scale,property,seed_id,alpha_sign,similarity_rank,ols_alpha,chemspace_alpha,ols_seed_similarity,chemspace_seed_similarity,absolute_similarity_gap,ols_expected_improvement,chemspace_expected_improvement
native_l2,FractionCSP3,0,negative,0,-15.0,-15.0,1.0,0.05660377358490566,0.9433962264150944,-0.0,-0.07142857142857142
native_l2,FractionCSP3,0,negative,1,-30.0,-150.0,0.3235294117647059,0.03333333333333333,0.2901960784313726,-0.047619047619047616,-0.0
native_l2,FractionCSP3,0,negative,2,-60.0,-60.0,0.12941176470588237,0.016666666666666666,0.1127450980392157,-0.05,-0.0
native_l2,FractionCSP3,0,negative,3,-45.0,-45.0,0.11235955056179775,0.016666666666666666,0.09569288389513109,-0.10526315789473684,-0.0
native_l2,FractionCSP3,0,negative,4,-75.0,-30.0,0.06315789473684211,0.013513513513513514,0.04964438122332859,-0.09523809523809523,-0.0
native_l2,FractionCSP3,0,negative,5,-90.0,-105.0,0.05813953488372093,0.013333333333333334,0.044806201550387594,-0.125,-0.0
native_l2,FractionCSP3,0,negative,6,-135.0,-120.0,0.05063291139240506,0.011764705882352941,0.03886820551005212,-0.0,-0.0
native_l2,FractionCSP3,0,negative,7,-150.0,-135.0,0.047619047619047616,0.011111111111111112,0.0365079365079365,-0.05555555555555555,-0.0
native_l2,FractionCSP3,0,negative,8,-120.0,-90.0,0.046511627906976744,0.0,0.046511627906976744,-0.0,-0.0
native_l2,FractionCSP3,0,negative,9,-105.0,-75.0,0.044444444444444446,0.0,0.044444444444444446,-0.10526315789473684,-0.0
native_l2,FractionCSP3,0,positive,0,15.0,15.0,1.0,0.037037037037037035,0.962962962962963,0.0,0.9090909090909091
native_l2,FractionCSP3,0,positive,1,30.0,150.0,0.1518987341772152,0.0,0.1518987341772152,0.3,1.0
native_l2,FractionCSP3,0,positive,2,45.0,135.0,0.08695652173913043,0.0,0.08695652173913043,0.5909090909090909,1.0
native_l2,FractionCSP3,0,positive,3,60.0,120.0,0.08045977011494253,0.0,0.08045977011494253,0.65,1.0
native_l2,FractionCSP3,0,positive,4,90.0,105.0,0.04081632653061224,0.0,0.04081632653061224,0.88,1.0
native_l2,FractionCSP3,0,positive,5,105.0,90.0,0.031746031746031744,0.0,0.031746031746031744,1.0,1.0
native_l2,FractionCSP3,0,positive,6,120.0,75.0,0.010526315789473684,0.0,0.010526315789473684,0.9714285714285714,1.0
native_l2,FractionCSP3,0,positive,7,135.0,60.0,0.009345794392523364,0.0,0.009345794392523364,0.975,1.0
native_l2,FractionCSP3,0,positive,8,150.0,45.0,0.0,0.0,0.0,1.0,1.0
native_l2,FractionCSP3,0,positive,9,75.0,30.0,0.0,0.0,0.0,0.9,1.0
native_l2,FractionCSP3,1,negative,0,-15.0,-15.0,1.0,0.060240963855421686,0.9397590361445783,-5.551115123125783e-17,0.08974358974358967
native_l2,FractionCSP3,1,negative,1,-30.0,-105.0,0.24193548387096775,0.03076923076923077,0.21116625310173698,0.012820512820512747,0.1666666666666666
native_l2,FractionCSP3,1,negative,2,-105.0,-120.0,0.06493506493506493,0.0273972602739726,0.03753780466109233,0.08974358974358967,0.1666666666666666
native_l2,FractionCSP3,1,negative,3,-60.0,-135.0,0.06493506493506493,0.02247191011235955,0.04246315482270538,0.11111111111111105,0.1666666666666666
native_l2,FractionCSP3,1,negative,4,-90.0,-150.0,0.05405405405405406,0.01639344262295082,0.03766061143110323,0.08333333333333327,0.1666666666666666
