scale,property,alpha_sign,pairs,median_absolute_similarity_gap,p95_absolute_similarity_gap,median_ols_expected_improvement,median_chemspace_expected_improvement
native_l2,BertzCT,negative,415,0.047058823529411764,0.9191666666666662,535.2578342716399,396.499379292522
native_l2,BertzCT,positive,500,0.08450704225352113,0.9196972996515679,410.6012927781558,10475.95941373069
native_l2,FractionCSP3,negative,500,0.06557377049180328,0.9452785388127853,0.14077264773186163,0.2857142857142857
native_l2,FractionCSP3,positive,500,0.040340909090909094,0.9482103262591066,0.5454545454545455,0.7142857142857143
native_l2,HBA,negative,497,0.039591315453384415,0.9452331452331452,3.0,4.0
native_l2,HBA,positive,500,0.07467474058402775,0.9298727850976826,7.0,150.0
native_l2,HeavyAtomCount,negative,41,0.9743589743589743,1.0,-0.0,23.0
native_l2,HeavyAtomCount,positive,500,0.0631749970459648,0.8990777338603421,14.0,128.0
native_l2,TPSA,negative,500,0.04497643344496546,0.9637001594896331,42.74,57.785000000000004
native_l2,TPSA,positive,500,0.06239035087719298,0.9474137931034483,65.83500000000001,1573.5749999999996
native_l2,cLogP,negative,500,0.07569391392920805,0.9302555836979046,3.3502,79.05289999999896
native_l2,cLogP,positive,500,0.05291593834419196,0.9349184782608695,4.715750000000002,56.40919999999958
train_std_unit,BertzCT,negative,403,0.9803921568627451,1.0,-0.0,640.4924236266434
train_std_unit,BertzCT,positive,500,0.9874208860759495,1.0,0.0,10430.954292258777
train_std_unit,FractionCSP3,negative,500,0.986923076923077,1.0,-0.0,0.2727272727272727
train_std_unit,FractionCSP3,positive,500,0.9636363636363636,1.0,0.0,0.7
train_std_unit,HBA,negative,499,0.9636363636363636,1.0,-0.0,4.0
train_std_unit,HBA,positive,500,0.9701492537313433,1.0,0.0,149.0
train_std_unit,HeavyAtomCount,negative,80,0.9775252525252525,1.0,-0.0,22.0
train_std_unit,HeavyAtomCount,positive,500,0.9473684210526316,0.9857243460764588,0.0,126.0
train_std_unit,TPSA,negative,500,0.9636363636363636,1.0,-0.0,57.785000000000004
train_std_unit,TPSA,positive,500,0.9622641509433962,1.0,0.0,1614.199999999999
train_std_unit,cLogP,negative,500,0.9759001161440186,1.0,-0.0,77.17849999999896
train_std_unit,cLogP,positive,500,0.9526055705300989,1.0,0.0,56.090449999999606
