method,scale,property,alpha,requested_candidates,valid_fraction,unique_canonical_fraction_total,changed_from_seed_fraction_all,median_property,median_property_delta,median_sa_score,median_sa_score_delta,median_np_likeness_score,median_np_likeness_delta,fraction_at_decoder_token_budget,expected_sign_fraction_valid,median_seed_similarity,q25_seed_similarity,q75_seed_similarity,scaffold_retention_fraction
MolecuLA continuous OLS,native_l2,FractionCSP3,-150.0,50,1.0,1.0,1.0,0.0,-0.27420824789245835,5.97049367229083,3.3294587156203126,0.546778384824294,1.3558348128297624,0.34,0.88,0.04504732927653815,0.0337554751475909,0.05659340659340655,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,-135.0,50,1.0,1.0,1.0,0.060661764705882346,-0.24395604395604392,5.963023122230013,3.4072433836237987,0.7806642101748456,1.3933518105906733,0.12,0.84,0.0509574813372281,0.04227941176470583,0.06309297912713467,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,-120.0,50,1.0,1.0,1.0,0.08166666666666665,-0.1902852049910873,5.825550208727153,3.1882626316825258,0.7613191841162923,1.456748115546634,0.04,0.88,0.0547452547452547,0.0434782608695652,0.0714946070878274,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,-105.0,50,1.0,1.0,1.0,0.0909090909090909,-0.19473684210526315,5.809558078145952,3.2236385636573193,0.8097361723509449,1.6100204279100174,0.02,0.88,0.060024009603841494,0.044199346405228726,0.07326300085251486,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,-90.0,50,1.0,1.0,1.0,0.10818713450292394,-0.1754147812971342,5.478937185548483,2.9043786572801715,0.8130946615679915,1.7083357303134041,0.0,0.82,0.06201923076923075,0.051392572944297,0.07554945054945053,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,-75.0,50,1.0,1.0,1.0,0.11239495798319324,-0.20146520146520142,5.335763698116936,2.784249449580548,0.857134475618802,1.7671651547003862,0.0,0.82,0.0844221958255557,0.054984779299847776,0.09356831395348836,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,-60.0,50,1.0,1.0,1.0,0.125,-0.1713141025641025,5.048743093748504,2.568037630739088,0.7721330041921485,1.6277310924507682,0.0,0.8,0.0957468457468457,0.06811928311147465,0.12729807890931624,0.02127659574468085
MolecuLA continuous OLS,native_l2,FractionCSP3,-45.0,50,1.0,1.0,1.0,0.17519181585677746,-0.1014705882352941,4.6381820413234305,2.2861499103637013,0.5155406245432166,1.3970583304316861,0.0,0.76,0.1176470588235294,0.08910256410256402,0.15727341964965724,0.041666666666666664
MolecuLA continuous OLS,native_l2,FractionCSP3,-30.0,50,1.0,1.0,0.84,0.21637426900584789,-0.042482517482517454,3.362049254100276,0.935763964764746,-0.08001588198226293,0.31262548845261084,0.0,0.64,0.2606818181818181,0.1891135972461273,0.4798387096774194,0.2708333333333333
MolecuLA continuous OLS,native_l2,FractionCSP3,-15.0,50,1.0,1.0,0.12,0.2928571428571428,0.0,2.4661114655710445,0.0,-0.6081236832792594,0.0,0.0,0.08,1.0,1.0,1.0,0.88
MolecuLA continuous OLS,native_l2,FractionCSP3,0.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,15.0,50,1.0,1.0,0.16,0.3038461538461539,3.469446951953614e-18,2.538164933518102,0.0,-0.727606605999077,0.0,0.0,0.5,1.0,1.0,1.0,0.84
MolecuLA continuous OLS,native_l2,FractionCSP3,30.0,50,1.0,1.0,0.94,0.5683229813664596,0.20714285714285716,4.459977653454548,1.908391490275756,0.4468512292300515,1.2561472060556351,0.0,0.94,0.20172764227642276,0.1325068870523416,0.29594017094017094,0.06666666666666667
MolecuLA continuous OLS,native_l2,FractionCSP3,45.0,50,1.0,1.0,1.0,0.7142857142857143,0.41666666666666663,4.619776843413739,2.189684476472591,0.7176743085637471,1.504754203992301,0.0,1.0,0.11180555555555555,0.09041999305796593,0.15120475238729736,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,60.0,50,1.0,1.0,1.0,0.8722826086956521,0.5681159420289855,4.477062046931947,1.9151489205239418,0.723457807154531,1.6329638867349827,0.0,1.0,0.0871212121212121,0.06694915254237283,0.12152847152847145,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,75.0,50,1.0,1.0,1.0,0.9473684210526316,0.6284325889164599,4.295760093070829,1.926292215381216,0.8309807293240392,1.7310463588229408,0.02,1.0,0.0694444444444444,0.0526315789473684,0.10189293108547764,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,90.0,50,1.0,1.0,1.0,0.9666295884315907,0.6772030651340997,4.6219044066171,1.9787426836985729,0.9294730309625248,1.6951407081458298,0.02,1.0,0.0629960317460317,0.04020408163265305,0.0879298245614035,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,105.0,50,1.0,1.0,1.0,0.9692234848484849,0.6721153846153847,4.438730951938895,1.9337745779456554,0.9765344906883945,1.6484017184505864,0.02,1.0,0.056513409961685745,0.033281964605289246,0.07568610634648365,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,120.0,50,1.0,1.0,1.0,0.9706861376570385,0.6483410138248848,4.654687153475599,2.1317294666435287,0.859524710574519,1.5938842351318185,0.1,1.0,0.05887445887445885,0.03552473891456938,0.07299399080947325,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,135.0,50,1.0,0.98,1.0,0.9862502362502362,0.643931623931624,5.052172181531674,2.5808995647919906,0.44351850174707474,1.394701723353765,0.52,1.0,0.051151229722658245,0.03312211981566817,0.07486702127659572,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,150.0,50,1.0,0.82,1.0,1.0,0.7105052481764811,5.548467138267421,2.8478275445193906,0.1444617369057933,1.1348157626037083,0.8,1.0,0.0441176470588235,0.032390269698572144,0.0616024187452758,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,-150.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.02,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,-135.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.02,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,-120.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.02,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,-105.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.02,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,-90.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.02,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,-75.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.02,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,-60.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.02,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,-45.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,-30.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,-15.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,0.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,15.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,30.0,50,1.0,1.0,0.06,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.94
MolecuLA continuous OLS,train_std_unit,FractionCSP3,45.0,50,1.0,1.0,0.06,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.94
MolecuLA continuous OLS,train_std_unit,FractionCSP3,60.0,50,1.0,1.0,0.06,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.94
MolecuLA continuous OLS,train_std_unit,FractionCSP3,75.0,50,1.0,1.0,0.06,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.94
MolecuLA continuous OLS,train_std_unit,FractionCSP3,90.0,50,1.0,1.0,0.06,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.94
MolecuLA continuous OLS,train_std_unit,FractionCSP3,105.0,50,1.0,1.0,0.06,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.94
MolecuLA continuous OLS,train_std_unit,FractionCSP3,120.0,50,1.0,1.0,0.06,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.94
MolecuLA continuous OLS,train_std_unit,FractionCSP3,135.0,50,1.0,1.0,0.06,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.94
MolecuLA continuous OLS,train_std_unit,FractionCSP3,150.0,50,1.0,1.0,0.06,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.94
MolecuLA continuous OLS,native_l2,HBA,-150.0,50,1.0,0.32,1.0,0.0,-4.0,3.6582262694042136,1.3772973712793766,0.2702114798440666,1.2557568367914858,0.0,1.0,0.02128623188405795,0.0,0.032692307692307646,0.0
MolecuLA continuous OLS,native_l2,HBA,-135.0,50,1.0,0.6,1.0,0.0,-4.0,3.7197266484622697,1.2103029177660574,0.44637619139585,1.40761634885587,0.0,1.0,0.02326839826839825,0.0,0.0384615384615384,0.0
MolecuLA continuous OLS,native_l2,HBA,-120.0,50,1.0,0.72,1.0,0.0,-4.0,3.724064730942675,1.3243165367527343,0.9207276098330168,1.7864948348471954,0.0,1.0,0.026671408250355598,0.0166666666666666,0.05736714975845408,0.0
MolecuLA continuous OLS,native_l2,HBA,-105.0,50,1.0,0.88,1.0,0.0,-4.0,3.724064730942675,1.1959404928913369,1.2567609440285799,1.8569465040133908,0.0,1.0,0.0452338359315103,0.027413127413127375,0.0619352409638554,0.0
MolecuLA continuous OLS,native_l2,HBA,-90.0,50,1.0,0.94,1.0,0.0,-4.0,3.6199894807532336,1.0718037284596398,1.1759309112003793,1.9464089536151392,0.0,1.0,0.057189542483660094,0.03404441846873167,0.08065208065208057,0.0
