method,scale,property,seed_id,requested_points,valid_points,full_path_valid,property_monotonic_either,property_monotonic_expected,structure_distance_monotonic,raw_path_diverse,canonical_path_diverse,ssr_official_code_compatible,ssr_expected_all_valid,rsr_local_official_code_compatible,rsr_global_official_code_compatible,spearman_alpha_property,slope_property_per_alpha,spearman_alpha_sa_score,slope_sa_score_per_alpha,spearman_alpha_np_likeness,slope_np_likeness_per_alpha,expected_sign_fraction_valid_nonzero,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_seed_similarity,scaffold_evaluable_fraction,scaffold_retention_fraction
MolecuLA continuous OLS,native_l2,FractionCSP3,0,21,21,True,False,False,False,True,True,False,False,False,False,0.7580313894283158,0.00391078269595016,-0.43823183996917725,-0.005987404154051746,0.31469467439923116,0.002283021970290076,0.45,0.8571428571428571,0.8571428571428571,0.0581395348837209,1.0,0.14285714285714285
MolecuLA continuous OLS,native_l2,FractionCSP3,1,21,21,True,False,False,False,True,True,False,False,False,False,0.9388436881793745,0.003920635023223388,-0.5756105170346982,-0.006639960676275991,-0.07219521739079267,-0.0005464004136864913,0.95,0.8571428571428571,0.8571428571428571,0.0555555555555555,0.6190476190476191,0.23076923076923078
MolecuLA continuous OLS,native_l2,FractionCSP3,2,21,21,True,False,False,False,True,True,False,False,False,False,0.9464500733080109,0.003906467990883575,-0.6332905224480395,-0.010449275237350222,-0.2197661155928515,-0.0013192159077566553,0.85,0.8571428571428571,0.8571428571428571,0.0769230769230769,0.9047619047619048,0.15789473684210525
MolecuLA continuous OLS,native_l2,FractionCSP3,3,21,21,True,False,False,False,True,True,False,False,False,False,0.8338806453270445,0.0038517700814214464,0.0013003912165257486,0.0006546447327904917,0.23927198384073775,0.0014552179653194773,0.9,0.8571428571428571,0.8571428571428571,0.1030927835051546,0.8571428571428571,0.16666666666666666
MolecuLA continuous OLS,native_l2,FractionCSP3,4,21,21,True,False,False,False,True,True,False,False,False,False,0.9209826017231586,0.0040083549681954045,-0.1983742459837096,1.732735027186231e-05,0.45333393262506744,0.0030013389170723674,0.95,0.8571428571428571,0.8571428571428571,0.0869565217391304,0.8095238095238095,0.17647058823529413
MolecuLA continuous OLS,native_l2,FractionCSP3,5,21,21,True,False,False,False,True,True,False,False,False,False,0.9479523587507614,0.004096899368566525,0.2994478884792009,0.004091850781544897,-0.09028905964991091,9.342607012862426e-05,0.95,0.9047619047619048,0.9047619047619048,0.0803571428571428,0.9523809523809523,0.1
MolecuLA continuous OLS,native_l2,FractionCSP3,6,21,21,True,False,False,False,True,True,False,False,False,False,0.9109813489053813,0.003890407875552067,-0.6662337662337662,-0.007288475611022856,0.06493506493506493,0.0002243041823412598,0.95,1.0,1.0,0.0887096774193548,0.9047619047619048,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,7,21,21,True,False,False,False,True,True,False,False,False,False,0.8748437193484735,0.0036868188844070104,-0.387516582524673,-0.0043510439866199,-0.1742524230144503,-0.0016952708157168806,0.7,0.8571428571428571,0.8571428571428571,0.081967213114754,0.7619047619047619,0.25
MolecuLA continuous OLS,native_l2,FractionCSP3,8,21,21,True,False,False,False,True,True,False,False,False,True,0.9846773711367951,0.003727420681457948,-0.29073209165481373,-0.002866058597436429,-0.1541465452398006,-0.001191746800234097,0.9,0.8571428571428571,0.8571428571428571,0.1408450704225352,0.8571428571428571,0.16666666666666666
MolecuLA continuous OLS,native_l2,FractionCSP3,9,21,21,True,False,False,False,True,True,False,False,False,False,0.9571981032789241,0.003932011739271986,-0.2501641935981134,-0.0029760410334432642,-0.18501726818193803,-0.00020157464761227394,0.8,0.8095238095238095,0.8095238095238095,0.1,0.7619047619047619,0.25
MolecuLA continuous OLS,native_l2,FractionCSP3,10,21,21,True,False,False,False,True,True,False,False,False,False,0.9544871529298995,0.0036227984901168503,-0.16645007571529583,-0.001955687294454426,-0.02340704189746347,-0.00043067248173349587,0.85,0.8571428571428571,0.8571428571428571,0.0744680851063829,0.6190476190476191,0.23076923076923078
MolecuLA continuous OLS,native_l2,FractionCSP3,11,21,21,True,False,False,False,True,True,False,False,False,False,0.971097951549215,0.004121633777477933,-0.34168653568365387,-0.0032770172378393473,0.08265560006061723,-3.5141384428516284e-05,0.95,0.8571428571428571,0.8571428571428571,0.075,0.6666666666666666,0.21428571428571427
