method,scale,property,seed_id,confound,spearman_alpha_confound,spearman_abs_alpha_confound,slope_confound_per_alpha,slope_confound_per_abs_alpha
MolecuLA continuous OLS,native_l2,FractionCSP3,0,selfies_len_tokens,-0.22521212361125392,0.8532123227632188,-0.08961038961038961,0.28637182637182634
MolecuLA continuous OLS,native_l2,FractionCSP3,0,branch_token_count,0.7956864226043341,-0.2633649858396984,0.015584415584415583,-0.01752661752661757
MolecuLA continuous OLS,native_l2,FractionCSP3,0,ring_token_count,-0.9043692785552808,0.09761879761047955,-0.029696969696969704,0.027371007371007353
MolecuLA continuous OLS,native_l2,FractionCSP3,0,token_entropy,-0.2951888061513449,-0.9152007087421509,-0.002094714297387754,-0.009314528784296304
MolecuLA continuous OLS,native_l2,FractionCSP3,1,selfies_len_tokens,-0.21759073089002567,0.9228758169934643,-0.029437229437229442,0.20570024570024548
MolecuLA continuous OLS,native_l2,FractionCSP3,1,branch_token_count,0.4535545385873537,0.26860608521861773,0.0077056277056277035,0.007125307125307098
MolecuLA continuous OLS,native_l2,FractionCSP3,1,ring_token_count,-0.9500668189773271,0.10499831873872854,-0.030476190476190487,0.021916461916461898
MolecuLA continuous OLS,native_l2,FractionCSP3,1,token_entropy,-0.5058521832285162,-0.7240718365672042,-0.00297622535696025,-0.0077134421546784454
MolecuLA continuous OLS,native_l2,FractionCSP3,2,selfies_len_tokens,-0.1866096341774358,0.8836843928346926,0.13419913419913418,0.5803112203112204
MolecuLA continuous OLS,native_l2,FractionCSP3,2,branch_token_count,-0.29602729823152163,-0.5002384321200093,-0.002683982683982685,-0.00800982800982802
MolecuLA continuous OLS,native_l2,FractionCSP3,2,ring_token_count,-0.9664255286359911,0.08400801214963798,-0.029956709956709956,0.026699426699426706
MolecuLA continuous OLS,native_l2,FractionCSP3,2,token_entropy,-0.5730088875791742,-0.6858084166188178,-0.004146660832575123,-0.008456619735779084
MolecuLA continuous OLS,native_l2,FractionCSP3,3,selfies_len_tokens,0.13581665273648397,0.9508704980820679,0.15965367965367963,0.4127108927108925
MolecuLA continuous OLS,native_l2,FractionCSP3,3,branch_token_count,0.8546775753420979,-0.16830017133856978,0.023549783549783546,-0.000425880425880492
MolecuLA continuous OLS,native_l2,FractionCSP3,3,ring_token_count,-0.9770404508309009,0.054567358935121844,-0.03653679653679654,0.026732186732186723
MolecuLA continuous OLS,native_l2,FractionCSP3,3,token_entropy,-0.6710018677272862,-0.6027408801694565,-0.005133488090828313,-0.0073513907902389986
MolecuLA continuous OLS,native_l2,FractionCSP3,4,selfies_len_tokens,-0.2372932853315667,0.7580920091837686,0.06952380952380949,0.276183456183456
MolecuLA continuous OLS,native_l2,FractionCSP3,4,branch_token_count,0.31875031234897017,-0.7419134577309199,0.0038095238095238048,-0.020343980343980387
MolecuLA continuous OLS,native_l2,FractionCSP3,4,ring_token_count,-0.8760474444327437,0.18752224280943683,-0.025454545454545455,0.016904176904176872
