method,scale,property,confound,seeds,median_spearman_alpha_confound,median_abs_spearman_alpha_confound,median_spearman_abs_alpha_confound,median_abs_spearman_abs_alpha_confound,fraction_positive_spearman,median_slope_confound_per_alpha,median_slope_confound_per_abs_alpha
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,branch_token_count,50,0.0661464741051272,0.0661464741051272,-0.5584788535430362,0.5584788535430362,1.0,0.0027272727272727275,-0.047256347256347295
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,ring_token_count,50,0.028030595529069405,0.028030595529069405,-0.494692417806554,0.494692417806554,1.0,0.0012987012987012987,-0.029803439803439823
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,selfies_len_tokens,50,0.4442154328260412,0.4442154328260412,0.4246922939723003,0.4246922939723003,1.0,0.369090909090909,0.6779361179361181
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,token_entropy,50,0.03977586627492408,0.03977586627492408,-0.6098332308803268,0.6098332308803268,1.0,0.00017197658022000467,-0.006956142496910445
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,branch_token_count,50,-0.003202015769753031,0.003202015769753031,-0.6087617064775657,0.6087617064775657,0.04,-0.0003463203463203464,-0.02118755118755121
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,ring_token_count,50,-0.004265614232487918,0.004265614232487918,-0.6066235822967462,0.6066235822967462,0.0,-0.0006060606060606061,-0.022170352170352195
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,selfies_len_tokens,50,-0.002132807116243959,0.004265614232487918,0.6066235822967462,0.6066235822967462,0.28,-0.00077922077922081,0.5030958230958223
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,token_entropy,50,-0.7246983328241333,0.7246983328241333,-0.2755195332033571,0.2755195332033571,0.0,-0.0011874784055035028,-0.005915813560009283
ChemSpacE adapted extreme-SVM,native_l2,HBA,branch_token_count,50,0.028030595529069405,0.028030595529069405,-0.5659680335713911,0.5659680335713911,1.0,0.0007792207792207792,-0.024742014742014765
ChemSpacE adapted extreme-SVM,native_l2,HBA,ring_token_count,50,0.0037338150011204745,0.028030595529069405,-0.6066235822967462,0.6066235822967462,0.54,0.0005194805194805195,-0.02452907452907455
ChemSpacE adapted extreme-SVM,native_l2,HBA,selfies_len_tokens,50,0.12311577656524121,0.12311577656524121,0.590192556189904,0.590192556189904,1.0,0.07021645021645014,0.6931531531531527
ChemSpacE adapted extreme-SVM,native_l2,HBA,token_entropy,50,0.15269048941370206,0.15269048941370206,-0.8115514152029153,0.8115514152029153,0.94,0.000367606773363698,-0.009748940257841673
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,branch_token_count,50,0.06931623127792866,0.06931623127792866,-0.5659680335713911,0.5659680335713911,1.0,0.002207792207792208,-0.03966420966420971
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,ring_token_count,50,0.028030595529069405,0.028030595529069405,-0.494692417806554,0.494692417806554,1.0,0.0011255411255411255,-0.027272727272727303
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,selfies_len_tokens,50,0.9027375393407903,0.9027375393407903,-0.06494936824868619,0.06494936824868619,1.0,0.7332467532467531,0.06593775593775539
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,token_entropy,50,0.23850320644767084,0.23850320644767084,-0.5930136322197141,0.5930136322197141,1.0,0.0008084611978222639,-0.007367656347641308
ChemSpacE adapted extreme-SVM,native_l2,TPSA,branch_token_count,50,0.0661464741051272,0.0661464741051272,-0.5659680335713911,0.5659680335713911,1.0,0.002337662337662338,-0.04348075348075352
ChemSpacE adapted extreme-SVM,native_l2,TPSA,ring_token_count,50,0.004265614232487918,0.028030595529069405,-0.6066235822967462,0.6066235822967462,0.94,0.00043290043290043295,-0.019041769041769057
ChemSpacE adapted extreme-SVM,native_l2,TPSA,selfies_len_tokens,50,0.04878948362871066,0.04878948362871066,0.554199322098262,0.554199322098262,1.0,0.031428571428571375,0.5729647829647824
ChemSpacE adapted extreme-SVM,native_l2,TPSA,token_entropy,50,0.4653066516964455,0.4653066516964455,-0.5533125896572793,0.5533125896572793,1.0,0.0018317866491163882,-0.007983045097790145
ChemSpacE adapted extreme-SVM,native_l2,cLogP,branch_token_count,50,-0.03598768853445512,0.03598768853445512,-0.6774290569763753,0.6774290569763753,0.02,-0.00043290043290043295,-0.028345618345618367
ChemSpacE adapted extreme-SVM,native_l2,cLogP,ring_token_count,50,-0.03219951079398617,0.03219951079398617,-0.6717449578614151,0.6717449578614151,0.12,-0.00012987012987012984,-0.025167895167895186
ChemSpacE adapted extreme-SVM,native_l2,cLogP,selfies_len_tokens,50,0.043564044015393044,0.043564044015393044,0.6717449578614151,0.6717449578614151,1.0,0.021428571428571387,0.6408845208845206
ChemSpacE adapted extreme-SVM,native_l2,cLogP,token_entropy,50,-0.05291026764197476,0.05291026764197476,-0.7844018620446656,0.7844018620446656,0.0,-0.00032121746753151556,-0.010329922558668587
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,branch_token_count,50,0.1608067524135176,0.1608067524135176,-0.594610196228753,0.594610196228753,1.0,0.007575757575757576,-0.059352989352989396
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,ring_token_count,50,0.06931623127792866,0.06931623127792866,-0.5584788535430362,0.5584788535430362,1.0,0.0030303030303030303,-0.041547911547911584
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,selfies_len_tokens,50,0.9000160798313236,0.9000160798313236,0.0,0.07663542992140718,1.0,0.7205194805194806,0.19516789516789496
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,token_entropy,50,0.12099595107742456,0.12099595107742456,-0.7314047799643573,0.7314047799643573,1.0,0.0005188090003255136,-0.00996001937482565
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,branch_token_count,50,-0.03994217982048703,0.03994217982048703,-0.7124487196707651,0.7124487196707651,0.04,-0.0008658008658008659,-0.03301392301392304
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,ring_token_count,50,-0.04924631062609648,0.04924631062609648,-0.6971255081820373,0.6971255081820373,0.0,-0.0019913419913419913,-0.03394758394758398
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,selfies_len_tokens,50,0.030305421923751685,0.030305421923751685,0.6774387026398406,0.6774387026398406,0.58,0.015324675324675317,0.7262162162162158
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,token_entropy,50,-0.6296954235577316,0.6296954235577316,-0.47832727615501003,0.47832727615501003,0.0,-0.0005737030084892171,-0.010571709483453904
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,branch_token_count,50,0.043564044015393044,0.043564044015393044,-0.6717449578614151,0.6717449578614151,1.0,0.0013852813852813855,-0.029672399672399694
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,ring_token_count,50,-0.0008689412492187134,0.04689474004395959,-0.7340221315690814,0.7340221315690814,0.5,0.0006060606060606061,-0.025986895986896005
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,selfies_len_tokens,50,0.24225309598635847,0.24225309598635847,0.6566134560651515,0.6566134560651515,1.0,0.15753246753246747,0.8843161343161343
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,token_entropy,50,0.2699931275934996,0.2699931275934996,-0.8276900908723304,0.8276900908723304,0.96,0.000706731650669911,-0.012277989320149157
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,branch_token_count,50,0.18122708978024432,0.18122708978024432,-0.5880643334494616,0.5880643334494616,1.0,0.006536796536796537,-0.04829647829647833
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,ring_token_count,50,0.06931623127792866,0.06931623127792866,-0.5584788535430362,0.5584788535430362,1.0,0.002770562770562771,-0.03643734643734646
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,selfies_len_tokens,50,0.9187795405622854,0.9187795405622854,-0.05035974843130283,0.05035974843130283,1.0,0.7256277056277056,0.18363636363636326
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,token_entropy,50,0.555264171257192,0.555264171257192,-0.5191560407549992,0.5191560407549992,1.0,0.002088105299276704,-0.009116907105125971
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,branch_token_count,50,0.11743350995453777,0.11743350995453777,-0.6956774886847024,0.6956774886847024,1.0,0.0048484848484848485,-0.051261261261261314
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,ring_token_count,50,0.043564044015393044,0.043564044015393044,-0.6688815821854427,0.6688815821854427,0.94,0.0009956709956709957,-0.0235790335790336
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,selfies_len_tokens,50,0.08481969977794362,0.08481969977794362,0.669639432272159,0.669639432272159,1.0,0.0465367965367965,0.7825061425061424
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,token_entropy,50,0.6016136741178422,0.6016136741178422,-0.5205152185534565,0.5205152185534565,1.0,0.0025947683631687406,-0.009719012785023382
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,branch_token_count,50,-0.05905268317644893,0.05905268317644893,-0.7903084451203715,0.7903084451203715,0.02,-0.0012121212121212121,-0.0395659295659296
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,ring_token_count,50,-0.06708090030582747,0.06708090030582747,-0.7986630379554849,0.7986630379554849,0.12,-0.0001731601731601731,-0.03414414414414417
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,selfies_len_tokens,50,0.1034040086570269,0.1034040086570269,0.7705186432474149,0.7705186432474149,1.0,0.045930735930735836,0.8699508599508599
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,token_entropy,50,-0.12089272112806702,0.12089272112806702,-0.8666365462372185,0.8666365462372185,0.0,-0.0008179076426408007,-0.014131921252537743
MolecuLA continuous OLS,native_l2,BertzCT,branch_token_count,50,0.9247387149789525,0.9247387149789525,-0.1025305354803415,0.1025305354803415,1.0,0.042034632034632036,-0.007199017199017268
MolecuLA continuous OLS,native_l2,BertzCT,ring_token_count,50,0.9430568753181391,0.9430568753181391,0.014686073450330982,0.07659694656252197,1.0,0.06108225108225108,0.02325143325143323
MolecuLA continuous OLS,native_l2,BertzCT,selfies_len_tokens,50,0.9918499048577025,0.9918499048577025,-0.018725620044852596,0.020033083790822307,1.0,0.577922077922078,0.3594512694512694
MolecuLA continuous OLS,native_l2,BertzCT,token_entropy,50,0.6224372321267487,0.6224372321267487,-0.5745568974592473,0.5745568974592473,1.0,0.005459799816987266,-0.00834570220221216
MolecuLA continuous OLS,native_l2,FractionCSP3,branch_token_count,50,0.39828999827634715,0.4134484339421414,-0.5063295979113265,0.5249074928216524,0.82,0.006277056277056275,-0.018075348075348118
MolecuLA continuous OLS,native_l2,FractionCSP3,ring_token_count,50,-0.9514338064371075,0.9514338064371075,0.05520076632077657,0.05520076632077657,0.0,-0.030129870129870128,0.017379197379197353
MolecuLA continuous OLS,native_l2,FractionCSP3,selfies_len_tokens,50,-0.10418005606752581,0.13479330353293484,0.8906967142812536,0.8906967142812536,0.32,0.06943722943722938,0.4044717444717443
MolecuLA continuous OLS,native_l2,FractionCSP3,token_entropy,50,-0.5691555755826262,0.5691555755826262,-0.7079662845796783,0.7079662845796783,0.0,-0.004262546651640074,-0.007860570210422097
MolecuLA continuous OLS,native_l2,HBA,branch_token_count,50,0.958104027763387,0.958104027763387,-0.03394480751189248,0.042283002881494974,1.0,0.0432034632034632,-0.0026617526617527107
MolecuLA continuous OLS,native_l2,HBA,ring_token_count,50,0.9217657690580021,0.9217657690580021,-0.02949506661205968,0.08247501045320521,1.0,0.0261038961038961,0.0024815724815724517
MolecuLA continuous OLS,native_l2,HBA,selfies_len_tokens,50,0.9947916312526909,0.9947916312526909,-0.0026152342957506476,0.00752994015455786,1.0,0.46930735930735934,0.31824733824733814
MolecuLA continuous OLS,native_l2,HBA,token_entropy,50,0.7535299503308337,0.7535299503308337,-0.400000532242945,0.400000532242945,1.0,0.004191661278795784,-0.004569433091160671
MolecuLA continuous OLS,native_l2,HeavyAtomCount,branch_token_count,50,0.9526835622706485,0.9526835622706485,-0.024922437135134624,0.04536908868340972,1.0,0.05692640692640693,0.0046683046683046545
MolecuLA continuous OLS,native_l2,HeavyAtomCount,ring_token_count,50,0.9474773169436388,0.9474773169436388,0.025165304571859247,0.07702268676443641,1.0,0.05696969696969696,0.02182637182637179
MolecuLA continuous OLS,native_l2,HeavyAtomCount,selfies_len_tokens,50,0.9902118361842988,0.9902118361842988,-0.006550954963793584,0.012502232154968929,1.0,0.590952380952381,0.35257166257166245
MolecuLA continuous OLS,native_l2,HeavyAtomCount,token_entropy,50,0.6562153572149364,0.6562153572149364,-0.580093540588284,0.580093540588284,1.0,0.006803780716076318,-0.009175268587189336
MolecuLA continuous OLS,native_l2,TPSA,branch_token_count,50,0.9841432426987848,0.9841432426987848,-0.001633454254089149,0.016230660941373064,1.0,0.054372294372294364,0.013087633087633044
MolecuLA continuous OLS,native_l2,TPSA,ring_token_count,50,0.11847966301671356,0.34681909143141293,-0.4970820475648634,0.4970820475648634,0.54,0.000735930735930735,-0.01397215397215401
MolecuLA continuous OLS,native_l2,TPSA,selfies_len_tokens,50,0.9731276536004541,0.9731276536004541,0.050173752705052733,0.050173752705052733,1.0,0.3312987012987013,0.296134316134316
MolecuLA continuous OLS,native_l2,TPSA,token_entropy,50,0.8167201937826303,0.8167201937826303,-0.3419121807202714,0.3419121807202714,1.0,0.004430243810227831,-0.005157209856931381
MolecuLA continuous OLS,native_l2,cLogP,branch_token_count,50,0.5893824921308242,0.5893824921308242,-0.5744455886470895,0.5744455886470895,1.0,0.017272727272727273,-0.031482391482391535
MolecuLA continuous OLS,native_l2,cLogP,ring_token_count,50,0.7733916546830043,0.7733916546830043,-0.2819836184901704,0.2819836184901704,1.0,0.027965367965367968,-0.011646191646191684
MolecuLA continuous OLS,native_l2,cLogP,selfies_len_tokens,50,0.9944652024887743,0.9944652024887743,0.00016323873320989185,0.005227051098851573,1.0,0.4427705627705628,0.30785421785421774
MolecuLA continuous OLS,native_l2,cLogP,token_entropy,50,-0.14030530132648025,0.2829118893463558,-0.8385983807971475,0.8385983807971475,0.3,-0.0015013642399575357,-0.00768915997060632
MolecuLA continuous OLS,train_std_unit,BertzCT,branch_token_count,50,0.3692744729379982,0.3692744729379982,0.35195532247660055,0.35195532247660055,0.14,0.0,0.0
MolecuLA continuous OLS,train_std_unit,BertzCT,ring_token_count,50,0.3692744729379982,0.3692744729379982,0.35195532247660055,0.35195532247660055,0.32,0.0,0.0
MolecuLA continuous OLS,train_std_unit,BertzCT,selfies_len_tokens,50,0.3692744729379982,0.3692744729379982,0.35195532247660055,0.35195532247660055,0.32,0.0,0.0
MolecuLA continuous OLS,train_std_unit,BertzCT,token_entropy,50,0.3692744729379982,0.3749987909766075,0.21929035565876243,0.35195532247660055,0.26,0.0,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,branch_token_count,50,0.3692744729379982,0.3692744729379982,-0.35195532247660055,0.35195532247660055,0.02,0.0,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,ring_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,selfies_len_tokens,50,0.8174238913695991,0.8174238913695991,-0.4100454302903043,0.4100454302903043,0.06,0.0,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,token_entropy,50,-0.8174238913695991,0.8174238913695991,0.38663865420241084,0.38663865420241084,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HBA,branch_token_count,50,0.5090097337879789,0.5090097337879789,-0.4569156703644136,0.4569156703644136,0.02,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HBA,ring_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HBA,selfies_len_tokens,50,0.5096471914376255,0.8174238913695991,-0.2152290161938318,0.36362373715452384,0.08,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HBA,token_entropy,50,0.5096471914376255,0.7598971042335642,-0.2780652107652241,0.35195532247660055,0.06,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,branch_token_count,50,0.5090097337879789,0.5090097337879789,0.35195532247660055,0.35195532247660055,0.22,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,ring_token_count,50,0.3692744729379982,0.3692744729379982,0.35195532247660055,0.35195532247660055,0.32,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,selfies_len_tokens,50,0.3692744729379982,0.3692744729379982,0.35195532247660055,0.35195532247660055,0.42,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,token_entropy,50,0.3692744729379982,0.3692744729379982,0.2367524210604733,0.35195532247660055,0.28,0.0,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,branch_token_count,50,0.6461795927943096,0.6461795927943096,-0.4642294095802195,0.4642294095802195,0.04,0.0,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,ring_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,selfies_len_tokens,50,0.8003866715851198,0.8174238913695991,-0.31263722324206805,0.4100454302903043,0.06,0.0,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,token_entropy,50,0.7845428950581506,0.80158011484263,-0.14426233241056066,0.4100454302903043,0.06,0.0,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,branch_token_count,50,-0.3692744729379982,0.3692744729379982,-0.35195532247660055,0.35195532247660055,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,ring_token_count,50,0.3692744729379982,0.3692744729379982,0.35195532247660055,0.35195532247660055,0.06,0.0,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,selfies_len_tokens,50,0.6083829962530759,0.7385489458759964,0.11512993512021241,0.35195532247660055,0.08,0.0,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,token_entropy,50,-0.5737776391780872,0.5737776391780872,0.21550127888451873,0.35195532247660055,0.02,0.0,0.0
