property,tail,class_label,global_row_index,property_value,used_for_svm_fit
FractionCSP3,high,1,13804,1.0,True
FractionCSP3,high,1,2620,1.0,True
FractionCSP3,high,1,9824,1.0,True
FractionCSP3,high,1,4232,1.0,True
FractionCSP3,high,1,3576,1.0,True
FractionCSP3,high,1,1223,1.0,True
FractionCSP3,high,1,6957,1.0,True
FractionCSP3,high,1,16056,1.0,True
FractionCSP3,high,1,13616,1.0,True
FractionCSP3,high,1,4946,1.0,True
FractionCSP3,high,1,2097,1.0,True
FractionCSP3,high,1,16527,1.0,True
FractionCSP3,high,1,9068,1.0,True
FractionCSP3,high,1,2344,1.0,True
FractionCSP3,high,1,13122,1.0,True
FractionCSP3,high,1,18053,1.0,True
FractionCSP3,high,1,17373,1.0,True
FractionCSP3,high,1,3549,1.0,True
FractionCSP3,high,1,12753,1.0,True
FractionCSP3,high,1,4630,1.0,True
FractionCSP3,high,1,10426,1.0,True
FractionCSP3,high,1,17371,1.0,True
FractionCSP3,high,1,14211,1.0,True
FractionCSP3,high,1,11798,1.0,True
FractionCSP3,high,1,17091,1.0,True
FractionCSP3,high,1,13877,1.0,True
FractionCSP3,high,1,2451,1.0,True
FractionCSP3,high,1,17981,1.0,True
FractionCSP3,high,1,13369,1.0,True
FractionCSP3,high,1,15032,1.0,True
FractionCSP3,high,1,6666,1.0,True
FractionCSP3,high,1,6441,1.0,True
FractionCSP3,high,1,9047,1.0,True
FractionCSP3,high,1,4643,1.0,True
FractionCSP3,high,1,1376,1.0,True
FractionCSP3,high,1,8096,1.0,True
FractionCSP3,high,1,13718,1.0,True
FractionCSP3,high,1,12200,1.0,True
FractionCSP3,high,1,16443,1.0,True
FractionCSP3,high,1,8337,1.0,True
FractionCSP3,high,1,17293,1.0,True
FractionCSP3,high,1,3066,1.0,True
FractionCSP3,high,1,491,1.0,True
FractionCSP3,high,1,2848,1.0,True
FractionCSP3,high,1,16302,1.0,True
FractionCSP3,high,1,6129,1.0,True
FractionCSP3,high,1,8875,1.0,True
FractionCSP3,high,1,1356,1.0,True
FractionCSP3,high,1,4903,1.0,True
FractionCSP3,high,1,7566,1.0,True
FractionCSP3,high,1,7502,1.0,True
FractionCSP3,high,1,8559,1.0,True
FractionCSP3,high,1,7917,1.0,True
FractionCSP3,high,1,2709,1.0,True
FractionCSP3,high,1,9202,1.0,True
FractionCSP3,high,1,12466,1.0,True
FractionCSP3,high,1,16637,1.0,True
