method,scale,property,requested_candidates,valid_count,valid_fraction,raw_unique_count,raw_unique_fraction_total,canonical_unique_count,canonical_unique_fraction_total,training_novel_fraction_total,training_novel_fraction_valid,full_path_valid_fraction,ssr_official_code_compatible,ssr_expected_all_valid,rsr_local_official_code_compatible,rsr_global_official_code_compatible,median_per_seed_spearman,median_per_seed_slope,fraction_seeds_positive_slope,median_expected_sign_fraction,changed_from_seed_fraction_all,median_seed_similarity,scaffold_evaluable_fraction,fraction_at_decoder_token_budget,median_sa_score,median_np_likeness_score,median_per_seed_spearman_sa_score,median_per_seed_spearman_np_likeness
MolecuLA continuous OLS,native_l2,FractionCSP3,1050,1050,1.0,51,0.04857142857142857,51,0.04857142857142857,0.22,0.22,1.0,0.02,0.02,0.02,0.02,0.7833494518006403,0.0,0.02,0.0,0.04,1.0,1.0,0.0,2.4512319297902634,-0.8399808981387062,0.7833494518006403,0.7833494518006403
MolecuLA continuous OLS,train_std_unit,FractionCSP3,1050,1050,1.0,50,0.047619047619047616,50,0.047619047619047616,0.22,0.22,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04,1.0,1.0,0.0,2.4512319297902634,-0.8399808981387062,,
MolecuLA continuous OLS,native_l2,HBA,1050,1050,1.0,51,0.04857142857142857,51,0.04857142857142857,0.22,0.22,1.0,0.02,0.02,0.02,0.02,0.8174238913695991,0.0,0.02,0.0,0.04,1.0,1.0,0.0,2.4512319297902634,-0.8399808981387062,-0.8174238913695991,-0.8174238913695991
MolecuLA continuous OLS,train_std_unit,HBA,1050,1050,1.0,50,0.047619047619047616,50,0.047619047619047616,0.22,0.22,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04,1.0,1.0,0.0,2.4512319297902634,-0.8399808981387062,,
MolecuLA continuous OLS,native_l2,TPSA,1050,1050,1.0,51,0.04857142857142857,51,0.04857142857142857,0.22,0.22,1.0,0.02,0.02,0.02,0.02,0.8174238913695991,0.0,0.02,0.0,0.04,1.0,1.0,0.0,2.4512319297902634,-0.8399808981387062,-0.8174238913695991,-0.8174238913695991
MolecuLA continuous OLS,train_std_unit,TPSA,1050,1050,1.0,50,0.047619047619047616,50,0.047619047619047616,0.22,0.22,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04,1.0,1.0,0.0,2.4512319297902634,-0.8399808981387062,,
MolecuLA continuous OLS,native_l2,cLogP,1050,1050,1.0,51,0.04857142857142857,51,0.04857142857142857,0.22,0.22,1.0,0.02,0.02,0.02,0.02,0.7833494518006403,0.0,0.02,0.0,0.04,1.0,1.0,0.0,2.4512319297902634,-0.8399808981387062,0.7833494518006403,0.7833494518006403
MolecuLA continuous OLS,train_std_unit,cLogP,1050,1050,1.0,50,0.047619047619047616,50,0.047619047619047616,0.22,0.22,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04,1.0,1.0,0.0,2.4512319297902634,-0.8399808981387062,,
MolecuLA continuous OLS,native_l2,BertzCT,1050,1050,1.0,51,0.04857142857142857,51,0.04857142857142857,0.22,0.22,1.0,0.02,0.02,0.02,0.02,0.7833494518006403,0.0,0.02,0.0,0.04,1.0,1.0,0.0,2.4512319297902634,-0.8399808981387062,-0.7833494518006403,-0.7833494518006403
MolecuLA continuous OLS,train_std_unit,BertzCT,1050,1050,1.0,50,0.047619047619047616,50,0.047619047619047616,0.22,0.22,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04,1.0,1.0,0.0,2.4512319297902634,-0.8399808981387062,,
MolecuLA continuous OLS,native_l2,HeavyAtomCount,1050,1050,1.0,51,0.04857142857142857,51,0.04857142857142857,0.22,0.22,1.0,0.02,0.02,0.02,0.02,,0.0,0.0,0.0,0.04,1.0,1.0,0.0,2.4512319297902634,-0.8399808981387062,-0.6067798762169179,-0.6067798762169179
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,1050,1050,1.0,50,0.047619047619047616,50,0.047619047619047616,0.22,0.22,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04,1.0,1.0,0.0,2.4512319297902634,-0.8399808981387062,,
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,1050,1050,1.0,54,0.05142857142857143,54,0.05142857142857143,0.22,0.22,1.0,0.02,0.02,0.02,0.02,0.7875880161054749,0.0,0.04,0.0,0.045714285714285714,1.0,1.0,0.0,2.4512319297902634,-0.8066582286614122,-0.0019540178462478797,-0.0019540178462478797
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,1050,1050,1.0,52,0.049523809523809526,52,0.049523809523809526,0.22,0.22,1.0,0.04,0.04,0.04,0.04,0.6056749156293413,0.0,0.04,0.0,0.040952380952380955,1.0,1.0,0.0,2.4512319297902634,-0.8399808981387062,0.23640044269134314,0.23640044269134314
ChemSpacE adapted extreme-SVM,native_l2,HBA,1050,1050,1.0,54,0.05142857142857143,54,0.05142857142857143,0.22,0.22,1.0,0.04,0.02,0.04,0.04,-0.35796473277715807,0.0,0.02,0.0,0.03333333333333333,1.0,1.0,0.0,2.4512319297902634,-0.8733035676160001,0.6371516456845915,0.6371516456845915
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,1050,1050,1.0,54,0.05142857142857143,54,0.05142857142857143,0.22,0.22,1.0,0.04,0.02,0.04,0.04,-0.3355644798148361,0.0,0.02,0.0,0.03428571428571429,1.0,1.0,0.0,2.4512319297902634,-0.8733035676160001,0.6371516456845915,0.6371516456845915
