method,property,scale,native_direction_l2,native_direction_train_std_norm,traversal_vector_l2,traversal_vector_train_std_norm,traversal_vector_sha256
MolecuLA continuous OLS,FractionCSP3,native_l2,1.0,14.509284125885154,1.0,14.509284125885154,dfaec961a2c49911ae63945980854576532ecc13bcf3acfe1615c3b2776bc496
MolecuLA continuous OLS,FractionCSP3,train_std_unit,1.0,14.509284125885154,0.0689213879419426,1.0,d64b67598c767098d4f6628986947f7e246a9a59122b5313d49395d815b9253b
MolecuLA continuous OLS,HBA,native_l2,1.0,14.455175635945615,1.0,14.455175635945615,2a69ea86fe25d828e959d5406bf28d7ae9c8dd6efb65915085ca8f1ee68f71ce
MolecuLA continuous OLS,HBA,train_std_unit,1.0,14.455175635945615,0.06917937389244203,1.0,006f1cd4a72e714d64926f897f24aa93c19ac3aed07da475a64a343dbcad0ba5
MolecuLA continuous OLS,TPSA,native_l2,1.0,14.318283740810738,1.0,14.318283740810738,462e080e1c366d44b07d348fe30188ab528359087884d14ef7639ae2c1294e1e
MolecuLA continuous OLS,TPSA,train_std_unit,1.0,14.318283740810738,0.06984077268630642,1.0,363ffff78bff6cdcce896e4cc8cbe458e84ab5fa87ba535b5d255ff099df9d77
MolecuLA continuous OLS,cLogP,native_l2,1.0,14.07202635800805,1.0,14.07202635800805,e56d0f713c66f4da554e0494431a048842d1ae570be4c92d3cf3dee699eaabca
MolecuLA continuous OLS,cLogP,train_std_unit,1.0,14.07202635800805,0.07106297092962195,0.9999999999999999,04890f6e1fae6034869b5d22169526a95f1bcdbf0d655e7e6336230a6a4705ec
MolecuLA continuous OLS,BertzCT,native_l2,1.0,14.106345595479537,1.0,14.106345595479537,5e52816889623719542e6ec6da74930fb7513b4360f0e7e0cb95b0238d48784a
MolecuLA continuous OLS,BertzCT,train_std_unit,1.0,14.106345595479537,0.07089008228470284,1.0,1d5de8e5fb06c48455b7f528eca231109fb88fe3cf2aacf291a386b7a30560ec
MolecuLA continuous OLS,HeavyAtomCount,native_l2,1.0,14.290532154380488,1.0,14.290532154380488,dfc1318c15b231ca4b6ee60cb2a21aff700210c04ecab867051a1fe46cc91144
MolecuLA continuous OLS,HeavyAtomCount,train_std_unit,1.0,14.290532154380488,0.0699764004025189,1.0,fa71ac45abb78a595bfcff95279d919d8a38164bd8a2eb22a7697c08176f4667
ChemSpacE adapted extreme-SVM,FractionCSP3,native_l2,1.0,1.7227123120745915,1.0,1.7227123120745915,6d7268dcc87e6035f85e4460eb46de4659abb26b5fc6a6cfb115fab604777d89
ChemSpacE adapted extreme-SVM,FractionCSP3,train_std_unit,1.0,1.7227123120745915,0.5804799750898286,1.0,607d003e37e962c026027acb7d598d72cb7c021e5e5c9b47b45bbddcd7b8ee8d
ChemSpacE adapted extreme-SVM,HBA,native_l2,1.0,1.3793852127125878,1.0,1.3793852127125878,d34c3fc006e0e33896703d8fc32280a8e53336b98a05e757e3d59b1621d22586
ChemSpacE adapted extreme-SVM,HBA,train_std_unit,1.0,1.3793852127125878,0.7249606497038493,1.0,460172bb692fce33eef504532e8375c65c5def589df3454be418d7b6ac8d5102
ChemSpacE adapted extreme-SVM,TPSA,native_l2,1.0,1.4416192063764905,1.0,1.4416192063764905,9782b27670d3a1a098d6bf159ab2be4908c9ac60ebb04126e2dca7a8fe1aa52f
ChemSpacE adapted extreme-SVM,TPSA,train_std_unit,1.0,1.4416192063764905,0.6936644542309476,0.9999999999999999,269521bf0034ed26d81a6ea270da87dddb8355cfc48bfd1bb96725f2cdb1a3e9
ChemSpacE adapted extreme-SVM,cLogP,native_l2,1.0,1.6227541127293503,1.0,1.6227541127293503,bbb6fe94bb6789235490681210e26000c0d8842011bf7b0e6350fa1b18c96d9a
ChemSpacE adapted extreme-SVM,cLogP,train_std_unit,1.0,1.6227541127293503,0.6162363060156263,0.9999999999999999,e7f7a05c2038b8833cace68a9998aeec9671af6e91285274e28f813ea65cb631
ChemSpacE adapted extreme-SVM,BertzCT,native_l2,1.0,1.681300744997037,1.0,1.681300744997037,9e38fa243e8bc27b7dd6f9511ae98db92872156581b28fef2364e8c7d4a07046
ChemSpacE adapted extreme-SVM,BertzCT,train_std_unit,1.0,1.681300744997037,0.5947775869222983,0.9999999999999999,0e3d7b98ee680c2dc6dc27512ddb70b12c5c03dcbdd9df0ad49aba5ed90bf36a
ChemSpacE adapted extreme-SVM,HeavyAtomCount,native_l2,1.0,1.7698549463217446,1.0,1.7698549463217446,86cfde270f44bff08c45a42181befd2ea2ce661a8c355f61d5525b79b4e9d1bb
ChemSpacE adapted extreme-SVM,HeavyAtomCount,train_std_unit,1.0,1.7698549463217446,0.5650180553374052,1.0,c0e31962f70a7ade9ddaa77fcf896caea1128ee794bf571b917000a177cca388
