method,scale,property,alpha,requested_candidates,valid_fraction,unique_canonical_fraction_total,changed_from_seed_fraction_all,median_property,median_property_delta,median_sa_score,median_sa_score_delta,median_np_likeness_score,median_np_likeness_delta,fraction_at_decoder_token_budget,expected_sign_fraction_valid,median_seed_similarity,q25_seed_similarity,q75_seed_similarity,scaffold_retention_fraction
MolecuLA continuous OLS,native_l2,FractionCSP3,-1.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,-0.9,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,-0.8,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,-0.7,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,-0.6,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,-0.5,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,-0.3999999999999999,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,-0.2999999999999999,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,-0.1999999999999999,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,-0.0999999999999999,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,0.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,0.1,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,0.2000000000000001,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,0.3,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,0.4000000000000001,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,0.5,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,0.6000000000000001,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,0.7000000000000002,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,0.8,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,0.9000000000000001,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,native_l2,FractionCSP3,1.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.42,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,-1.0,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,-0.9,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,-0.8,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
MolecuLA continuous OLS,train_std_unit,FractionCSP3,-0.7,50,1.0,1.0,0.04,0.2857142857142857,0.0,2.4512319297902634,0.0,-0.8399808981387062,0.0,0.0,0.0,1.0,1.0,1.0,0.96
