method,scale,property,confound,seeds,median_spearman_alpha_confound,median_abs_spearman_alpha_confound,median_spearman_abs_alpha_confound,median_abs_spearman_abs_alpha_confound,fraction_positive_spearman,median_slope_confound_per_alpha,median_slope_confound_per_abs_alpha
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,branch_token_count,50,0.6083829962530759,0.6083829962530759,-0.15972276915900527,0.15972276915900527,0.02,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,ring_token_count,50,0.3692744729379982,0.3692744729379982,0.35115294811993913,0.35115294811993913,0.14,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,selfies_len_tokens,50,0.5090097337879789,0.5090097337879789,0.35115294811993913,0.35115294811993913,0.2,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,token_entropy,50,0.3692744729379982,0.43914210336298853,0.34671684995902385,0.35115294811993913,0.14,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,branch_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,ring_token_count,50,0.3692744729379982,0.3692744729379982,-0.35115294811993913,0.35115294811993913,0.02,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,selfies_len_tokens,50,0.1846372364689991,0.5539117094069973,0.09240867055787877,0.4435616186778179,0.02,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,token_entropy,50,-0.6888952618615096,0.6888952618615096,-0.1981636282593341,0.45219744790240113,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,branch_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,ring_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,selfies_len_tokens,50,0.05176320622234404,0.7903121520983405,-0.40981873435885385,0.40981873435885385,0.02,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,token_entropy,50,0.7326000769153322,0.7326000769153322,0.42405115105232394,0.42405115105232394,0.04,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,branch_token_count,50,0.43914210336298853,0.43914210336298853,-0.3968094501801078,0.3968094501801078,0.04,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,ring_token_count,50,0.5090097337879789,0.5090097337879789,0.35115294811993913,0.35115294811993913,0.14,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,selfies_len_tokens,50,0.6438441801279862,0.6438441801279862,0.31526129681506254,0.36343339338849484,0.2,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,token_entropy,50,0.22112365372990117,0.5093284626128022,0.03145555314396126,0.4093926241608579,0.12,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,TPSA,branch_token_count,50,0.6067798762169179,0.6067798762169179,-0.49489550854200043,0.49489550854200043,0.02,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,TPSA,ring_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,TPSA,selfies_len_tokens,50,0.6438441801279862,0.7321289679198475,-0.3309571107646943,0.49575038512025704,0.06,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,TPSA,token_entropy,50,0.6833384902252411,0.7204027941363094,-0.11401190790236493,0.49575038512025704,0.06,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,cLogP,branch_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,cLogP,ring_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,cLogP,selfies_len_tokens,50,0.8174238913695991,0.8420753583206845,-0.3647149450483,0.3647149450483,0.04,0.0,0.0
ChemSpacE adapted extreme-SVM,native_l2,cLogP,token_entropy,50,-0.8174238913695991,0.8174238913695991,0.2069029971409221,0.3647149450483,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,branch_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,ring_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,selfies_len_tokens,50,0.7779864186227978,0.7779864186227978,-0.019008838463554917,0.46151624843741446,0.04,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,BertzCT,token_entropy,50,-0.06152940827009279,0.7558944830995064,-0.043280728290635506,0.39922668168322406,0.02,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,branch_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,ring_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,selfies_len_tokens,50,0.3692744729379982,0.3692744729379982,0.35115294811993913,0.35115294811993913,0.02,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,FractionCSP3,token_entropy,50,-0.6056749156293413,0.6056749156293413,-0.03374288431896402,0.31741006380097514,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,branch_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,ring_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,selfies_len_tokens,50,0.1176477410518833,0.7244276172688011,-0.4005289692061421,0.4005289692061421,0.02,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HBA,token_entropy,50,0.6667155420857929,0.6667155420857929,0.4147613858996122,0.4147613858996122,0.04,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,branch_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,ring_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,selfies_len_tokens,50,0.7837633340119776,0.7837633340119776,-0.04730123223253749,0.4120161772808375,0.04,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,HeavyAtomCount,token_entropy,50,-0.07166911627140049,0.770406242049284,-0.012398726025706353,0.35231621902259364,0.02,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,branch_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,ring_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,selfies_len_tokens,50,0.3692744729379982,0.6809084840390546,-0.2836671794820111,0.35115294811993913,0.04,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,TPSA,token_entropy,50,0.6809084840390546,0.6809084840390546,0.31213201286895126,0.35115294811993913,0.04,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,branch_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,ring_token_count,50,,,,,0.0,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,selfies_len_tokens,50,0.7385489458759964,0.8174238913695991,-0.44250740997385957,0.44250740997385957,0.04,0.0,0.0
ChemSpacE adapted extreme-SVM,train_std_unit,cLogP,token_entropy,50,-0.7385489458759964,0.7385489458759964,0.23511973372743394,0.44250740997385957,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,BertzCT,branch_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,BertzCT,ring_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,BertzCT,selfies_len_tokens,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,BertzCT,token_entropy,50,0.7833494518006403,0.7833494518006403,0.4966052616985137,0.4966052616985137,0.02,0.0,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,branch_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,ring_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,selfies_len_tokens,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,token_entropy,50,-0.7833494518006403,0.7833494518006403,0.44433102362498594,0.44433102362498594,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,HBA,branch_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,HBA,ring_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,HBA,selfies_len_tokens,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,HBA,token_entropy,50,0.8174238913695991,0.8174238913695991,0.44250740997385957,0.44250740997385957,0.02,0.0,0.0
MolecuLA continuous OLS,native_l2,HeavyAtomCount,branch_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,HeavyAtomCount,ring_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,HeavyAtomCount,selfies_len_tokens,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,HeavyAtomCount,token_entropy,50,0.6067798762169179,0.6067798762169179,0.5173907589302732,0.5173907589302732,0.02,0.0,0.0
MolecuLA continuous OLS,native_l2,TPSA,branch_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,TPSA,ring_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,TPSA,selfies_len_tokens,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,TPSA,token_entropy,50,0.8174238913695991,0.8174238913695991,0.44250740997385957,0.44250740997385957,0.02,0.0,0.0
MolecuLA continuous OLS,native_l2,cLogP,branch_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,cLogP,ring_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,cLogP,selfies_len_tokens,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,native_l2,cLogP,token_entropy,50,-0.7833494518006403,0.7833494518006403,0.44433102362498594,0.44433102362498594,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,BertzCT,branch_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,BertzCT,ring_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,BertzCT,selfies_len_tokens,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,BertzCT,token_entropy,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,branch_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,ring_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,selfies_len_tokens,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,token_entropy,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HBA,branch_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HBA,ring_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HBA,selfies_len_tokens,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HBA,token_entropy,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,branch_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,ring_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,selfies_len_tokens,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,HeavyAtomCount,token_entropy,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,branch_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,ring_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,selfies_len_tokens,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,TPSA,token_entropy,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,branch_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,ring_token_count,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,selfies_len_tokens,50,,,,,0.0,0.0,0.0
MolecuLA continuous OLS,train_std_unit,cLogP,token_entropy,50,,,,,0.0,0.0,0.0
