method,property,seed_id,requested_transitions,evaluable_transitions,structure_changed_transitions,structure_changed_fraction_evaluable,median_adjacent_tanimoto,q25_adjacent_tanimoto,p05_adjacent_tanimoto,median_absolute_sa_step_changed,p95_absolute_sa_step_changed,median_absolute_np_step_changed,p95_absolute_np_step_changed,median_absolute_property_step_changed,p95_absolute_property_step_changed
ChemSpacE extreme-SVM,BertzCT,0,99,64,20,0.3125,1.0,0.590625,0.15426320667284524,0.9955055632183814,3.2221192156244967,0.11347475563921064,1.3739741566246484,346.2557079669393,3068.2289290641115
ChemSpacE extreme-SVM,BertzCT,1,99,99,21,0.21212121212121213,1.0,1.0,0.11532276077730623,0.7042156159667883,4.580847465665993,0.10871151527270001,1.6935106545194079,127.35231111699068,3854.014606317668
ChemSpacE extreme-SVM,BertzCT,2,99,99,17,0.1717171717171717,1.0,1.0,0.07700665188470067,1.362214926383393,4.580847465665993,0.1861395829541285,2.3749084425858022,129.806110542876,4916.114648859976
ChemSpacE extreme-SVM,BertzCT,3,99,82,36,0.43902439024390244,1.0,0.573015873015873,0.09325221238938053,0.4448976778731937,3.8688090325581577,0.10907433232466626,0.44411233890117496,409.3257101565482,1893.113582316741
ChemSpacE extreme-SVM,BertzCT,4,99,99,20,0.20202020202020202,1.0,1.0,0.09141025641025642,0.6889583412680653,4.344955157973685,0.18520503287205392,0.7187520613551787,224.8136080178288,3705.838487993588
ChemSpacE extreme-SVM,BertzCT,5,99,99,31,0.31313131313131315,1.0,0.9622507122507122,0.049819277108433736,0.5821840501860835,4.388538467572001,0.10871151527270001,2.0322387387926213,460.65039856989404,1655.8776058514204
ChemSpacE extreme-SVM,BertzCT,6,99,99,23,0.23232323232323232,1.0,1.0,0.14847883211678833,0.5571876502129154,4.435454193148854,0.10871151527270001,0.5266077524739342,154.19494143034868,2314.6006824785145
ChemSpacE extreme-SVM,BertzCT,7,99,99,21,0.21212121212121213,1.0,1.0,0.10671758715236977,1.3043928745355595,4.580847465665993,0.24843446877916533,1.3533112701270498,101.51124422332077,7092.40811527174
ChemSpacE extreme-SVM,BertzCT,8,99,99,24,0.24242424242424243,1.0,1.0,0.1754201680672269,0.3748446813458237,3.6717453538445737,0.09255118780679741,1.0258586755681187,333.10487810867835,2302.906095474648
ChemSpacE extreme-SVM,BertzCT,9,99,99,29,0.29292929292929293,1.0,1.0,0.11529411764705882,0.3461750668771568,4.238566532448164,0.05473646444421493,1.3177835957575046,393.76523365539106,2491.5997062576107
ChemSpacE extreme-SVM,BertzCT,10,99,99,28,0.2828282828282828,1.0,1.0,0.12984607984607985,0.6025611747651518,4.248562863549002,0.08854698861750204,1.2137356577427783,402.08073668348516,2223.3189662265277
ChemSpacE extreme-SVM,BertzCT,11,99,99,22,0.2222222222222222,1.0,1.0,0.19080757726819542,0.3797878436338,3.5521416233578824,0.10270913572256984,1.0429531264956053,203.55697677692697,3562.712509347494
ChemSpacE extreme-SVM,BertzCT,12,99,99,24,0.24242424242424243,1.0,1.0,0.07427536231884059,0.6638213300916216,4.580847465665993,0.11768327222683,0.9394254414196297,350.1413060704796,3140.601077165268
ChemSpacE extreme-SVM,BertzCT,13,99,65,24,0.36923076923076925,1.0,0.6285714285714286,0.0733038432814385,0.4473260325011257,3.604888738915336,0.09146352877253515,0.9520571074874676,415.2540591021469,1920.5019891788338
ChemSpacE extreme-SVM,BertzCT,14,99,58,14,0.2413793103448276,1.0,1.0,0.1165719696969697,0.8598513817308167,4.18140663277891,0.16712889907751377,0.835103857422383,312.6736633035939,3258.664941626929
ChemSpacE extreme-SVM,BertzCT,15,99,99,25,0.25252525252525254,1.0,1.0,0.08953658536585365,0.8242835270722306,4.192324396324414,0.15285043109565222,1.105219539954142,286.6639413353423,2906.9213964026376
ChemSpacE extreme-SVM,BertzCT,16,99,59,19,0.3220338983050847,1.0,0.5147630147630148,0.10843373493975908,0.4647562177725071,3.7628305425890685,0.06867420215438053,1.174070422723252,631.951062616321,4097.665980989173
