method,property,alpha,latent_displacement,requested_candidates,valid_candidates,valid_fraction,distinct_canonical_structures,median_sa_score,median_delta_sa_vs_seed,median_np_likeness,median_delta_np_vs_seed,median_np_fragment_confidence,sa_nonworsening_fraction_valid_changed,np_nondecreasing_fraction_valid_changed
MolecuLA raw OLS (seed-excluded),FractionCSP3,-150.0,150.0,50,50,1.0,50,5.97049367229083,3.36887011646941,0.546778384824294,1.4287020433450692,0.4780952380952381,0.0,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,150.0,150.0,50,50,1.0,41,5.548467138267421,2.946550727073469,0.1444617369057933,1.2296145310696132,0.9803921568627452,0.0,0.88
MolecuLA raw OLS (seed-excluded),HBA,-150.0,150.0,50,50,1.0,16,3.6582262694042136,1.4319282283149697,0.2702114798440666,1.2557568367914858,0.8,0.14,0.82
MolecuLA raw OLS (seed-excluded),HBA,150.0,150.0,50,50,1.0,49,6.676003194112308,4.355938190705499,0.0306168043546347,0.943117207190186,0.4736842105263157,0.0,0.84
MolecuLA raw OLS (seed-excluded),TPSA,-150.0,150.0,50,50,1.0,44,3.260865788669149,0.5454810996847002,1.1598557854860942,1.7237150549390088,1.0,0.34,0.98
MolecuLA raw OLS (seed-excluded),TPSA,150.0,150.0,50,50,1.0,50,5.48110662008772,3.066358165664408,0.1257911750414582,1.1205700016678226,0.5902951958325294,0.0,0.86
MolecuLA raw OLS (seed-excluded),cLogP,-150.0,150.0,50,50,1.0,29,3.565875611257084,1.3175051805563234,0.33178490411555,1.059122797856082,0.6666666666666666,0.04,0.9
MolecuLA raw OLS (seed-excluded),cLogP,150.0,150.0,50,50,1.0,48,6.453881315165347,3.829366601903046,0.4930906380501108,1.431697516936974,0.8681159420289855,0.08,0.96
MolecuLA raw OLS (seed-excluded),BertzCT,-150.0,150.0,50,50,1.0,9,2.701044842026315,0.2094029854312893,0.0589399978379166,1.11337894243709,0.6666666666666666,0.4,0.88
MolecuLA raw OLS (seed-excluded),BertzCT,150.0,150.0,50,50,1.0,50,7.821965951088817,5.292999088018485,0.4868911805577099,1.3352913323277371,0.5882208387942334,0.0,0.92
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,-150.0,150.0,50,41,0.82,4,7.328415384615384,4.750678125241233,0.0,0.5676923832217768,0.0,0.073170731707317,0.8048780487804879
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,150.0,150.0,50,50,1.0,50,7.481292165810537,4.941276017594511,0.4932641802313295,1.4426471042171285,0.6507575757575758,0.0,0.94
ChemSpacE extreme-SVM,FractionCSP3,-150.0,150.0,50,50,1.0,30,8.400678306675008,5.739395746149972,-0.0049043299121006,0.9493643975085376,0.4826762246117084,0.0,0.8
ChemSpacE extreme-SVM,FractionCSP3,150.0,150.0,50,50,1.0,1,4.718797012828133,2.2675650830378693,0.0158647311752545,0.9701334585958928,1.0,0.0,0.84
ChemSpacE extreme-SVM,HBA,-150.0,150.0,50,50,1.0,1,4.718797012828133,2.2675650830378693,0.0158647311752545,0.9701334585958928,1.0,0.0,0.84
ChemSpacE extreme-SVM,HBA,150.0,150.0,50,50,1.0,4,7.8420633820817,5.390831452291437,-0.0049043299121006,0.9493643975085376,0.625,0.0,0.8
ChemSpacE extreme-SVM,TPSA,-150.0,150.0,50,50,1.0,1,4.718797012828133,2.2675650830378693,0.0158647311752545,0.9701334585958928,1.0,0.0,0.84
ChemSpacE extreme-SVM,TPSA,150.0,150.0,50,50,1.0,23,7.98158898607228,5.740894971442083,0.053004419319909,0.9801615690747764,0.625,0.0,0.84
ChemSpacE extreme-SVM,cLogP,-150.0,150.0,50,50,1.0,1,7.8420633820817,5.390831452291437,-0.0049043299121006,0.9493643975085376,0.625,0.0,0.8
ChemSpacE extreme-SVM,cLogP,150.0,150.0,50,50,1.0,1,4.718797012828133,2.2675650830378693,0.0158647311752545,0.9701334585958928,1.0,0.0,0.84
ChemSpacE extreme-SVM,BertzCT,-150.0,150.0,50,48,0.96,5,4.718797012828133,2.1948236669908505,0.0158647311752545,1.0393109509547935,1.0,0.0416666666666666,0.8333333333333334
ChemSpacE extreme-SVM,BertzCT,150.0,150.0,50,50,1.0,1,7.284354713588849,4.8331227837985855,0.0829075371190649,1.0371762645397031,1.0,0.0,0.84
ChemSpacE extreme-SVM,HeavyAtomCount,-150.0,150.0,50,0,0.0,0,,,,,,,
ChemSpacE extreme-SVM,HeavyAtomCount,150.0,150.0,50,50,1.0,5,7.98158898607228,5.515477520501236,0.053004419319909,1.076450639099448,0.625,0.0,0.84
