property,alpha_sign,requested_exact_pairs,both_valid_pairs,both_valid_changed_pairs,median_chemspace_minus_raw_delta_sa,q25_chemspace_minus_raw_delta_sa,q75_chemspace_minus_raw_delta_sa,chemspace_strictly_lower_delta_sa_fraction,equal_delta_sa_fraction,median_chemspace_minus_raw_delta_np,median_chemspace_minus_raw_seed_similarity,median_chemspace_minus_raw_expected_improvement
FractionCSP3,negative,2500,2500,2108,2.775206704772747,2.0883363543068874,3.3460871742168106,0.0023719165085388993,0.0009487666034155598,-0.6672161988088067,-0.062181292809224055,0.1052631578947369
FractionCSP3,positive,2500,2500,2164,0.08479335238180008,-0.6576630466672828,0.6457576593239303,0.4468576709796673,0.018484288354898338,-0.75667121271825,-0.03715879880958585,0.055555555555555636
HBA,negative,2500,2489,2110,0.7441926945086879,-0.17071513090294643,1.55498377223428,0.32037914691943126,0.00047393364928909954,-0.7615938509697665,-0.025524673851389703,0.0
HBA,positive,2500,2500,2170,2.175552138417595,1.2310399849059983,3.203236445948618,0.04608294930875576,0.0004608294930875576,-0.10119241543540192,-0.06908484623060561,139.0
TPSA,negative,2500,2500,2043,0.9173020051269782,-0.08532974788620784,1.7991074922381207,0.2692119432207538,0.0053842388644150755,-1.2734592469437547,-0.036445678583825095,0.0
TPSA,positive,2500,2500,2105,3.1413940449800952,2.424699645619542,3.855801874075259,0.0019002375296912114,0.00047505938242280285,-0.11627148532186071,-0.061014492753623195,1532.6199999999978
cLogP,negative,2500,2500,2079,4.023192396243041,3.2844640879709424,4.541393798395147,0.001924001924001924,0.0,-0.29746422381300053,-0.0652173913043478,75.64849999999896
cLogP,positive,2500,2500,2138,-0.9494678946717521,-1.9338167945936084,0.12184120757499883,0.7184284377923292,0.0023386342376052385,-0.9094898590276868,-0.047138413084852504,50.993319999999585
BertzCT,negative,2500,2080,1804,2.1606699824764717,0.041841987351121546,3.765857343593046,0.2278270509977827,0.019955654101995565,-0.19339788390743248,-0.03163992869875221,0.0
BertzCT,positive,2500,2500,2191,1.2635114025783825,-0.08918863064794635,2.3797771782493715,0.2642628936558649,0.0009128251939753537,-0.3932015385623888,-0.0811089619600258,10011.512043943369
HeavyAtomCount,negative,2500,296,61,4.125682809161268,2.8304531855753687,4.4219535240176615,0.19672131147540983,0.0,0.5242716041306104,-0.4675324675324675,23.0
HeavyAtomCount,positive,2500,2500,2201,1.451007055099656,0.24387965260789546,2.732354621893796,0.20172648796001819,0.0009086778736937755,-0.5058944487039996,-0.0610062893081761,114.0
