property,alpha_sign,matched_pairs,median_absolute_improvement_mismatch,p95_absolute_improvement_mismatch,median_chemspace_minus_raw_delta_sa,median_chemspace_minus_raw_delta_np,median_chemspace_minus_raw_seed_similarity,raw_median_latent_displacement,chemspace_median_latent_displacement
BertzCT,negative,1439,29.302968908806406,559.7690371700975,0.9926108803144089,-0.27645796478626006,-0.0666666666666666,65.15151515151516,53.03030303030303
BertzCT,positive,1855,8917.202623319763,10408.500710198516,0.7638354713104283,-0.37078114027441234,-0.0727272727272727,89.3939393939394,68.18181818181819
FractionCSP3,negative,1737,0.09090909090909094,0.25,2.426900582361121,-0.6216623857955874,-0.0568181818181818,89.39393939393939,62.121212121212125
FractionCSP3,positive,2160,0.05555555555555558,0.4500609756097557,0.03015523414238208,-0.7258570529482182,-0.0356037151702786,86.36363636363637,68.18181818181819
HBA,negative,2044,0.0,2.0,0.30361184313777034,-0.5714915764927957,-0.0222222222222222,89.39393939393939,65.15151515151516
HBA,positive,1969,135.0,145.0,1.9492443311855565,-0.07447496078511387,-0.065040650406504,83.33333333333334,62.121212121212125
HeavyAtomCount,negative,259,13.0,23.0,0.9546879350586801,0.12885989848433033,-0.20652680652680658,25.757575757575765,10.606060606060597
HeavyAtomCount,positive,1975,92.0,122.0,1.04660026634516,-0.5038514687183107,-0.053429329291398306,89.3939393939394,68.18181818181819
TPSA,negative,1991,0.0,43.09,0.6401409359539718,-1.2418427839597364,-0.0332688588007737,92.42424242424242,65.15151515151516
TPSA,positive,1930,1369.415000000001,1690.699499999997,2.8730406610216566,-0.07084043155376968,-0.058388157894736795,86.36363636363637,80.30303030303031
cLogP,negative,2041,75.09607999999895,76.39509999999896,3.7606326433060273,-0.2505191163979186,-0.0579710144927536,89.39393939393939,65.15151515151516
cLogP,positive,2033,49.737599999999595,55.124559999999576,-0.9624823244031724,-0.8676295426638074,-0.043560606060606,89.3939393939394,68.18181818181819
