property,alpha_sign,matched_pairs,median_absolute_similarity_mismatch,p95_absolute_similarity_mismatch,median_chemspace_minus_raw_delta_sa,q25_chemspace_minus_raw_delta_sa,q75_chemspace_minus_raw_delta_sa,chemspace_strictly_lower_delta_sa_fraction,median_chemspace_minus_raw_delta_np,median_improvement_difference_chemspace_minus_raw
BertzCT,negative,2080,0.0560017811917286,0.9444444444444444,1.9712290938787413,0.0,4.580847465665993,0.225,-0.09275132815573328,0.0
BertzCT,positive,2500,0.0880251572327044,0.9254007739082367,1.4421375915108692,0.03705070534541255,2.59523952905553,0.232,-0.3277716376082499,9898.463865723163
FractionCSP3,negative,2500,0.07013725438843205,0.9523809523809524,2.7829801881137,1.9733631321823342,3.5970413132724754,0.0076,-0.545096312729824,0.1111111111111111
FractionCSP3,positive,2500,0.044346477641583545,0.9333879781420761,0.18552297802347528,-0.4521572658877302,0.8198245743024861,0.3912,-0.6540577839148283,0.0714285714285714
HBA,negative,2489,0.0419896640826874,0.9396129974443228,0.708467938993782,-0.2652872798720197,1.5191550182845708,0.3057452792286059,-0.4501439722603933,0.0
HBA,positive,2500,0.07648941864295125,0.9217632850241545,2.3282466139371705,1.275802790347262,3.412721572560041,0.0452,-0.051383289098254514,138.0
HeavyAtomCount,negative,296,0.8974358974358975,1.0,0.9004356550601251,0.0,4.156308828670902,0.17905405405405406,0.7981250104840392,16.0
HeavyAtomCount,positive,2500,0.06776556776556775,0.8952523098791755,1.6021318353959682,0.36747420057492053,2.871295294232887,0.1608,-0.4411867619355855,111.0
TPSA,negative,2500,0.045866935483871,0.9666666666666668,0.8019346042924043,-0.1749348471799429,1.7991573132948835,0.2872,-0.920335961311062,0.0
TPSA,positive,2500,0.06737042791219536,0.943192538593482,3.1832787570973493,2.3128826055970366,4.006041789605561,0.0184,-0.03818624166536022,1465.0749999999985
cLogP,negative,2500,0.0761904761904762,0.9302325581395348,3.8545993499179994,2.947706320882861,4.42660290690272,0.0052,-0.15924264896171292,75.39169999999896
cLogP,positive,2500,0.054411169824518255,0.9285714285714286,-0.5863592636036872,-1.7412404993538462,0.6532695487029292,0.614,-0.7413688610781118,50.519904999999596
