method,property,seed_id,objective,seed_similarity_cutoff,quality_rule,candidate_budget,eligible_candidates,success,best_objective_improvement,selected_alpha,selected_seed_similarity,selected_scaffold_retained,selected_sa_score,selected_delta_sa_vs_seed,selected_np_likeness,selected_delta_np_vs_seed,selected_np_fragment_confidence,selected_canonical_smiles
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.0,none,100,73,True,1.0,104.54545454545452,0.0317460317460317,False,3.9286393954658543,1.9758289829252718,1.5883234681865668,3.457993815199375,0.9130434782608695,CC1CCNC2C(CC[C@@H]2C)C1
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.0,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.0,np_nondecreasing,100,73,True,1.0,104.54545454545452,0.0317460317460317,False,3.9286393954658543,1.9758289829252718,1.5883234681865668,3.457993815199375,0.9130434782608695,CC1CCNC2C(CC[C@@H]2C)C1
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.0,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.2,none,100,5,True,0.0526315789473684,16.666666666666657,0.4923076923076923,False,3.4689926435431016,1.516182231002519,-1.0897455892671044,0.779924757745704,0.8727272727272727,NC1=CC(C(=O)Nc2ccc3nc(Cl)sc3c2)C=Cc2cc(F)ccc21
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.2,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.2,np_nondecreasing,100,5,True,0.0526315789473684,16.666666666666657,0.4923076923076923,False,3.4689926435431016,1.516182231002519,-1.0897455892671044,0.779924757745704,0.8727272727272727,NC1=CC(C(=O)Nc2ccc3nc(Cl)sc3c2)C=Cc2cc(F)ccc21
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.2,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.4,none,100,4,True,0.0526315789473684,16.666666666666657,0.4923076923076923,False,3.4689926435431016,1.516182231002519,-1.0897455892671044,0.779924757745704,0.8727272727272727,NC1=CC(C(=O)Nc2ccc3nc(Cl)sc3c2)C=Cc2cc(F)ccc21
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.4,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.4,np_nondecreasing,100,4,True,0.0526315789473684,16.666666666666657,0.4923076923076923,False,3.4689926435431016,1.516182231002519,-1.0897455892671044,0.779924757745704,0.8727272727272727,NC1=CC(C(=O)Nc2ccc3nc(Cl)sc3c2)C=Cc2cc(F)ccc21
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.4,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.6,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.6,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.6,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.6,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.0,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.0,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.0,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.0,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.2,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.2,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.2,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.2,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.4,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.4,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.4,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.4,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.6,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.6,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.6,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.6,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.0,none,100,50,True,0.8333333333333334,95.45454545454544,0.0588235294117647,False,4.059644875131397,1.946617539758659,1.0964613569226,2.3115562359235353,0.9473684210526315,CCOCCC1CC(CCOCNCC(C)C(C)C)C[C@@H]1CC
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.0,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.0,np_nondecreasing,100,50,True,0.8333333333333334,95.45454545454544,0.0588235294117647,False,4.059644875131397,1.946617539758659,1.0964613569226,2.3115562359235353,0.9473684210526315,CCOCCC1CC(CCOCNCC(C)C(C)C)C[C@@H]1CC
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.0,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.2,none,100,3,True,0.0686274509803922,-31.818181818181813,0.217391304347826,False,3.735751928615329,1.6227245932425909,0.11617064644682279,1.3312655254477581,0.82,CC=CCC1=CNC(CNc2cncc(Br)c2)=CC1=COC
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.2,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.2,np_nondecreasing,100,3,True,0.0686274509803922,-31.818181818181813,0.217391304347826,False,3.735751928615329,1.6227245932425909,0.11617064644682279,1.3312655254477581,0.82,CC=CCC1=CNC(CNc2cncc(Br)c2)=CC1=COC
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.2,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.4,none,100,1,True,0.0641025641025641,-25.757575757575765,0.4528301886792453,False,3.6836352484771213,1.570607913104383,-0.005517951712550009,1.2095769272883852,0.8837209302325582,COC=C1C=CCC(CNc2cncc(Br)n2)=C1
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.4,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.4,np_nondecreasing,100,1,True,0.0641025641025641,-25.757575757575765,0.4528301886792453,False,3.6836352484771213,1.570607913104383,-0.005517951712550009,1.2095769272883852,0.8837209302325582,COC=C1C=CCC(CNc2cncc(Br)n2)=C1
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.4,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.6,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.6,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.6,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.6,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.0,none,100,34,True,0.1666666666666666,-56.06060606060606,0.0533333333333333,False,5.1528252261830385,3.0397978908103003,1.2361453617309996,2.451240240731935,0.6739130434782609,C=CC=CC=CC1=CC(=NC=O)C=NC2=CC=NC2=NC=C1
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.0,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.0,np_nondecreasing,100,34,True,0.1666666666666666,-56.06060606060606,0.0533333333333333,False,5.1528252261830385,3.0397978908103003,1.2361453617309996,2.451240240731935,0.6739130434782609,C=CC=CC=CC1=CC(=NC=O)C=NC2=CC=NC2=NC=C1
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.0,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.2,none,100,1,True,0.0128205128205127,-28.787878787878785,0.2419354838709677,False,3.518874005873572,1.405846670500834,-0.2584459876921055,0.9566488913088298,0.813953488372093,COC=C1C=CNC(CNc2cncc(Br)c2)=C1
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.2,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.2,np_nondecreasing,100,1,True,0.0128205128205127,-28.787878787878785,0.2419354838709677,False,3.518874005873572,1.405846670500834,-0.2584459876921055,0.9566488913088298,0.813953488372093,COC=C1C=CNC(CNc2cncc(Br)c2)=C1
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.2,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.4,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.4,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.4,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.4,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.6,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.6,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.6,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.6,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.0,none,100,42,True,0.7142857142857143,56.06060606060606,0.088235294117647,False,3.4349509752989347,0.9747709680733783,0.33317745636043333,2.048983883407078,0.8125,CC1CCCCC[C@H]1S
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.0,sa_nonworsening,100,7,True,0.5142857142857143,77.27272727272728,0.0526315789473684,,2.211059110265257,-0.24912089696029938,1.6084831535864197,3.3242895806330646,1.0,CCC=C(C)CCCCC
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.0,np_nondecreasing,100,42,True,0.7142857142857143,56.06060606060606,0.088235294117647,False,3.4349509752989347,0.9747709680733783,0.33317745636043333,2.048983883407078,0.8125,CC1CCCCC[C@H]1S
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.0,sa_and_np,100,7,True,0.5142857142857143,77.27272727272728,0.0526315789473684,,2.211059110265257,-0.24912089696029938,1.6084831535864197,3.3242895806330646,1.0,CCC=C(C)CCCCC
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.2,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.2,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.2,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.2,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.4,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.4,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.4,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.4,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.6,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.6,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.6,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,maximize,0.6,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.0,none,100,38,True,0.2857142857142857,-146.96969696969697,0.0666666666666666,False,6.3265429078764095,3.866362900650853,0.8722195024690417,2.588025929515686,0.46511627906976744,O=CC=C=C=C=C=C=CC=CC1=CN=CC(C=CC=O)=C=C=C=N1
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.0,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.0,np_nondecreasing,100,38,True,0.2857142857142857,-146.96969696969697,0.0666666666666666,False,6.3265429078764095,3.866362900650853,0.8722195024690417,2.588025929515686,0.46511627906976744,O=CC=C=C=C=C=C=CC=CC1=CN=CC(C=CC=O)=C=C=C=N1
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.0,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.2,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.2,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.2,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.2,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.4,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.4,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.4,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.4,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.6,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.6,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.6,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,minimize,0.6,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.0,none,100,44,True,0.4117647058823529,46.96969696969697,0.1111111111111111,False,4.437237100638752,0.7378022879902693,1.3269332864319772,1.2141740724335603,0.78125,CC1OCC1(O)COCC[C@H](C)Cl
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.0,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.0,np_nondecreasing,100,44,True,0.4117647058823529,46.96969696969697,0.1111111111111111,False,4.437237100638752,0.7378022879902693,1.3269332864319772,1.2141740724335603,0.78125,CC1OCC1(O)COCC[C@H](C)Cl
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.0,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.2,none,100,6,True,0.2784313725490196,37.87878787878788,0.2567567567567567,False,4.566300586446711,0.8668657737982279,0.7595041540477013,0.6467449400492846,0.8723404255319149,CC(Cl)=CC[C@@](O)(COC[C@H](C)CO)C1CCC(F)(F)C1
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.2,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.2,np_nondecreasing,100,6,True,0.2784313725490196,37.87878787878788,0.2567567567567567,False,4.566300586446711,0.8668657737982279,0.7595041540477013,0.6467449400492846,0.8723404255319149,CC(Cl)=CC[C@@](O)(COC[C@H](C)CO)C1CCC(F)(F)C1
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.2,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.4,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.4,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.4,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.4,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.6,none,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.6,sa_nonworsening,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.6,np_nondecreasing,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,maximize,0.6,sa_and_np,100,0,False,,,,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,minimize,0.0,none,100,42,True,0.5882352941176471,-128.78787878787878,0.0581395348837209,,5.540511503466706,1.8410766908182232,0.7794336539542909,0.6666744399558742,0.5348837209302325,C=C(Cl)C(=CC=NC(=CC=O)OC=O)N=CN=C=C=C=C=O
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,minimize,0.0,sa_nonworsening,100,3,True,0.5113122171945701,-50.0,0.1538461538461538,False,3.1411392771728135,-0.5582955354756693,-0.5514425596935,-0.6642017736919167,0.7380952380952381,O=C(CC=C(Cl)Oc1ccc(Cl)cc1)On1ccnc1
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,minimize,0.0,np_nondecreasing,100,35,True,0.5882352941176471,-128.78787878787878,0.0581395348837209,,5.540511503466706,1.8410766908182232,0.7794336539542909,0.6666744399558742,0.5348837209302325,C=C(Cl)C(=CC=NC(=CC=O)OC=O)N=CN=C=C=C=C=O
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,minimize,0.0,sa_and_np,100,0,False,,,,,,,,,,
