method,property,objective,seed_similarity_cutoff,quality_rule,seeds,successful_seeds,success_fraction,median_best_improvement,median_selected_similarity,median_selected_delta_sa,median_selected_delta_np,median_selected_np_confidence,selected_scaffold_retention
ChemSpacE extreme-SVM,BertzCT,maximize,0.0,none,50,50,1.0,11607.548089265201,0.013178428992543751,5.543472631590642,1.048027120571772,0.6393188854489165,
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.0,none,50,50,1.0,4578.523580818057,0.05660981663864195,6.229345213927833,1.2898012924783093,0.5751923188154318,0.0
ChemSpacE extreme-SVM,BertzCT,maximize,0.2,none,50,30,0.6,391.879244490082,0.2734836285560923,2.054043058947917,0.9321133579645704,0.8377984084880636,0.16666666666666666
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.2,none,50,43,0.86,342.74728406430063,0.2857142857142857,2.0735907085689087,0.8835225946678547,0.8260869565217391,0.06976744186046512
ChemSpacE extreme-SVM,BertzCT,maximize,0.4,none,50,16,0.32,125.58825927346646,0.6208445642407907,0.8046420227211915,0.5048726327068979,0.9281732418524871,0.6875
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.4,none,50,27,0.54,291.21062559872394,0.5166666666666667,1.0113057247997022,0.5445675835554009,0.8548387096774194,0.25925925925925924
ChemSpacE extreme-SVM,BertzCT,maximize,0.6,none,50,9,0.18,108.9453650666162,0.6451612903225806,0.655386348597748,0.3974861305155927,0.9322033898305084,0.8888888888888888
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.6,none,50,13,0.26,159.3250593730985,0.639344262295082,0.77675500471838,0.4620892479029132,0.8928571428571429,0.5384615384615384
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.0,none,50,50,1.0,0.7142857142857143,0.0501675743611227,1.9710948328274789,1.0214384229958426,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.0,none,50,50,1.0,0.7105052481764811,0.08220720720720714,2.1650089988923042,1.5237068622173298,0.8991525423728814,0.0
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.2,none,50,23,0.46,0.1818181818181818,0.28,1.3632590999415104,0.80952857190314,0.851063829787234,0.09090909090909091
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.2,none,50,48,0.96,0.2,0.2666666666666666,1.5136232511216585,1.112324382702457,0.8333333333333334,0.041666666666666664
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.4,none,50,4,0.08,0.08928571428571425,0.5409356725146199,0.500874844393334,0.29218895397619443,0.9673740053050398,0.5
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.4,none,50,27,0.54,0.0833333333333333,0.4923076923076923,1.168356592046118,0.5697888571390812,0.90625,0.14814814814814814
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.6,none,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.6,none,50,7,0.14,0.0952380952380952,0.6811594202898551,0.9967274741023822,0.49577976748634445,0.9636363636363636,0.2857142857142857
ChemSpacE extreme-SVM,HBA,maximize,0.0,none,50,50,1.0,150.0,0.03307818480043735,5.82698931522006,0.9498874814368232,0.375,
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.0,none,50,50,1.0,38.5,0.0536381938452689,5.1390467554744035,0.9185683462547468,0.4102751756440281,0.0
ChemSpacE extreme-SVM,HBA,maximize,0.2,none,50,15,0.3,3.0,0.2950819672131147,1.7679164737259931,0.7159264738831944,0.7884615384615384,0.13333333333333333
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.2,none,50,48,0.96,4.0,0.26619433198380565,1.8655245136448375,0.6830327410914052,0.8047385620915033,0.125
ChemSpacE extreme-SVM,HBA,maximize,0.4,none,50,2,0.04,1.0,0.662004662004662,0.5502215524000795,0.5544354276342087,0.9112903225806452,1.0
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.4,none,50,32,0.64,2.0,0.5071443151663605,1.066041633435011,0.3583542291575563,0.8697033898305084,0.28125
ChemSpacE extreme-SVM,HBA,maximize,0.6,none,50,2,0.04,1.0,0.662004662004662,0.5502215524000795,0.5544354276342087,0.9112903225806452,1.0
