method,property,seed_id,requested_candidates,valid_candidates,distinct_canonical_structures,median_sa_score,median_np_likeness,median_np_fragment_confidence,valid_changed_candidates,median_delta_sa_vs_seed,median_delta_np_vs_seed,median_delta_np_confidence_vs_seed,sa_nonworsening_fraction_valid_changed,np_nondecreasing_fraction_valid_changed,sa_and_np_fraction_valid_changed
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,100,100,61,5.270791516079705,0.5280939271174463,0.7719298245614035,85,3.391727643201138,2.5433666639456547,-0.2592093441150045,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,100,100,60,4.950446804603581,0.685133135986522,0.7448894451397581,84,3.0008995498522566,1.9961117483946742,-0.30000000000000004,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,100,100,51,4.402897847375685,0.5587096528503444,0.8125,81,2.1725756694321046,2.4888576312145445,-0.18681318681318682,0.08641975308641975,1.0,0.08641975308641975
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,100,100,72,5.044786449488569,0.8495921254419334,0.7730616864742501,86,1.4836488853596634,0.9209503871901102,-0.1624379481522339,0.03488372093023256,0.9186046511627907,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,4,100,100,54,4.4759201720159325,0.49555034734383996,0.8188775510204082,85,2.5289568267654365,1.7252025698233822,-0.22807017543859653,0.0,0.9764705882352941,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,5,100,100,79,5.7317309082077506,0.35343897930191187,0.718349358974359,93,2.8243425644528397,2.1850336533933183,-0.26149732620320854,0.043010752688172046,0.956989247311828,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,6,100,100,78,5.241721483233305,0.5124594963518926,0.7628968253968254,97,1.6806472472198708,1.8437188682462304,-0.19584171696847752,0.010309278350515464,1.0,0.010309278350515464
MolecuLA raw OLS (seed-excluded),FractionCSP3,7,100,100,41,4.280650156498542,0.7328298691002001,0.76,82,1.8924425777953235,1.3548398651252123,-0.2246963562753037,0.0,0.9878048780487805,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,8,100,100,57,4.556863441713126,0.8394316463454385,0.8933962264150943,82,2.4491169304976443,1.1479980332463962,-0.13295019157088117,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,9,100,100,47,4.342460374646276,0.4308163732475868,0.830952380952381,80,2.1852484709401176,1.8192677157560309,-0.2238095238095238,0.0,0.9625,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,10,100,100,67,5.099981203071977,0.7698966359670387,0.7909632571996028,87,2.348851154276967,2.1072717991260497,-0.20467836257309935,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,11,100,100,36,4.63169122405166,0.174238444481635,0.8610038610038611,82,2.1518467790535003,2.060833947280181,-0.0949383949383949,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,12,100,100,65,4.6336873648725945,0.31487969786469633,0.8487707261292168,85,2.276251916973889,1.9378577151273673,-0.15583075335397312,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,13,100,100,47,4.105136637175077,0.7627223254921622,0.875,79,1.81513212792325,0.16880060083664028,-0.09605662285136507,0.0759493670886076,0.7848101265822784,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,14,100,100,65,5.191730264441249,0.9134482319254531,0.7741935483870968,83,2.9129734440944803,2.3841896189404572,-0.20141969831410833,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,15,100,100,68,4.946925815731875,0.7155760140046765,0.747093023255814,86,2.4923871481737674,1.3760324912879052,-0.1995098039215687,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,16,100,100,59,5.160994248040744,0.6937300200223883,0.7561561561561562,84,3.067644605355948,2.2125080432385476,-0.3020833333333333,0.03571428571428571,0.9642857142857143,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,17,100,100,75,5.800623569387356,0.2359255419354126,0.6779661016949152,94,2.9745004226205323,1.5495642221386143,-0.24887082204155375,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,18,100,100,69,4.796790478193284,0.6548563165540591,0.8145979703356753,86,2.72594007677402,2.3059167558566926,-0.197773654916512,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,19,100,100,64,5.755674022378003,0.5426505256151272,0.6904186795491143,85,3.4882358409801277,3.714773732258055,-0.3195918367346938,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,20,100,100,74,5.382206955189283,0.4474739464925748,0.7847127555988316,92,2.767188435358763,1.7037137660976778,-0.17700559701492535,0.0,0.9891304347826086,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,21,100,100,65,5.759065078005759,1.0043268171294377,0.8333333333333334,88,3.653550915693284,0.797046603186436,-0.14566789143060327,0.0,0.9545454545454546,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,22,100,100,62,4.694503020581591,0.42267936448061594,0.7939876215738284,86,1.795652485680125,0.9089256940698713,-0.16249999999999992,0.0,0.9651162790697675,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,23,100,100,57,4.4135389940089516,1.0384260901514684,0.8529411764705882,85,2.3089804257689313,0.8955847222397746,-0.19047619047619047,0.0,0.9529411764705882,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,24,100,100,52,4.324108852284522,0.6322234574659308,0.8,80,3.1318730275426385,2.430170205100351,-0.2655699177438308,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,25,100,100,79,5.081305584700287,0.6734318464157523,0.8417616004445679,90,2.2462701411768706,0.8085824512407934,-0.18107302533532038,0.044444444444444446,0.9111111111111111,0.022222222222222223
MolecuLA raw OLS (seed-excluded),FractionCSP3,26,100,100,51,4.547312528950017,0.4596562372551734,0.7857142857142857,87,2.136594157216349,2.0435025884500964,-0.18663594470046085,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,27,100,100,60,4.589033373930651,0.7857305483820612,0.7755102040816326,88,2.241990398536549,0.7777141752317682,-0.13888888888888884,0.0,0.9545454545454546,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,28,100,100,55,4.091513868831775,0.6472987350633952,0.9545454545454546,85,2.5664143329959046,0.7661199602598093,-0.15555555555555556,0.0,0.9529411764705882,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,29,100,100,48,3.857324427994403,0.6936879102363052,0.8933143669985775,75,2.8115607553739794,2.635238272138762,-0.24242424242424243,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,30,100,100,67,4.715625434053566,0.5857049486469167,0.7619825708061002,85,2.6385850521654515,1.6310796874064657,-0.19335548172757477,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,31,100,100,54,4.640720007830521,0.8472778321360899,0.7841614906832298,84,1.6241965545706267,0.006657709082311225,-0.1934959349593497,0.011904761904761904,0.5119047619047619,0.011904761904761904
MolecuLA raw OLS (seed-excluded),FractionCSP3,32,100,100,53,4.397763430283087,0.6447076537852325,0.7850140056022409,84,2.2899754163884682,0.2521218626387907,-0.23333333333333328,0.0,0.75,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,33,100,100,50,4.281907482527238,0.3160856790850875,0.8571428571428571,80,2.353218151500049,1.1843249308122186,-0.1830779054916985,0.0,0.95,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,34,100,100,85,5.523550378907725,0.5925649932856043,0.7421798631476051,100,3.0339554873557577,1.963076604015856,-0.22448680351906158,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,35,100,100,54,4.589137444643403,0.3871944537837286,0.8571428571428571,86,2.375659802293606,2.324175695597364,-0.18219461697722567,0.13953488372093023,1.0,0.13953488372093023
MolecuLA raw OLS (seed-excluded),FractionCSP3,36,100,100,61,5.23448084846125,0.6305157426284516,0.7526199669056812,84,2.3349005163808223,1.5188448897824176,-0.20660649207559956,0.09523809523809523,1.0,0.09523809523809523
MolecuLA raw OLS (seed-excluded),FractionCSP3,37,100,100,67,4.662357494427163,0.577433661926692,0.8330434782608696,89,2.611537796525364,1.9050382550178546,-0.18792517006802723,0.0,1.0,0.0
