method,property,alpha,latent_displacement,requested_candidates,valid_candidates,valid_fraction,distinct_canonical_structures,median_sa_score,median_delta_sa_vs_seed,median_np_likeness,median_delta_np_vs_seed,median_np_fragment_confidence,sa_nonworsening_fraction_valid_changed,np_nondecreasing_fraction_valid_changed
MolecuLA raw OLS (seed-excluded),FractionCSP3,-150.0,150.0,50,50,1.0,50,5.97049367229083,3.36887011646941,0.546778384824294,1.4287020433450692,0.4780952380952381,0.0,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,-146.96969696969697,146.96969696969697,50,50,1.0,50,5.984572295905885,3.4995321245587223,0.5580148092032746,1.453825849307837,0.5055555555555555,0.0,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,-143.93939393939394,143.93939393939394,50,50,1.0,50,6.036886410242884,3.5656278344122634,0.5897429961056584,1.5207816333060746,0.48325041459369816,0.0,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,-140.9090909090909,140.9090909090909,50,50,1.0,50,6.036886410242884,3.5656278344122634,0.6458492312362578,1.4676862998727944,0.5053191489361701,0.0,0.94
MolecuLA raw OLS (seed-excluded),FractionCSP3,-137.87878787878788,137.87878787878788,50,50,1.0,50,5.996117042037956,3.558373626402005,0.6080065114878025,1.3898522266906832,0.49603174603174605,0.0,0.92
MolecuLA raw OLS (seed-excluded),FractionCSP3,-134.84848484848484,134.84848484848484,50,50,1.0,50,5.963652209858148,3.426491508777641,0.7891964621571277,1.5206219202011355,0.5352990033222591,0.0,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,-131.8181818181818,131.8181818181818,50,50,1.0,50,5.864917680293015,3.265813662537814,0.7516213738624442,1.5133579472959955,0.5522875816993464,0.0,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,-128.78787878787878,128.78787878787878,50,50,1.0,50,5.883003243814567,3.341846857760619,0.7584732442535806,1.3949991778574922,0.5494505494505495,0.0,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,-125.75757575757576,125.75757575757576,50,50,1.0,50,5.865655216703578,3.216897014837825,0.6592913965761722,1.3467350742885569,0.5366161616161615,0.0,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,-122.72727272727272,122.72727272727272,50,50,1.0,50,5.859994823955635,3.422452896231166,0.7375535014476033,1.3895431027840246,0.5699614890885751,0.0,0.96
