method,property,weighting,denominator,median_sa_score,q25_sa_score,q75_sa_score,median_np_likeness,q25_np_likeness,q75_np_likeness,median_np_fragment_confidence,requested_candidates,valid_candidates,distinct_canonical_structures,seed_count,delta_denominator_valid_changed,median_delta_sa_vs_seed,median_delta_np_vs_seed,median_delta_np_confidence_vs_seed,sa_nonworsening_fraction_valid_changed,np_nondecreasing_fraction_valid_changed,sa_and_np_fraction_valid_changed
MolecuLA raw OLS (seed-excluded),FractionCSP3,candidate_occurrence,5000,4.770256477776231,3.821376155648588,5.6646019989566,0.6516825854659519,0.13736586577761162,1.0127487737655734,0.7959183673469388,5000,5000,3025,50,4272.0,2.4341901154614076,1.5581855999756433,-0.1995098039215687,0.01451310861423221,0.9487359550561798,0.00749063670411985
MolecuLA raw OLS (seed-excluded),FractionCSP3,unique_structure,3025,5.052211108635177,4.344816586393743,5.8884926415146435,0.7644391826642452,0.37313241907562356,1.0926202305078416,0.775,5000,5000,3025,50,,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,seed_weighted,50,4.697539711262868,4.405558134034001,5.095312298479055,0.6384655556255816,0.48535001081572116,0.7681030583483196,0.8054590570719603,5000,5000,3025,50,50.0,2.393461207353048,1.6663546892747148,-0.18920068027210885,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),HBA,candidate_occurrence,4998,4.225669270534209,3.0260704992715524,5.772146409358429,0.2066936005483849,-0.14618801526290523,0.8016723451109573,0.7894736842105263,5000,4998,2460,50,4281.0,2.049533774334149,1.2284747183102342,-0.22271825396825395,0.07755197383788834,0.8871758934828311,0.06213501518336837
MolecuLA raw OLS (seed-excluded),HBA,unique_structure,2460,5.458118179214181,4.078353231599991,6.545595983270966,0.19713601493684224,-0.07192320824607897,0.6581960559080255,0.6778719397363465,5000,4998,2460,50,,,,,,,
MolecuLA raw OLS (seed-excluded),HBA,seed_weighted,50,4.162725585656571,3.660395848740085,4.621240451344999,0.179920661434268,0.03470265487217296,0.34779717538454585,0.7805633843845812,5000,4998,2460,50,50.0,1.9935465416519254,1.102519455223764,-0.20251996308334336,0.0277569392348087,0.9873367314431347,0.005555555555555556
MolecuLA raw OLS (seed-excluded),TPSA,candidate_occurrence,5000,4.0431829103241945,2.821587094567878,5.199444608099345,0.3075973537087167,-0.21464060651215597,1.1252269889689719,0.8305084745762712,5000,5000,2318,50,4149.0,1.911140144927721,1.3519287245579599,-0.1785714285714286,0.08845504940949626,0.9100988189925283,0.06748614123885273
MolecuLA raw OLS (seed-excluded),TPSA,unique_structure,2318,4.808378248059219,3.788233034473534,5.600995428947126,0.3944567996243256,-0.03952990534859348,1.1986700757070585,0.7567567567567568,5000,5000,2318,50,,,,,,,
MolecuLA raw OLS (seed-excluded),TPSA,seed_weighted,50,3.950195557267154,3.2386821973794366,4.680166288894407,0.23320568102564165,0.09363298448835541,0.47136057548716676,0.8324468085106382,5000,5000,2318,50,50.0,1.7165778796488778,1.334069266685729,-0.17936145318587077,0.07019704433497537,0.978328173374613,0.046785225718194254
MolecuLA raw OLS (seed-excluded),cLogP,candidate_occurrence,5000,4.104570612394337,3.0275884310833643,5.509823898294353,0.43869906989925,-0.17487957946870636,0.9957070909317535,0.8055555555555556,5000,5000,2411,50,4218.0,1.9004923152677553,1.3748179643262661,-0.18604651162790697,0.053816974869606446,0.9212897107633949,0.026078710289236605
MolecuLA raw OLS (seed-excluded),cLogP,unique_structure,2411,5.175188476585658,4.047453704681109,6.420833838275092,0.739178529745911,0.24151944703230233,1.210331434233142,0.765625,5000,5000,2411,50,,,,,,,
MolecuLA raw OLS (seed-excluded),cLogP,seed_weighted,50,4.166437664404888,3.620126881247941,4.408239228721635,0.31798189617916944,0.14189831212708587,0.5518787734799573,0.797609728823036,5000,5000,2411,50,50.0,1.9228501749858404,1.329398749586527,-0.1835016835016835,0.011329113924050633,1.0,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,candidate_occurrence,5000,3.691727659424906,2.5891089659150537,5.937321929559143,0.34561276327837503,-0.059513290039403595,0.6476608862609415,0.75,5000,5000,2371,50,4411.0,1.6750476062545783,1.2108379473652264,-0.24325980392156865,0.21990478349580594,0.9018363182951712,0.17161641351167536
MolecuLA raw OLS (seed-excluded),BertzCT,unique_structure,2371,5.701230486953645,4.230218617150123,7.173332467278824,0.49459401845648154,0.1883128337429887,0.7928934193449718,0.7,5000,5000,2371,50,,,,,,,
MolecuLA raw OLS (seed-excluded),BertzCT,seed_weighted,50,3.4952917891942907,2.9315550033905833,4.1407261568525975,0.2944750415510869,0.030458272122471642,0.48239133079021196,0.75,5000,5000,2371,50,50.0,1.2824494778187614,1.2026561099462,-0.2314241486068111,0.20308924485125857,0.9682317346481398,0.14035087719298245
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,candidate_occurrence,4859,4.590139391840941,2.7475679189493913,6.760327038355871,0.3844462745642248,0.0,0.7199136966970375,0.7397260273972602,5000,4859,2277,50,4290.0,2.648108015795229,1.2370028996542644,-0.2502572600946733,0.11608391608391608,0.9053613053613053,0.08624708624708624
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,unique_structure,2277,5.772716018522355,4.341723815851221,7.260938393520656,0.569889841760956,0.2606183360575071,0.8463357191043595,0.726027397260274,5000,4859,2277,50,,,,,,,
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,seed_weighted,50,4.578185084488629,4.050299054599251,5.085742930144123,0.37443672541267503,0.030839256621029168,0.5419893929930172,0.7417600373482727,5000,4859,2277,50,50.0,2.792786092140579,1.2850974173939884,-0.2382275695088162,0.06558988764044943,0.9774826059456041,0.04880952380952381
ChemSpacE extreme-SVM,FractionCSP3,candidate_occurrence,5000,4.718797012828133,4.718797012828133,7.997198800071259,0.015864731175254543,0.015864731175254543,0.08762306832668183,0.8,5000,5000,1273,50,4907.0,2.9066965189629164,1.0695413493251382,-0.1923076923076923,0.0036682290605257795,0.8504177705318933,0.002037905033625433
ChemSpacE extreme-SVM,FractionCSP3,unique_structure,1273,7.79998696655125,5.062247683612665,8.68279164748392,0.08149745212310065,0.014632353127646113,0.47770591258565337,0.47058823529411764,5000,5000,1273,50,,,,,,,
ChemSpacE extreme-SVM,FractionCSP3,seed_weighted,50,4.7206051720241895,4.718797012828133,4.95415724746202,0.015864731175254543,0.015864731175254543,0.056585856051390715,0.8058436952016579,5000,5000,1273,50,50.0,2.499809731578397,0.9701334585958927,-0.19078992252933205,0.0,1.0,0.0
ChemSpacE extreme-SVM,HBA,candidate_occurrence,4991,4.718797012828133,4.718797012828133,7.8420633820817,0.015864731175254543,-0.004904329912100649,0.015864731175254543,0.7096774193548387,5000,4991,1571,50,4894.0,2.9066965189629164,1.0903104104124932,-0.2663043478260869,0.07785042909685329,0.8453208009807928,0.06824683285655905
ChemSpacE extreme-SVM,HBA,unique_structure,1571,7.15792469230078,4.362917621674966,8.582307574372068,0.013259326953016235,-0.004381245983814935,0.3169252459593497,0.35294117647058826,5000,4991,1571,50,,,,,,,
ChemSpacE extreme-SVM,HBA,seed_weighted,50,4.718797012828133,4.718797012828133,4.923752835272083,0.015864731175254543,0.015864731175254543,0.015864731175254543,0.747983870967742,5000,4991,1571,50,50.0,2.4997665522266703,0.9627455360494684,-0.2463624338624339,0.07179675994108983,1.0,0.06628137040508175
ChemSpacE extreme-SVM,TPSA,candidate_occurrence,5000,4.718797012828133,4.718797012828133,8.262040181436115,0.015864731175254543,0.004182845240221484,0.04706708314198701,0.75,5000,5000,2120,50,4906.0,2.76598660028755,0.9883114914970937,-0.22777777777777775,0.05116184264166327,0.8485527924989809,0.04178556869139829
ChemSpacE extreme-SVM,TPSA,unique_structure,2120,8.456171947505055,6.184372012575491,8.677422783463335,0.02332735999813312,-0.004381245983814935,0.05251158910071429,0.2857142857142857,5000,5000,2120,50,,,,,,,
ChemSpacE extreme-SVM,TPSA,seed_weighted,50,4.718797012828133,4.718797012828133,4.718797012828133,0.015864731175254543,0.015864731175254543,0.015864731175254543,0.75,5000,5000,2120,50,50.0,2.296256855613362,0.9634515049334742,-0.2232202029615823,0.05102040816326531,1.0,0.04081632653061224
