method,property,objective,seed_similarity_cutoff,seeds,successful_seeds,success_fraction,median_best_improvement,median_selected_similarity,median_selected_alpha,median_eligible_candidates
ChemSpacE extreme-SVM,BertzCT,maximize,0.0,50,50,1.0,11607.548089265201,0.013178428992543751,34.848484848484844,98.0
ChemSpacE extreme-SVM,BertzCT,maximize,0.2,50,30,0.6,196.5043941135675,0.2753623188405797,4.5454545454545325,2.0
ChemSpacE extreme-SVM,BertzCT,maximize,0.4,50,16,0.32,82.55722766851437,0.5873257839721254,1.5151515151515014,1.0
ChemSpacE extreme-SVM,BertzCT,maximize,0.6,50,9,0.18,104.47684158692005,0.6666666666666666,1.5151515151515014,0.0
ChemSpacE extreme-SVM,BertzCT,minimize,0.0,50,50,1.0,734.5321357194807,0.0313725490196078,-101.51515151515152,98.0
ChemSpacE extreme-SVM,BertzCT,minimize,0.2,50,30,0.6,116.39848088451993,0.392156862745098,-1.5151515151515298,2.0
ChemSpacE extreme-SVM,BertzCT,minimize,0.4,50,16,0.32,60.61789410968595,0.5529188948306596,-1.5151515151515298,1.0
ChemSpacE extreme-SVM,BertzCT,minimize,0.6,50,5,0.1,-36.41066967891106,0.625,1.5151515151515014,0.0
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.0,50,50,1.0,0.7142857142857143,0.04800307219662055,16.666666666666657,98.0
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.2,50,23,0.46,0.12476190476190475,0.29499490760948643,4.5454545454545325,1.0
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.4,50,4,0.08,0.0281385281385282,0.5555555555555556,-4.545454545454561,0.0
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.6,50,0,0.0,-0.049999999999999906,0.7158385093167702,-4.545454545454561,0.0
ChemSpacE extreme-SVM,FractionCSP3,minimize,0.0,50,47,0.94,0.2857142857142857,0.014835164835164751,-150.0,98.0
ChemSpacE extreme-SVM,FractionCSP3,minimize,0.2,50,15,0.3,0.00163398692810455,0.3003315250150693,-4.545454545454561,1.0
ChemSpacE extreme-SVM,FractionCSP3,minimize,0.4,50,3,0.06,-0.0281385281385282,0.5555555555555556,-4.545454545454561,0.0
ChemSpacE extreme-SVM,FractionCSP3,minimize,0.6,50,2,0.04,0.049999999999999906,0.7158385093167702,-4.545454545454561,0.0
ChemSpacE extreme-SVM,HBA,maximize,0.0,50,50,1.0,150.0,0.02837022132796775,40.90909090909091,98.0
ChemSpacE extreme-SVM,HBA,maximize,0.2,50,15,0.3,0.0,0.3125,1.5151515151515014,1.0
ChemSpacE extreme-SVM,HBA,maximize,0.4,50,2,0.04,-1.0,0.5,-4.545454545454561,0.0
ChemSpacE extreme-SVM,HBA,maximize,0.6,50,2,0.04,1.0,0.6060606060606061,1.5151515151515014,0.0
ChemSpacE extreme-SVM,HBA,minimize,0.0,50,50,1.0,4.0,0.0325224748810153,-150.0,98.0
ChemSpacE extreme-SVM,HBA,minimize,0.2,50,23,0.46,1.0,0.2950819672131147,-4.545454545454561,1.0
ChemSpacE extreme-SVM,HBA,minimize,0.4,50,6,0.12,1.0,0.5,-4.545454545454561,0.0
ChemSpacE extreme-SVM,HBA,minimize,0.6,50,1,0.02,-1.0,0.6060606060606061,1.5151515151515014,0.0
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.0,50,50,1.0,130.0,0.04428104575163395,40.90909090909091,55.0
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.2,50,34,0.68,5.0,0.369047619047619,4.5454545454545325,2.0
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.4,50,21,0.42,3.0,0.5542711598746082,1.5151515151515014,1.0
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.6,50,7,0.14,2.0,0.6559139784946236,1.5151515151515014,0.0
ChemSpacE extreme-SVM,HeavyAtomCount,minimize,0.0,50,50,1.0,23.0,0.0,-16.666666666666657,55.0
ChemSpacE extreme-SVM,HeavyAtomCount,minimize,0.2,50,22,0.44,1.0,0.4464285714285714,-1.5151515151515298,2.0
ChemSpacE extreme-SVM,HeavyAtomCount,minimize,0.4,50,14,0.28,0.5,0.5283114256825076,-1.5151515151515298,1.0
ChemSpacE extreme-SVM,HeavyAtomCount,minimize,0.6,50,5,0.1,1.0,0.6227961645530466,-1.4210854715202004e-14,0.0
ChemSpacE extreme-SVM,TPSA,maximize,0.0,50,50,1.0,1734.9099999999978,0.029198635976129553,57.57575757575758,98.0
ChemSpacE extreme-SVM,TPSA,maximize,0.2,50,34,0.68,33.45,0.3097345132743362,4.5454545454545325,1.0
ChemSpacE extreme-SVM,TPSA,maximize,0.4,50,9,0.18,4.615,0.5343822843822843,1.5151515151515014,0.0
ChemSpacE extreme-SVM,TPSA,maximize,0.6,50,2,0.04,-3.919999999999998,0.6201034737620104,-1.5151515151515298,0.0
ChemSpacE extreme-SVM,TPSA,minimize,0.0,50,50,1.0,57.785000000000004,0.0325224748810153,-150.0,98.0
ChemSpacE extreme-SVM,TPSA,minimize,0.2,50,25,0.5,3.240000000000002,0.3294117647058823,-4.545454545454561,1.0
ChemSpacE extreme-SVM,TPSA,minimize,0.4,50,10,0.2,4.085000000000001,0.5419580419580419,-3.0303030303030454,0.0
ChemSpacE extreme-SVM,TPSA,minimize,0.6,50,2,0.04,3.919999999999998,0.6201034737620104,-1.5151515151515298,0.0
ChemSpacE extreme-SVM,cLogP,maximize,0.0,50,50,1.0,57.20565999999958,0.0325224748810153,34.848484848484844,98.0
ChemSpacE extreme-SVM,cLogP,maximize,0.2,50,33,0.66,0.605,0.3061224489795918,4.5454545454545325,1.0
ChemSpacE extreme-SVM,cLogP,maximize,0.4,50,15,0.3,0.3645000000000014,0.5647058823529412,4.5454545454545325,0.0
ChemSpacE extreme-SVM,cLogP,maximize,0.6,50,4,0.08,-0.15415,0.6892213983050848,-1.4210854715202004e-14,0.0
ChemSpacE extreme-SVM,cLogP,minimize,0.0,50,50,1.0,79.59773999999896,0.015079365079365,-150.0,98.0
ChemSpacE extreme-SVM,cLogP,minimize,0.2,50,28,0.56,0.6958000000000011,0.3188405797101449,-4.545454545454561,1.0
ChemSpacE extreme-SVM,cLogP,minimize,0.4,50,10,0.2,-0.0541999999999998,0.5740740740740741,-4.545454545454561,0.0
ChemSpacE extreme-SVM,cLogP,minimize,0.6,50,4,0.08,0.15415,0.6892213983050848,-1.4210854715202004e-14,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.0,50,50,1.0,4578.523580818057,0.05660981663864201,140.90909090909088,89.5
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.2,50,43,0.86,320.2296300818324,0.29577464788732394,37.878787878787875,14.0
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.4,50,27,0.54,181.332607248351,0.5166666666666667,22.72727272727272,3.0
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.6,50,13,0.26,130.0950704327505,0.6417060294526258,16.666666666666657,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,minimize,0.0,50,50,1.0,733.5321357194807,0.02817460317460317,-150.0,89.5
MolecuLA raw OLS (seed-excluded),BertzCT,minimize,0.2,50,44,0.88,364.10807533985945,0.28474903474903474,-28.787878787878782,14.0
MolecuLA raw OLS (seed-excluded),BertzCT,minimize,0.4,50,25,0.5,83.37647599190723,0.5,-19.69696969696969,3.0
MolecuLA raw OLS (seed-excluded),BertzCT,minimize,0.6,50,7,0.14,-34.77585086863371,0.625,0.0,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.0,50,50,1.0,0.7105052481764811,0.062133374498301946,75.75757575757576,85.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.2,50,48,0.96,0.2,0.2597402597402597,28.787878787878782,7.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.4,50,27,0.54,0.0714285714285714,0.49230769230769234,16.666666666666657,2.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.6,50,7,0.14,3.469446951953614e-18,0.7078260869565217,-15.151515151515142,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,minimize,0.0,50,47,0.94,0.2857142857142857,0.04520697167755991,-150.0,85.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,minimize,0.2,50,38,0.76,0.0708333333333333,0.3125,-31.818181818181813,7.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,minimize,0.4,50,19,0.38,0.003623188405797076,0.49230769230769234,-22.727272727272734,2.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,minimize,0.6,50,7,0.14,0.009090909090909094,0.6952837140751658,-21.21212121212121,0.0
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.0,50,50,1.0,38.5,0.05217489933647139,140.90909090909088,86.0
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.2,50,48,0.96,4.0,0.2692307692307692,34.848484848484844,11.0
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.4,50,32,0.64,2.0,0.5070422535211268,22.72727272727272,3.0
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.6,50,10,0.2,1.0,0.6724137931034483,16.666666666666657,0.0
