method,property,seed_id,objective,seed_similarity_cutoff,candidate_budget,eligible_valid_changed_candidates,success,best_objective_improvement,selected_alpha,selected_seed_similarity,selected_scaffold_retained,selected_canonical_smiles
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.0,100,85,True,1.0,62.121212121212125,0.0,False,CC(S)[C@@H]1CCNCC1(C)C
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.2,100,5,True,0.05263157894736842,16.666666666666657,0.49230769230769234,False,NC1=CC(C(=O)Nc2ccc3nc(Cl)sc3c2)C=Cc2cc(F)ccc21
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.4,100,4,True,0.05263157894736842,16.666666666666657,0.49230769230769234,False,NC1=CC(C(=O)Nc2ccc3nc(Cl)sc3c2)C=Cc2cc(F)ccc21
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,maximize,0.6,100,0,False,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.0,100,85,False,-0.0,-143.93939393939394,0.05063291139240506,False,O=CC1=C=C=NC=CC2=NC=C=C=C=NC1=NC=N2
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.2,100,5,False,-0.047619047619047616,-31.818181818181813,0.3235294117647059,False,Cc1csc(Cl)ncncc1C=NC(=O)c1ccc(-c2ccc(F)cc2)cc1
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.4,100,4,False,-0.05263157894736842,16.666666666666657,0.49230769230769234,False,NC1=CC(C(=O)Nc2ccc3nc(Cl)sc3c2)C=Cc2cc(F)ccc21
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,minimize,0.6,100,0,False,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.0,100,84,True,0.8333333333333334,77.27272727272728,0.04477611940298507,False,CCOCCC1CC(C)C(C)CNOC[C@H](C)[C@H]1CC
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.2,100,4,True,0.06862745098039222,-31.818181818181813,0.21739130434782608,False,CC=CCC1=CNC(CNc2cncc(Br)c2)=CC1=COC
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.4,100,1,True,0.06410256410256418,-25.757575757575765,0.4528301886792453,False,COC=C1C=CCC(CNc2cncc(Br)n2)=C1
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,maximize,0.6,100,0,False,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.0,100,84,True,0.1666666666666666,-150.0,0.0,,N=CN=C=C=C=CN=CN=CN=C=C=CC=CN=CC=O
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.2,100,4,True,0.012820512820512747,-28.787878787878782,0.24193548387096775,False,COC=C1C=CNC(CNc2cncc(Br)c2)=C1
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.4,100,1,False,-0.06410256410256418,-25.757575757575765,0.4528301886792453,False,COC=C1C=CCC(CNc2cncc(Br)n2)=C1
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,minimize,0.6,100,0,False,,,,,
