property,extreme_class,class_label,rank_after_seeded_shuffle,global_row_index,property_value,used_for_svm_fit
FractionCSP3,high,1,0,13804,1.0,True
FractionCSP3,high,1,1,2620,1.0,True
FractionCSP3,high,1,2,9824,1.0,True
FractionCSP3,high,1,3,4232,1.0,True
FractionCSP3,high,1,4,3576,1.0,True
FractionCSP3,high,1,5,1223,1.0,True
FractionCSP3,high,1,6,6957,1.0,True
FractionCSP3,high,1,7,16056,1.0,True
FractionCSP3,high,1,8,13616,1.0,True
FractionCSP3,high,1,9,4946,1.0,True
FractionCSP3,high,1,10,2097,1.0,True
FractionCSP3,high,1,11,16527,1.0,True
FractionCSP3,high,1,12,9068,1.0,True
FractionCSP3,high,1,13,2344,1.0,True
FractionCSP3,high,1,14,13122,1.0,True
FractionCSP3,high,1,15,18053,1.0,True
FractionCSP3,high,1,16,17373,1.0,True
FractionCSP3,high,1,17,3549,1.0,True
FractionCSP3,high,1,18,12753,1.0,True
FractionCSP3,high,1,19,4630,1.0,True
FractionCSP3,high,1,20,10426,1.0,True
FractionCSP3,high,1,21,17371,1.0,True
FractionCSP3,high,1,22,14211,1.0,True
FractionCSP3,high,1,23,11798,1.0,True
FractionCSP3,high,1,24,17091,1.0,True
FractionCSP3,high,1,25,13877,1.0,True
FractionCSP3,high,1,26,2451,1.0,True
FractionCSP3,high,1,27,17981,1.0,True
FractionCSP3,high,1,28,13369,1.0,True
FractionCSP3,high,1,29,15032,1.0,True
FractionCSP3,high,1,30,6666,1.0,True
FractionCSP3,high,1,31,6441,1.0,True
FractionCSP3,high,1,32,9047,1.0,True
FractionCSP3,high,1,33,4643,1.0,True
FractionCSP3,high,1,34,1376,1.0,True
FractionCSP3,high,1,35,8096,1.0,True
FractionCSP3,high,1,36,13718,1.0,True
FractionCSP3,high,1,37,12200,1.0,True
FractionCSP3,high,1,38,16443,1.0,True
FractionCSP3,high,1,39,8337,1.0,True
FractionCSP3,high,1,40,17293,1.0,True
FractionCSP3,high,1,41,3066,1.0,True
FractionCSP3,high,1,42,491,1.0,True
FractionCSP3,high,1,43,2848,1.0,True
FractionCSP3,high,1,44,16302,1.0,True
FractionCSP3,high,1,45,6129,1.0,True
FractionCSP3,high,1,46,8875,1.0,True
FractionCSP3,high,1,47,1356,1.0,True
FractionCSP3,high,1,48,4903,1.0,True
FractionCSP3,high,1,49,7566,1.0,True
FractionCSP3,high,1,50,7502,1.0,True
FractionCSP3,high,1,51,8559,1.0,True
FractionCSP3,high,1,52,7917,1.0,True
FractionCSP3,high,1,53,2709,1.0,True
FractionCSP3,high,1,54,9202,1.0,True
FractionCSP3,high,1,55,12466,1.0,True
FractionCSP3,high,1,56,16637,1.0,True
FractionCSP3,high,1,57,8157,1.0,True
FractionCSP3,high,1,58,471,1.0,True
FractionCSP3,high,1,59,7735,1.0,True
FractionCSP3,high,1,60,3055,1.0,True
FractionCSP3,high,1,61,534,1.0,True
FractionCSP3,high,1,62,13050,1.0,True
FractionCSP3,high,1,63,7500,1.0,True
FractionCSP3,high,1,64,6242,1.0,True
FractionCSP3,high,1,65,9028,1.0,True
FractionCSP3,high,1,66,4924,1.0,True
FractionCSP3,high,1,67,5946,1.0,True
FractionCSP3,high,1,68,4787,1.0,True
FractionCSP3,high,1,69,2781,1.0,True
FractionCSP3,high,1,70,14119,1.0,True
FractionCSP3,high,1,71,1654,1.0,True
FractionCSP3,high,1,72,9270,1.0,True
FractionCSP3,high,1,73,10206,1.0,True
FractionCSP3,high,1,74,296,1.0,True
FractionCSP3,high,1,75,18197,1.0,True
FractionCSP3,high,1,76,7829,1.0,True
FractionCSP3,high,1,77,5593,1.0,True
FractionCSP3,high,1,78,9774,1.0,True
FractionCSP3,high,1,79,7329,1.0,True
FractionCSP3,high,1,80,3653,1.0,True
FractionCSP3,high,1,81,11816,1.0,True
FractionCSP3,high,1,82,15470,1.0,True
FractionCSP3,high,1,83,16912,1.0,True
FractionCSP3,high,1,84,1708,1.0,True
FractionCSP3,high,1,85,14623,1.0,True
FractionCSP3,high,1,86,11229,1.0,True
FractionCSP3,high,1,87,560,1.0,True
FractionCSP3,high,1,88,7572,1.0,True
FractionCSP3,high,1,89,10886,1.0,True
FractionCSP3,high,1,90,4502,1.0,True
FractionCSP3,high,1,91,16374,1.0,True
FractionCSP3,high,1,92,12634,1.0,True
FractionCSP3,high,1,93,10577,1.0,True
FractionCSP3,high,1,94,11218,1.0,True
FractionCSP3,high,1,95,17430,1.0,True
FractionCSP3,high,1,96,13336,1.0,True
FractionCSP3,high,1,97,12196,1.0,True
FractionCSP3,high,1,98,9195,1.0,True
FractionCSP3,high,1,99,16028,1.0,True
FractionCSP3,high,1,100,17973,1.0,True
FractionCSP3,high,1,101,7550,1.0,True
FractionCSP3,high,1,102,4176,1.0,True
FractionCSP3,high,1,103,7942,1.0,True
FractionCSP3,high,1,104,11593,1.0,True
FractionCSP3,high,1,105,1963,1.0,True
FractionCSP3,high,1,106,17618,1.0,True
FractionCSP3,high,1,107,6917,1.0,True
FractionCSP3,high,1,108,14153,1.0,True
FractionCSP3,high,1,109,10400,1.0,True
FractionCSP3,high,1,110,16547,1.0,True
FractionCSP3,high,1,111,6553,1.0,True
FractionCSP3,high,1,112,18135,1.0,True
FractionCSP3,high,1,113,9232,1.0,True
FractionCSP3,high,1,114,7944,1.0,True
FractionCSP3,high,1,115,8690,1.0,True
FractionCSP3,high,1,116,6635,1.0,True
FractionCSP3,high,1,117,10231,1.0,True
FractionCSP3,high,1,118,2168,1.0,True
FractionCSP3,high,1,119,13729,1.0,True
FractionCSP3,high,1,120,8143,1.0,True
FractionCSP3,high,1,121,8334,1.0,True
FractionCSP3,high,1,122,7769,1.0,True
FractionCSP3,high,1,123,15471,1.0,True
FractionCSP3,high,1,124,5376,1.0,True
FractionCSP3,high,1,125,5830,1.0,True
FractionCSP3,high,1,126,16484,1.0,True
FractionCSP3,high,1,127,8624,1.0,True
FractionCSP3,high,1,128,6516,1.0,True
FractionCSP3,high,1,129,14802,1.0,True
FractionCSP3,high,1,130,13660,1.0,True
FractionCSP3,high,1,131,10887,1.0,True
FractionCSP3,high,1,132,16883,1.0,True
FractionCSP3,high,1,133,10001,1.0,True
FractionCSP3,high,1,134,6639,1.0,True
FractionCSP3,high,1,135,15698,1.0,True
FractionCSP3,high,1,136,1557,1.0,True
FractionCSP3,high,1,137,9986,1.0,True
FractionCSP3,high,1,138,13219,1.0,True
FractionCSP3,high,1,139,5723,1.0,True
FractionCSP3,high,1,140,312,1.0,False
FractionCSP3,high,1,141,3906,1.0,False
FractionCSP3,high,1,142,10495,1.0,False
FractionCSP3,high,1,143,1928,1.0,False
FractionCSP3,high,1,144,16751,1.0,False
FractionCSP3,high,1,145,4857,1.0,False
FractionCSP3,high,1,146,6784,1.0,False
FractionCSP3,high,1,147,14753,1.0,False
FractionCSP3,high,1,148,3815,1.0,False
FractionCSP3,high,1,149,6269,1.0,False
FractionCSP3,high,1,150,15801,1.0,False
FractionCSP3,high,1,151,11637,1.0,False
FractionCSP3,high,1,152,14103,1.0,False
FractionCSP3,high,1,153,9051,1.0,False
FractionCSP3,high,1,154,14604,1.0,False
FractionCSP3,high,1,155,1585,1.0,False
FractionCSP3,high,1,156,12916,1.0,False
FractionCSP3,high,1,157,4111,1.0,False
FractionCSP3,high,1,158,16250,1.0,False
FractionCSP3,high,1,159,5478,1.0,False
FractionCSP3,high,1,160,4961,1.0,False
FractionCSP3,high,1,161,14864,1.0,False
FractionCSP3,high,1,162,2286,1.0,False
FractionCSP3,high,1,163,15889,1.0,False
FractionCSP3,high,1,164,1844,1.0,False
FractionCSP3,high,1,165,5398,1.0,False
FractionCSP3,high,1,166,9203,1.0,False
FractionCSP3,high,1,167,12739,1.0,False
