property,alpha,latent_displacement,paired_seeds,raw_valid_fraction,chemspace_valid_fraction,raw_median_expected_improvement,chemspace_median_expected_improvement,median_improvement_difference_chemspace_minus_raw,raw_median_seed_similarity,chemspace_median_seed_similarity
BertzCT,-150.0,150.0,50,1.0,0.96,733.5321357194807,-1045.1982679696544,-1794.6060389700224,0.02817460317460317,0.034250585480093645
BertzCT,-146.96969696969697,146.96969696969697,50,1.0,0.96,733.5321357194807,-1045.1982679696544,-1794.6060389700224,0.02817460317460317,0.034250585480093645
BertzCT,-143.93939393939394,143.93939393939394,50,1.0,0.94,733.5321357194807,-1075.157354325591,-1794.6060389700224,0.027777777777777776,0.0357142857142857
BertzCT,-140.9090909090909,140.9090909090909,50,1.0,0.94,733.5321357194807,-1075.157354325591,-1794.6060389700224,0.027777777777777776,0.0357142857142857
BertzCT,-137.87878787878788,137.87878787878788,50,1.0,0.94,733.5321357194807,-1015.2391816137176,-1794.6060389700224,0.02817460317460317,0.0357142857142857
BertzCT,-134.84848484848484,134.84848484848484,50,1.0,0.9,733.5321357194807,-1075.157354325591,-1794.6060389700224,0.02817460317460317,0.0357142857142857
BertzCT,-131.8181818181818,131.8181818181818,50,1.0,0.9,733.5321357194807,-1015.2391816137176,-1794.6060389700224,0.02817460317460317,0.0357142857142857
BertzCT,-128.78787878787878,128.78787878787878,50,1.0,0.9,733.5321357194807,-1015.2391816137176,-1794.6060389700224,0.029437229437229435,0.0357142857142857
BertzCT,-125.75757575757575,125.75757575757575,50,1.0,0.88,733.5321357194807,-1045.1982679696544,-1794.6060389700224,0.029437229437229435,0.036038961038960995
BertzCT,-122.72727272727272,122.72727272727272,50,1.0,0.86,733.5321357194807,-969.3884139994844,-1794.6060389700224,0.034482758620689655,0.0363636363636363
BertzCT,-119.69696969696969,119.69696969696969,50,1.0,0.86,733.5321357194807,-969.3884139994844,-1794.6060389700224,0.03478523895946763,0.0363636363636363
BertzCT,-116.66666666666666,116.66666666666666,50,1.0,0.82,733.5321357194807,-952.3418921306136,-1794.6060389700222,0.03540100250626566,0.0363636363636363
BertzCT,-113.63636363636364,113.63636363636364,50,1.0,0.8,733.5321357194807,-921.8595024991184,-1792.6060389700224,0.03540100250626566,0.0363636363636363
BertzCT,-110.60606060606061,110.60606060606061,50,1.0,0.8,733.5321357194807,-690.6080535461715,-1785.2285952189407,0.038838612368024134,0.036038961038960995
BertzCT,-107.57575757575758,107.57575757575758,50,1.0,0.78,733.5321357194807,-598.8300493301242,-1761.3030700612157,0.038838612368024134,0.0363636363636363
BertzCT,-104.54545454545455,104.54545454545455,50,1.0,0.78,733.5321357194807,-238.29412160182895,-567.5278502336547,0.038838612368024134,0.0363636363636363
BertzCT,-101.51515151515152,101.51515151515152,50,1.0,0.78,733.5321357194807,243.2680564828255,-40.0,0.03708791208791209,0.0363636363636363
