property,alpha_sign,matched_pairs,median_absolute_similarity_mismatch,p95_absolute_similarity_mismatch,raw_median_expected_improvement,chemspace_median_expected_improvement,median_improvement_difference_chemspace_minus_raw,raw_median_latent_displacement,chemspace_median_latent_displacement
BertzCT,negative,2080,0.05600178119172863,0.9444444444444445,474.7732990045461,397.81326077302657,0.0,68.18181818181819,74.24242424242425
BertzCT,positive,2500,0.0880251572327044,0.9254007739082366,358.98533357623836,10464.350672843428,9898.463865723163,75.75757575757576,75.75757575757576
FractionCSP3,negative,2500,0.07013725438843213,0.9523809523809524,0.12009615384615385,0.2727272727272727,0.1111111111111111,75.75757575757576,75.75757575757576
FractionCSP3,positive,2500,0.04434647764158359,0.9333879781420762,0.532712215320911,0.7,0.0714285714285714,75.75757575757576,75.75757575757576
HBA,negative,2489,0.041989664082687415,0.9396129974443228,3.0,4.0,0.0,74.24242424242425,77.27272727272728
HBA,positive,2500,0.07648941864295125,0.9217632850241545,6.0,150.0,138.0,75.75757575757576,75.75757575757576
HeavyAtomCount,negative,296,0.8974358974358975,1.0,-0.0,17.0,16.0,10.606060606060595,7.575757575757564
HeavyAtomCount,positive,2500,0.06776556776556782,0.8952523098791755,12.0,128.0,111.0,75.75757575757576,75.75757575757576
TPSA,negative,2500,0.045866935483871,0.9666666666666667,41.989999999999995,55.760000000000005,0.0,75.75757575757576,75.75757575757576
TPSA,positive,2500,0.06737042791219539,0.943192538593482,61.774999999999984,1567.3700000000003,1465.0749999999985,75.75757575757576,75.75757575757576
cLogP,negative,2500,0.0761904761904762,0.9302325581395349,3.0193200000000013,78.86659999999897,75.39169999999896,75.75757575757576,75.75757575757576
cLogP,positive,2500,0.05441116982451831,0.9285714285714286,4.244100000000002,56.29149999999958,50.519904999999596,75.75757575757576,75.75757575757576
