method,property,direction_svm_fit_seconds,direction_learning_total_seconds,frozen_decoder_seconds,descriptor_and_structure_seconds,decoder_loaded_from_cache
ChemSpacE extreme-SVM,FractionCSP3,0.0038349999813362956,0.18723689997568727,,,True
MolecuLA raw OLS (seed-excluded),FractionCSP3,,72.95790590008255,80.1985854000086,33.90090790006798,False
ChemSpacE extreme-SVM,HBA,0.0032541999826207757,0.09642670000903308,,,True
MolecuLA raw OLS (seed-excluded),HBA,,72.95790590008255,84.89671989995986,20.07124439999461,False
ChemSpacE extreme-SVM,TPSA,0.006033599958755076,0.21391809999477118,,,True
MolecuLA raw OLS (seed-excluded),TPSA,,72.95790590008255,77.13866729999427,17.016307499958202,False
ChemSpacE extreme-SVM,cLogP,0.005469400086440146,0.36593159998301417,,,True
MolecuLA raw OLS (seed-excluded),cLogP,,72.95790590008255,85.30843950004783,30.280780700035393,False
ChemSpacE extreme-SVM,BertzCT,0.006244699936360121,0.34607189998496324,,,True
MolecuLA raw OLS (seed-excluded),BertzCT,,72.95790590008255,92.62250779999886,21.586778900003992,False
ChemSpacE extreme-SVM,HeavyAtomCount,0.005700399982742965,0.18474409996997565,,,True
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,,72.95790590008255,53.81152570003178,13.562171999947168,False
