method,property,confound,seeds,median_spearman_alpha_confound,median_abs_spearman_alpha_confound,fraction_positive_spearman,median_linear_slope_confound
ChemSpacE extreme-SVM,BertzCT,branch_token_count,50,0.06509608371747447,0.06509608371747447,1.0,0.002905940594059404
ChemSpacE extreme-SVM,BertzCT,ring_token_count,50,0.027710835562738977,0.027710835562738977,1.0,0.001082178217821781
ChemSpacE extreme-SVM,BertzCT,selfies_len_tokens,50,0.49380913995997494,0.49380913995997494,1.0,0.42586831683168314
ChemSpacE extreme-SVM,BertzCT,token_entropy,50,0.05561622047264084,0.05561622047264084,1.0,0.0001929921102604284
ChemSpacE extreme-SVM,FractionCSP3,branch_token_count,50,-0.017021422687934322,0.017021422687934322,0.02,-0.0003673267326732676
ChemSpacE extreme-SVM,FractionCSP3,ring_token_count,50,-0.02445474412012742,0.02445474412012742,0.02,-0.0008435643564356437
ChemSpacE extreme-SVM,FractionCSP3,selfies_len_tokens,50,0.007060635706175522,0.009781675578360682,0.74,0.002475247524752553
ChemSpacE extreme-SVM,FractionCSP3,token_entropy,50,-0.7338351377172092,0.7338351377172092,0.0,-0.0012713361545309617
ChemSpacE extreme-SVM,HBA,branch_token_count,50,0.02908371406547168,0.02908371406547168,1.0,0.000785148514851484
ChemSpacE extreme-SVM,HBA,ring_token_count,50,-0.005212139588391047,0.02862995616807465,0.4,0.0005188118811881184
ChemSpacE extreme-SVM,HBA,selfies_len_tokens,50,0.13438266549112207,0.13438266549112207,1.0,0.08305247524752465
ChemSpacE extreme-SVM,HBA,token_entropy,50,0.1688392898633757,0.1688392898633757,0.96,0.00042439140370889106
ChemSpacE extreme-SVM,HeavyAtomCount,branch_token_count,50,0.08278999881079721,0.08278999881079721,1.0,0.0026128712871287115
ChemSpacE extreme-SVM,HeavyAtomCount,ring_token_count,50,0.027952417997465936,0.027952417997465936,1.0,0.000980198019801979
ChemSpacE extreme-SVM,HeavyAtomCount,selfies_len_tokens,50,0.9005848684601757,0.9005848684601757,1.0,0.7604356435643564
ChemSpacE extreme-SVM,HeavyAtomCount,token_entropy,50,0.2600153066323896,0.2600153066323896,1.0,0.000896270379258051
ChemSpacE extreme-SVM,TPSA,branch_token_count,50,0.07082562786159652,0.07082562786159652,1.0,0.0028049504950495028
ChemSpacE extreme-SVM,TPSA,ring_token_count,50,0.02410919919805902,0.02410919919805902,0.88,0.0004910891089108906
ChemSpacE extreme-SVM,TPSA,selfies_len_tokens,50,0.04586303075049259,0.04586303075049259,1.0,0.024787128712871392
ChemSpacE extreme-SVM,TPSA,token_entropy,50,0.4942046483093099,0.4942046483093099,1.0,0.0020015301192008238
ChemSpacE extreme-SVM,cLogP,branch_token_count,50,-0.031676344474712056,0.031676344474712056,0.02,-0.0005396039603960403
ChemSpacE extreme-SVM,cLogP,ring_token_count,50,-0.02890810560738074,0.02890810560738074,0.06,-6.435643564356498e-05
ChemSpacE extreme-SVM,cLogP,selfies_len_tokens,50,0.04721328946760698,0.04721328946760698,1.0,0.024432673267326704
ChemSpacE extreme-SVM,cLogP,token_entropy,50,-0.053123003791065694,0.053123003791065694,0.0,-0.00035486696829734965
MolecuLA raw OLS (seed-excluded),BertzCT,branch_token_count,50,0.9157742523326504,0.9157742523326504,1.0,0.04283564356435644
MolecuLA raw OLS (seed-excluded),BertzCT,ring_token_count,50,0.9479237711836024,0.9479237711836024,1.0,0.06532178217821784
MolecuLA raw OLS (seed-excluded),BertzCT,selfies_len_tokens,50,0.9913668779784646,0.9913668779784646,1.0,0.5850752475247525
MolecuLA raw OLS (seed-excluded),BertzCT,token_entropy,50,0.6459802938125532,0.6459802938125532,1.0,0.005665520445396003
MolecuLA raw OLS (seed-excluded),FractionCSP3,branch_token_count,50,0.39184633380310907,0.43054229213390205,0.8,0.0066871287128712886
MolecuLA raw OLS (seed-excluded),FractionCSP3,ring_token_count,50,-0.9396479213067839,0.9396479213067839,0.0,-0.029628712871287134
MolecuLA raw OLS (seed-excluded),FractionCSP3,selfies_len_tokens,50,-0.1226977913000595,0.1477586781904005,0.18,0.05315940594059404
MolecuLA raw OLS (seed-excluded),FractionCSP3,token_entropy,50,-0.5956019082169846,0.5956019082169846,0.0,-0.00429891897106798
MolecuLA raw OLS (seed-excluded),HBA,branch_token_count,50,0.9595389325398247,0.9595389325398247,1.0,0.04477326732673268
MolecuLA raw OLS (seed-excluded),HBA,ring_token_count,50,0.9279367622909542,0.9279367622909542,1.0,0.028346534653465344
MolecuLA raw OLS (seed-excluded),HBA,selfies_len_tokens,50,0.9940690275137822,0.9940690275137822,1.0,0.4674910891089109
MolecuLA raw OLS (seed-excluded),HBA,token_entropy,50,0.7748173718700366,0.7748173718700366,1.0,0.004378982659143871
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,branch_token_count,50,0.9586132705858184,0.9586132705858184,1.0,0.058757425742574254
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,ring_token_count,50,0.9505285573396525,0.9505285573396525,1.0,0.060955445544554454
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,selfies_len_tokens,50,0.9901162176621529,0.9901162176621529,1.0,0.5931198019801982
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,token_entropy,50,0.6580922861285815,0.6580922861285815,1.0,0.0069928834190025645
MolecuLA raw OLS (seed-excluded),TPSA,branch_token_count,50,0.981024011297396,0.981024011297396,1.0,0.05413069306930694
MolecuLA raw OLS (seed-excluded),TPSA,ring_token_count,50,0.09665910142794812,0.34083150687752883,0.54,0.0008584158415841587
MolecuLA raw OLS (seed-excluded),TPSA,selfies_len_tokens,50,0.9785770513991573,0.9785770513991573,1.0,0.32341881188118815
MolecuLA raw OLS (seed-excluded),TPSA,token_entropy,50,0.8413798562116113,0.8413798562116113,1.0,0.0044701306825663915
MolecuLA raw OLS (seed-excluded),cLogP,branch_token_count,50,0.6252091829044075,0.6252091829044075,1.0,0.01937128712871287
MolecuLA raw OLS (seed-excluded),cLogP,ring_token_count,50,0.8203104080244608,0.8203104080244608,1.0,0.029509900990099012
MolecuLA raw OLS (seed-excluded),cLogP,selfies_len_tokens,50,0.9935324701294941,0.9935324701294941,1.0,0.43310099009901004
MolecuLA raw OLS (seed-excluded),cLogP,token_entropy,50,-0.16606456875724537,0.24970706750272115,0.3,-0.0013793715144523279
