method,property,seed_id,confound,spearman_alpha_confound,linear_slope_confound_per_alpha
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,selfies_len_tokens,-0.24324386802446163,-0.051502970297029785
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,branch_token_count,0.7471521057829626,0.015112871287128713
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,ring_token_count,-0.9051670994828583,-0.029956435643564355
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,token_entropy,-0.3380177983338603,-0.0023313761897941305
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,selfies_len_tokens,-0.2619006200702215,-0.03186930693069302
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,branch_token_count,0.4934085829290766,0.00876039603960396
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,ring_token_count,-0.9435289846160931,-0.030392079207920798
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,token_entropy,-0.5224307545065734,-0.0030356973815452346
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,selfies_len_tokens,-0.19782969237926265,0.08695445544554449
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,branch_token_count,-0.43647887381208056,-0.003887128712871287
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,ring_token_count,-0.9074522358398364,-0.027794059405940603
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,token_entropy,-0.6085992526244481,-0.0044206521203692655
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,selfies_len_tokens,0.11450721576375314,0.11627128712871287
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,branch_token_count,0.7552942564877814,0.01872475247524753
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,ring_token_count,-0.9634242432483126,-0.034625742574257413
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,token_entropy,-0.7275646475572992,-0.005213770269504939
MolecuLA raw OLS (seed-excluded),FractionCSP3,4,selfies_len_tokens,-0.27292921748708343,0.04330495049504953
MolecuLA raw OLS (seed-excluded),FractionCSP3,4,branch_token_count,0.3695162162855685,0.004926732673267322
MolecuLA raw OLS (seed-excluded),FractionCSP3,4,ring_token_count,-0.8860517099048152,-0.025570297029702968
MolecuLA raw OLS (seed-excluded),FractionCSP3,4,token_entropy,-0.70127180688295,-0.004393549827127515
MolecuLA raw OLS (seed-excluded),FractionCSP3,5,selfies_len_tokens,-0.02009870028829566,0.028772277227722746
MolecuLA raw OLS (seed-excluded),FractionCSP3,5,branch_token_count,0.28588303856072533,0.0070297029702970325
MolecuLA raw OLS (seed-excluded),FractionCSP3,5,ring_token_count,-0.9712093017456782,-0.04462772277227724
MolecuLA raw OLS (seed-excluded),FractionCSP3,5,token_entropy,-0.4703502871235325,-0.004086976951375283
MolecuLA raw OLS (seed-excluded),FractionCSP3,6,selfies_len_tokens,-0.1765987024379376,-0.08078019801980198
