method,property,requested_candidates,valid_count,valid_fraction,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_seed_similarity,q25_seed_similarity,q75_seed_similarity,scaffold_retention_fraction,median_per_seed_spearman,median_per_seed_slope,fraction_seeds_moving_expected_direction,median_per_seed_expected_sign_fraction,median_best_increase,median_best_decrease
MolecuLA raw OLS (seed-excluded),FractionCSP3,5000,5000,1.0,0.8544,0.8544,0.08256880733944955,0.05333333333333334,0.15789473684210525,0.18525656468320886,0.9377110944756364,0.00399361786817241,1.0,0.84,0.7105052481764811,0.2857142857142857
MolecuLA raw OLS (seed-excluded),HBA,5000,4998,0.9996,0.8562,0.8565426170468188,0.08536585365853659,0.05172413793103448,0.1956521739130435,0.21783828841344818,0.9547046848266229,0.07855247524752476,1.0,0.815,38.5,4.0
MolecuLA raw OLS (seed-excluded),TPSA,5000,5000,1.0,0.8298,0.8298,0.09302325581395349,0.05970149253731343,0.2900806451612903,0.2635616438356164,0.9296714038913769,0.7867199405940597,1.0,0.815,246.96999999999997,57.785000000000004
MolecuLA raw OLS (seed-excluded),cLogP,5000,5000,1.0,0.8436,0.8436,0.09393382352941176,0.057971014492753624,0.24779411764705883,0.24927113702623907,0.9347796401640374,0.07537642982178218,1.0,0.82,44.25398999999983,5.085750000000002
MolecuLA raw OLS (seed-excluded),BertzCT,5000,5000,1.0,0.8822,0.8822,0.08554006968641115,0.05172413793103448,0.19377240143369176,0.2002534854245881,0.9440210970263052,11.340548023365773,1.0,0.83,4578.523580818057,733.5321357194807
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,5000,4859,0.9718,0.858,0.8828977155793373,0.08791208791208792,0.04411764705882353,0.2222222222222222,0.19710327455919396,0.9733625876820358,0.3198435643564357,1.0,0.8395402298850574,100.0,23.0
ChemSpacE extreme-SVM,FractionCSP3,5000,5000,1.0,0.9814,0.9814,0.0217391304347826,0.0,0.0476190476190476,0.19839679358717435,0.9060317792537047,0.004931947046790145,1.0,0.98,0.7142857142857143,0.2857142857142857
ChemSpacE extreme-SVM,HBA,5000,4991,0.9982,0.9788,0.9805650170306551,0.0285714285714285,0.0166666666666666,0.0526315789473684,0.20682730923694778,0.9194615532317179,0.7332930693069308,1.0,0.98,150.0,4.0
ChemSpacE extreme-SVM,TPSA,5000,5000,1.0,0.9812,0.9812,0.0357142857142857,0.0204081632653061,0.054054054054054,0.24065420560747663,0.8421132260842557,7.820237841584154,1.0,0.97,1734.9099999999978,57.785000000000004
ChemSpacE extreme-SVM,cLogP,5000,5000,1.0,0.9736,0.9736,0.0266666666666666,0.0161290322580645,0.0543478260869565,0.18915510718789408,0.9492682100697204,0.6442508899999935,1.0,0.96,57.20565999999958,79.59773999999896
ChemSpacE extreme-SVM,BertzCT,5000,4580,0.916,0.902,0.9847161572052402,0.0,0.0,0.0357142857142857,0.21485411140583555,0.7244072137226047,50.567571336533604,1.0,0.845,11607.548089265201,734.5321357194807
ChemSpacE extreme-SVM,HeavyAtomCount,5000,2796,0.5592,0.546,0.9763948497854077,0.0392156862745098,0.024390243902439,0.0567375886524822,0.21236559139784947,0.8342133228667846,0.8473969406274304,0.98,0.9464285714285714,130.0,23.0
