method,property,seed_id,seed_row_index,spearman_alpha_property,linear_slope_property_per_alpha,seed_moves_expected_direction,expected_sign_fraction_valid_candidates,valid_fraction,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_seed_similarity,scaffold_retention_fraction,best_increase,best_decrease
MolecuLA raw OLS (seed-excluded),FractionCSP3,0,319669,0.764950304850787,0.004068250290417906,True,0.45,1.0,0.85,0.85,0.05813953488372093,0.15,1.0,-0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,1,407691,0.8906408081422629,0.003880079910688155,True,0.84,1.0,0.84,0.84,0.05594679186228482,0.2222222222222222,0.8333333333333334,0.1666666666666666
MolecuLA raw OLS (seed-excluded),FractionCSP3,2,357774,0.9408349753306368,0.003907620475756028,True,0.79,1.0,0.81,0.81,0.07407407407407407,0.22093023255813954,0.7142857142857143,0.2857142857142857
MolecuLA raw OLS (seed-excluded),FractionCSP3,3,70896,0.8980164488169675,0.003973466616868672,True,0.86,1.0,0.86,0.86,0.0989010989010989,0.15555555555555556,0.4117647058823529,0.5882352941176471
MolecuLA raw OLS (seed-excluded),FractionCSP3,4,618350,0.94054384410816,0.004053992321137536,True,0.91,1.0,0.85,0.85,0.08573178199632578,0.19540229885057472,0.6470588235294118,0.3529411764705882
MolecuLA raw OLS (seed-excluded),FractionCSP3,5,771121,0.8996729490599996,0.00420088538441959,True,0.94,1.0,0.93,0.93,0.07522624434389141,0.07368421052631578,0.6190476190476191,0.3809523809523809
MolecuLA raw OLS (seed-excluded),FractionCSP3,6,511472,0.9321339522952136,0.003995527034948809,True,0.92,1.0,0.97,0.97,0.08695652173913043,0.03333333333333333,0.6,0.4
MolecuLA raw OLS (seed-excluded),FractionCSP3,7,556492,0.8455451759059954,0.003825324473717452,True,0.68,1.0,0.82,0.82,0.07207792207792207,0.25925925925925924,0.8571428571428572,0.1428571428571428
MolecuLA raw OLS (seed-excluded),FractionCSP3,8,219855,0.9824690362877173,0.0038292228848992513,True,0.82,1.0,0.82,0.82,0.14084507042253522,0.20930232558139536,0.33333333333333337,0.5797101449275361
MolecuLA raw OLS (seed-excluded),FractionCSP3,9,354054,0.9588178192092685,0.0039917087013960125,True,0.78,1.0,0.8,0.8,0.10144927536231885,0.2597402597402597,0.4285714285714286,0.5714285714285714
MolecuLA raw OLS (seed-excluded),FractionCSP3,10,281634,0.9293651325558606,0.0037481288580709237,True,0.82,1.0,0.87,0.87,0.07217261904761904,0.2222222222222222,0.7142857142857143,0.2857142857142857
MolecuLA raw OLS (seed-excluded),FractionCSP3,11,538540,0.9650593054241923,0.00419070116155795,True,0.9,1.0,0.82,0.82,0.07975352112676057,0.2647058823529412,0.5454545454545455,0.4545454545454545
MolecuLA raw OLS (seed-excluded),FractionCSP3,12,343969,0.9538212621200312,0.004328836394579025,True,0.85,1.0,0.85,0.85,0.1128397917871602,0.16304347826086957,0.47058823529411764,0.5294117647058824
MolecuLA raw OLS (seed-excluded),FractionCSP3,13,53955,0.9196900081461151,0.0041579442213775355,True,0.71,1.0,0.79,0.79,0.06557377049180328,0.30952380952380953,0.875,0.125
MolecuLA raw OLS (seed-excluded),FractionCSP3,14,624425,0.9383179790455064,0.00387519774608719,True,0.84,1.0,0.83,0.83,0.06524822695035461,0.17894736842105263,0.8106060606060607,0.1666666666666666
MolecuLA raw OLS (seed-excluded),FractionCSP3,15,418215,0.9263428454464672,0.0037547284957279207,True,0.87,1.0,0.86,0.86,0.06493506493506493,0.16279069767441862,0.7857142857142858,0.2142857142857142
MolecuLA raw OLS (seed-excluded),FractionCSP3,16,397466,0.6975063006837875,0.003927000991282403,True,0.53,1.0,0.84,0.84,0.0625,0.2235294117647059,0.9411764705882353,0.00619195046439628
MolecuLA raw OLS (seed-excluded),FractionCSP3,17,602221,0.9747627613173528,0.003988305813355288,True,0.92,1.0,0.94,0.94,0.08781569307885098,0.07954545454545454,0.22439660795825178,0.7619047619047619
MolecuLA raw OLS (seed-excluded),FractionCSP3,18,160039,0.7376790646983966,0.003996354619935748,True,0.43,1.0,0.86,0.86,0.06542056074766354,0.16470588235294117,1.0,-0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,19,667072,0.6382708988266669,0.0036662005718144123,True,0.43,1.0,0.85,0.85,0.05714285714285714,0.15,0.9666666666666667,-0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,20,440554,0.9079544782144064,0.0036754311601592668,True,0.78,1.0,0.92,0.92,0.09732417712526639,0.09302325581395349,0.75,0.16999999999999998
MolecuLA raw OLS (seed-excluded),FractionCSP3,21,653586,0.9438361286646422,0.00412199098954618,True,0.92,1.0,0.88,0.88,0.08030163481464425,0.15,0.8076923076923077,0.15384615384615383
MolecuLA raw OLS (seed-excluded),FractionCSP3,22,131256,0.910671223423659,0.004178286827651126,True,0.84,1.0,0.86,0.86,0.10147058823529412,0.1891891891891892,0.6,0.4
MolecuLA raw OLS (seed-excluded),FractionCSP3,23,553961,0.9434501789795778,0.004320998465817677,True,0.85,1.0,0.85,0.85,0.08823529411764706,0.23809523809523808,0.5,0.5
MolecuLA raw OLS (seed-excluded),FractionCSP3,24,705329,0.9762998590369227,0.004025874733547295,True,0.85,1.0,0.8,0.8,0.0684931506849315,0.2597402597402597,0.8666666666666667,0.1333333333333333
MolecuLA raw OLS (seed-excluded),FractionCSP3,25,709496,0.9117075359845913,0.004066748022896636,True,0.89,1.0,0.9,0.9,0.0888906447534766,0.1,0.64,0.36
MolecuLA raw OLS (seed-excluded),FractionCSP3,26,348626,0.9616588076655992,0.0041044696603262645,True,0.93,1.0,0.87,0.87,0.08571428571428572,0.14285714285714285,0.7857142857142858,0.2142857142857142
