method,property,alpha,latent_displacement,requested_candidates,valid_count,valid_fraction,changed_from_seed_count,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_property,median_property_delta,median_expected_signed_improvement,expected_sign_fraction_valid,median_seed_similarity,q25_seed_similarity,q75_seed_similarity,scaffold_evaluable_count,scaffold_retention_fraction
MolecuLA raw OLS (seed-excluded),FractionCSP3,-150.0,150.0,50,50,1.0,50,1.0,1.0,0.0,-0.27420824789245835,0.27420824789245835,0.88,0.045047329276538206,0.03375547514759093,0.056593406593406594,28,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-146.96969696969697,146.96969696969697,50,50,1.0,50,1.0,1.0,0.0,-0.24038461538461536,0.24038461538461536,0.88,0.04951000408329931,0.03458299919807538,0.058403361344537816,30,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-143.93939393939394,143.93939393939394,50,50,1.0,50,1.0,1.0,0.04904306220095694,-0.24038461538461536,0.24038461538461536,0.84,0.05084745762711865,0.03458299919807538,0.059606627877561345,31,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-140.9090909090909,140.9090909090909,50,50,1.0,50,1.0,1.0,0.058823529411764705,-0.23982905982905978,0.23982905982905978,0.84,0.05093393289519198,0.03861116514296829,0.062338917525773196,32,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-137.87878787878788,137.87878787878788,50,50,1.0,50,1.0,1.0,0.06458333333333333,-0.2517482517482517,0.2517482517482517,0.88,0.04941284123837121,0.0399145415084102,0.06434454358270418,33,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-134.84848484848484,134.84848484848484,50,50,1.0,50,1.0,1.0,0.06066176470588235,-0.24395604395604392,0.24395604395604392,0.84,0.050957481337228175,0.042279411764705885,0.06547113752122241,34,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-131.8181818181818,131.8181818181818,50,50,1.0,50,1.0,1.0,0.0625,-0.21428571428571425,0.21428571428571425,0.78,0.05064102564102564,0.042895545314900155,0.0649050024050024,34,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-128.78787878787878,128.78787878787878,50,50,1.0,50,1.0,1.0,0.06904761904761905,-0.21825396825396826,0.21825396825396826,0.78,0.05805527468823728,0.043287476280834916,0.06802825552825553,32,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-125.75757575757575,125.75757575757575,50,50,1.0,50,1.0,1.0,0.07179487179487179,-0.22444444444444445,0.22444444444444445,0.82,0.0514142215173143,0.04177631578947368,0.07269061583577713,32,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-122.72727272727272,122.72727272727272,50,50,1.0,50,1.0,1.0,0.07846153846153847,-0.1972569366117753,0.1972569366117753,0.82,0.05265491630639618,0.04041666666666667,0.07565361410150243,34,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-119.69696969696969,119.69696969696969,50,50,1.0,50,1.0,1.0,0.08166666666666667,-0.19028520499108734,0.19028520499108734,0.88,0.05868847754340652,0.043670642554828776,0.07149460708782743,39,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-116.66666666666666,116.66666666666666,50,50,1.0,50,1.0,1.0,0.08514492753623187,-0.1857142857142857,0.1857142857142857,0.84,0.05454545454545454,0.042559706062461726,0.07486702127659574,36,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-113.63636363636364,113.63636363636364,50,50,1.0,50,1.0,1.0,0.09090909090909091,-0.2054334554334554,0.2054334554334554,0.84,0.05839727195225916,0.043478260869565216,0.07542097788598093,38,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-110.60606060606061,110.60606060606061,50,50,1.0,50,1.0,1.0,0.09307359307359307,-0.19352869352869354,0.19352869352869354,0.84,0.060943112038002546,0.04425837320574162,0.07542097788598093,40,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-107.57575757575758,107.57575757575758,50,50,1.0,50,1.0,1.0,0.10172413793103449,-0.2,0.2,0.84,0.058396649133060585,0.04456928838951311,0.07656023222060958,39,0.0
