method,property,objective,seed_similarity_cutoff,seeds,successful_seeds,success_fraction,median_best_improvement,median_selected_similarity,median_selected_alpha,median_eligible_candidates
ChemSpacE extreme-SVM,BertzCT,maximize,0.0,50,50,1.0,11607.5480892652,0.0131784289925437,34.848484848484844,98.0
ChemSpacE extreme-SVM,BertzCT,maximize,0.2,50,30,0.6,196.5043941135675,0.2753623188405797,4.5454545454545325,2.0
ChemSpacE extreme-SVM,BertzCT,maximize,0.4,50,16,0.32,82.55722766851437,0.5873257839721254,1.5151515151515014,1.0
ChemSpacE extreme-SVM,BertzCT,maximize,0.6,50,9,0.18,104.47684158692005,0.6666666666666666,1.5151515151515014,0.0
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.0,50,50,1.0,0.7142857142857143,0.0480030721966205,16.666666666666657,98.0
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.2,50,23,0.46,0.1247619047619047,0.2949949076094864,4.5454545454545325,1.0
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.4,50,4,0.08,0.0281385281385282,0.5555555555555556,-4.545454545454561,0.0
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.6,50,0,0.0,-0.0499999999999999,0.7158385093167702,-4.545454545454561,0.0
ChemSpacE extreme-SVM,HBA,maximize,0.0,50,50,1.0,150.0,0.0283702213279677,40.90909090909091,98.0
ChemSpacE extreme-SVM,HBA,maximize,0.2,50,15,0.3,0.0,0.3125,1.5151515151515014,1.0
ChemSpacE extreme-SVM,HBA,maximize,0.4,50,2,0.04,-1.0,0.5,-4.545454545454561,0.0
ChemSpacE extreme-SVM,HBA,maximize,0.6,50,2,0.04,1.0,0.6060606060606061,1.5151515151515014,0.0
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.0,50,50,1.0,130.0,0.0442810457516339,40.90909090909091,55.0
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.2,50,34,0.68,5.0,0.369047619047619,4.5454545454545325,2.0
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.4,50,21,0.42,3.0,0.5542711598746082,1.5151515151515014,1.0
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.6,50,7,0.14,2.0,0.6559139784946236,1.5151515151515014,0.0
ChemSpacE extreme-SVM,TPSA,maximize,0.0,50,50,1.0,1734.9099999999978,0.0291986359761295,57.57575757575758,98.0
ChemSpacE extreme-SVM,TPSA,maximize,0.2,50,34,0.68,33.45,0.3097345132743362,4.5454545454545325,1.0
ChemSpacE extreme-SVM,TPSA,maximize,0.4,50,9,0.18,4.615,0.5343822843822843,1.5151515151515014,0.0
ChemSpacE extreme-SVM,TPSA,maximize,0.6,50,2,0.04,-3.919999999999998,0.6201034737620104,-1.5151515151515298,0.0
ChemSpacE extreme-SVM,cLogP,maximize,0.0,50,50,1.0,57.20565999999958,0.0325224748810153,34.848484848484844,98.0
ChemSpacE extreme-SVM,cLogP,maximize,0.2,50,33,0.66,0.605,0.3061224489795918,4.5454545454545325,1.0
ChemSpacE extreme-SVM,cLogP,maximize,0.4,50,15,0.3,0.3645000000000014,0.5647058823529412,4.5454545454545325,0.0
ChemSpacE extreme-SVM,cLogP,maximize,0.6,50,4,0.08,-0.15415,0.6892213983050848,-1.4210854715202004e-14,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.0,50,50,1.0,4578.523580818057,0.056609816638642,140.90909090909088,89.5
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.2,50,43,0.86,320.2296300818324,0.2957746478873239,37.87878787878788,14.0
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.4,50,27,0.54,181.332607248351,0.5166666666666667,22.72727272727272,3.0
