method,scale,property,objective,seed_similarity_cutoff,seeds,successful_seeds,success_fraction,median_best_improvement,median_selected_similarity,median_selected_alpha,median_selected_sa_score_delta,median_eligible_candidates
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,maximize,0.0,50,50,1.0,10732.896119335035,0.0,45.0,4.991147731660275,20.0
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,maximize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,BertzCT,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,maximize,0.0,50,50,1.0,0.7142857142857143,0.0363636363636363,30.0,2.150752483079758,20.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,maximize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,maximize,0.0,50,50,1.0,150.0,0.0305361305361305,45.0,5.960707770229518,20.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,maximize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HBA,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,maximize,0.0,50,50,1.0,130.0,0.0425724637681159,45.0,5.558742559113295,11.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,maximize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,HeavyAtomCount,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,TPSA,maximize,0.0,50,50,1.0,1733.5099999999975,0.0286240032713146,60.0,5.879922752029426,20.0
ChemSpacE adapted extreme-SVM,native_l2,TPSA,maximize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,TPSA,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,TPSA,maximize,0.6,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,cLogP,maximize,0.0,50,50,1.0,57.20565999999958,0.0325224748810153,45.0,2.2675650830378693,20.0
ChemSpacE adapted extreme-SVM,native_l2,cLogP,maximize,0.2,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,cLogP,maximize,0.4,50,0,0.0,,,,,0.0
ChemSpacE adapted extreme-SVM,native_l2,cLogP,maximize,0.6,50,0,0.0,,,,,0.0
MolecuLA continuous OLS,native_l2,BertzCT,maximize,0.0,50,50,1.0,4094.7194700801374,0.0610486392973584,150.0,5.839706454619616,19.0
MolecuLA continuous OLS,native_l2,BertzCT,maximize,0.2,50,34,0.68,191.36596199332325,0.3382352941176471,30.0,1.4478516306240357,3.0
MolecuLA continuous OLS,native_l2,BertzCT,maximize,0.4,50,22,0.44,175.6859964126262,0.4810126582278481,15.0,0.77675500471838,1.0
