method,scale,property,alpha,requested_candidates,valid_fraction,unique_canonical_fraction_total,changed_from_seed_fraction_all,median_property,median_property_delta,median_sa_score,median_sa_score_delta,median_np_likeness_score,median_np_likeness_delta,fraction_at_decoder_token_budget,expected_sign_fraction_valid,median_seed_similarity,q25_seed_similarity,q75_seed_similarity,scaffold_retention_fraction
MolecuLA continuous OLS,native_l2,FractionCSP3,-150.0,50,1.0,1.0,1.0,0.0,-0.2742082478924583,5.97049367229083,3.3294587156203126,0.546778384824294,1.3558348128297624,0.34,0.88,0.0450473292765381,0.0337554751475909,0.0565934065934065,0.0
MolecuLA continuous OLS,native_l2,FractionCSP3,150.0,50,1.0,0.82,1.0,1.0,0.7105052481764811,5.548467138267421,2.8478275445193906,0.1444617369057933,1.1348157626037083,0.8,1.0,0.0441176470588235,0.0323902696985721,0.0616024187452758,0.0
MolecuLA continuous OLS,native_l2,HBA,-150.0,50,1.0,0.32,1.0,0.0,-4.0,3.6582262694042136,1.3772973712793766,0.2702114798440666,1.2557568367914858,0.0,1.0,0.0212862318840579,0.0,0.0326923076923076,0.0
MolecuLA continuous OLS,native_l2,HBA,150.0,50,1.0,0.98,1.0,24.0,19.5,6.676003194112308,4.156274900035236,0.0306168043546347,0.7874004579607826,1.0,0.94,0.0551302977430066,0.046090909090909,0.073281773849436,0.0
MolecuLA continuous OLS,native_l2,TPSA,-150.0,50,1.0,0.88,1.0,0.0,-57.785,3.260865788669149,0.4449951898967863,1.1598557854860942,1.7237150549390088,0.1,1.0,0.04,0.0295215100965759,0.0603799185888738,0.0
MolecuLA continuous OLS,native_l2,TPSA,150.0,50,1.0,1.0,1.0,146.745,90.815,5.48110662008772,3.019631107018064,0.1257911750414582,1.100262009832166,0.92,0.9,0.0560796645702305,0.0377403846153846,0.0673423423423422,0.0
MolecuLA continuous OLS,native_l2,cLogP,-150.0,50,1.0,0.58,1.0,-0.6657000000000002,-3.974075000000004,3.565875611257084,1.2738374959593362,0.33178490411555,1.0185645956037817,0.0,1.0,0.0235587583148558,0.015339756592292,0.0509615384615384,0.0
MolecuLA continuous OLS,native_l2,cLogP,150.0,50,1.0,0.96,1.0,47.12659999999983,42.83993999999981,6.453881315165347,3.829366601903046,0.4930906380501108,1.3724523874497816,1.0,0.96,0.0501396648044692,0.04,0.0598514851485148,0.0
MolecuLA continuous OLS,native_l2,BertzCT,-150.0,50,1.0,0.18,1.0,0.0,-733.5321357194807,2.701044842026315,0.2094029854312893,0.0589399978379166,1.0574717865912646,0.0,1.0,0.0281746031746031,0.0202083333333333,0.043172075933864,
MolecuLA continuous OLS,native_l2,BertzCT,150.0,50,1.0,1.0,1.0,4492.323107399828,3706.89715246424,7.821965951088817,5.152921250367982,0.4868911805577099,1.238812564876003,1.0,0.92,0.0612764816304639,0.0501016896120149,0.0721334586466164,0.0
MolecuLA continuous OLS,native_l2,HeavyAtomCount,-150.0,50,0.82,0.08,0.82,1.0,-23.0,7.328415384615384,4.727773123906848,0.0,0.5071086313444945,0.0,1.0,0.0,0.0,0.0,
MolecuLA continuous OLS,native_l2,HeavyAtomCount,150.0,50,1.0,1.0,1.0,105.5,81.0,7.481292165810537,4.895900460189485,0.4932641802313295,1.381598635069034,1.0,0.96,0.0651307756570914,0.0498456970975428,0.075356229448301,0.0
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,-150.0,50,1.0,0.6,1.0,0.0,-0.2857142857142857,8.400678306675008,5.675154464438009,-0.0049043299121006,0.826816668451427,1.0,0.94,0.0148351648351647,0.0,0.0195135746606334,
ChemSpacE adapted extreme-SVM,native_l2,FractionCSP3,150.0,50,1.0,0.02,1.0,1.0,0.7142857142857143,4.718797012828133,2.2675650830378693,0.0158647311752545,0.8558456293139607,1.0,1.0,0.0325224748810153,0.0193250377073906,0.0526315789473684,
ChemSpacE adapted extreme-SVM,native_l2,HBA,-150.0,50,1.0,0.02,1.0,0.0,-4.0,4.718797012828133,2.2675650830378693,0.0158647311752545,0.8558456293139607,1.0,1.0,0.0325224748810153,0.0193250377073906,0.0526315789473684,
ChemSpacE adapted extreme-SVM,native_l2,HBA,150.0,50,1.0,0.08,1.0,154.0,150.0,7.8420633820817,5.390831452291437,-0.0049043299121006,0.8350765682266055,1.0,1.0,0.0163978494623655,0.0,0.0229591836734693,
ChemSpacE adapted extreme-SVM,native_l2,TPSA,-150.0,50,1.0,0.02,1.0,0.0,-57.785,4.718797012828133,2.2675650830378693,0.0158647311752545,0.8558456293139607,1.0,1.0,0.0325224748810153,0.0193250377073906,0.0526315789473684,
ChemSpacE adapted extreme-SVM,native_l2,TPSA,150.0,50,1.0,0.46,1.0,1447.6200000000022,1409.150000000002,7.98158898607228,5.740894971442083,0.053004419319909,0.8693576767637013,1.0,1.0,0.0323928944618599,0.0239547038327526,0.0446115013169446,
ChemSpacE adapted extreme-SVM,native_l2,cLogP,-150.0,50,1.0,0.02,1.0,-76.48199999999896,-79.59773999999896,7.8420633820817,5.390831452291437,-0.0049043299121006,0.8350765682266055,1.0,1.0,0.015079365079365,0.0,0.0202080832332933,
