method,property,valid_changed_occurrences,median_sa_score_delta,median_np_likeness_delta
ChemSpacE adapted extreme-SVM,BertzCT,917,4.48063210576365,0.8773025257599656
ChemSpacE adapted extreme-SVM,FractionCSP3,1002,3.066954103814425,0.9239105710619208
ChemSpacE adapted extreme-SVM,HBA,999,2.9066965189629164,0.9675424304097384
ChemSpacE adapted extreme-SVM,HeavyAtomCount,543,5.25243218514724,0.9263079869359092
ChemSpacE adapted extreme-SVM,TPSA,1002,2.779723532199826,0.8891682987912547
ChemSpacE adapted extreme-SVM,cLogP,1002,3.066954103814425,0.9519554256946918
MolecuLA continuous OLS,BertzCT,940,1.6346809198359917,1.1128600481390793
MolecuLA continuous OLS,FractionCSP3,905,2.4235307498077736,1.4556150861161077
MolecuLA continuous OLS,HBA,901,2.049533774334149,1.1753343293215646
MolecuLA continuous OLS,HeavyAtomCount,907,2.704046384590937,1.1331806875616457
MolecuLA continuous OLS,TPSA,881,1.812927445967401,1.3281008032639323
MolecuLA continuous OLS,cLogP,892,1.847266790897422,1.3225160160412968
